1:24:001:0	And Abraham was old , and well stricken in age : and the Lord had blessed Abraham in all things .
1:24:002:0	And Abraham said unto his eldest servant of his house , that ruled over all that he had , Put , I pray thee , thy hand under my thigh :
1:24:003:0	And I will make thee swear by the Lord , the God of heaven , and the God of the earth , that thou shalt not take a wife unto my son of the daughters of the Canaanites , among whom I dwell :
1:24:004:0	But thou shalt go unto my country , and to my kindred , and take a wife unto my son Isaac .
1:24:005:0	And the servant said unto him , Peradventure the woman will not be willing to follow me unto this land : must I needs bring thy son again unto the land from whence thou camest ?
1:24:006:0	And Abraham said unto him , Beware thou that thou bring not my son thither again .
1:24:007:0	The Lord God of heaven , which took me from my father's house , and from the land of my kindred , and which spake unto me , and that sware unto me , saying , Unto thy seed will I give this land ; he shall send his angel before thee , and thou shalt take a wife unto my son from thence .
1:24:008:0	And if the woman will not be willing to follow thee , then thou shalt be clear from this my oath : only bring not my son thither again .
1:24:009:0	And the servant put his hand under the thigh of Abraham his master , and sware to him concerning that matter .
1:24:010:0	And the servant took ten camels of the camels of his master , and departed ; for all the goods of his master were in his hand : and he arose , and went to Mesopotamia , unto the city of Nahor .
1:24:011:0	And he made his camels to kneel down without the city by a well of water at the time of the evening , even the time that women go out to draw water .
1:24:012:0	And he said , O Lord God of my master Abraham , I pray thee , send me good speed this day , and shew kindness unto my master Abraham .
1:24:013:0	Behold , I stand here by the well of water ; and the daughters of the men of the city come out to draw water :
1:24:014:0	And let it come to pass , that the damsel to whom I shall say , Let down thy pitcher , I pray thee , that I may drink ; and she shall say , Drink , and I will give thy camels drink also : let the same be she that thou hast appointed for thy servant Isaac ; and thereby shall I know that thou hast shewed kindness unto my master .
1:24:015:0	And it came to pass , before he had done speaking , that , behold , Rebekah came out , who was born to Bethuel , son of Milcah , the wife of Nahor , Abraham's brother , with her pitcher upon her shoulder .
1:24:016:0	And the damsel was very fair to look upon , a virgin , neither had any man known her : and she went down to the well , and filled her pitcher , and came up .
1:24:017:0	And the servant ran to meet her , and said , Let me , I pray thee , drink a little water of thy pitcher .
