16:11:001:1	Time Passes ; Heads of Provinces
16:11:001:0	Now the leaders of the people lived in Jerusalem , but the rest of the people cast lots to bring one out of ten to live in Jerusalem , the holy city , while nine-tenths remained in the other cities .
16:11:002:0	And the people blessed all the men who volunteered to live in Jerusalem .
16:11:003:0	Now these are the heads of the provinces who lived in Jerusalem , but in the cities of Judah each lived on his own property in their cities—the Israelites , the priests , the Levites , the temple servants and the descendants of Solomon’s servants .
16:11:004:0	Some of the sons of Judah and some of the sons of Benjamin lived in Jerusalem . From the sons of Judah : Athaiah the son of Uzziah , the son of Zechariah , the son of Amariah , the son of Shephatiah , the son of Mahalalel , of the sons of Perez ;
16:11:005:0	and Maaseiah the son of Baruch , the son of Col-hozeh , the son of Hazaiah , the son of Adaiah , the son of Joiarib , the son of Zechariah , the son of the Shilonite .
16:11:006:0	All the sons of Perez who lived in Jerusalem were 468 able men .
16:11:007:0	Now these are the sons of Benjamin : Sallu the son of Meshullam , the son of Joed , the son of Pedaiah , the son of Kolaiah , the son of Maaseiah , the son of Ithiel , the son of Jeshaiah ;
16:11:008:0	and after him Gabbai and Sallai , 928 .
16:11:009:0	Joel the son of Zichri was their overseer , and Judah the son of Hassenuah was second in command of the city .
16:11:010:0	From the priests : Jedaiah the son of Joiarib , Jachin ,
16:11:011:0	Seraiah the son of Hilkiah , the son of Meshullam , the son of Zadok , the son of Meraioth , the son of Ahitub , the leader of the house of God ,
16:11:012:0	and their kinsmen who performed the work of the temple , 822 ; and Adaiah the son of Jeroham , the son of Pelaliah , the son of Amzi , the son of Zechariah , the son of Pashhur , the son of Malchijah ,
16:11:013:0	and his kinsmen , heads of fathers’ households , 242 ; and Amashsai the son of Azarel , the son of Ahzai , the son of Meshillemoth , the son of Immer ,
16:11:014:0	and their brothers , valiant warriors , 128 . And their overseer was Zabdiel , the son of Haggedolim .
16:11:015:0	Now from the Levites : Shemaiah the son of Hasshub , the son of Azrikam , the son of Hashabiah , the son of Bunni ;
16:11:016:0	and Shabbethai and Jozabad , from the leaders of the Levites , who were in charge of the outside work of the house of God ;
16:11:017:0	and Mattaniah the son of Mica , the son of Zabdi , the son of Asaph , who was the leader in beginning the thanksgiving at prayer , and Bakbukiah , the second among his brethren ; and Abda the son of Shammua , the son of Galal , the son of Jeduthun .
16:11:018:0	All the Levites in the holy city were 284 .
16:11:002:1	Outside Jerusalem
16:11:019:0	Also the gatekeepers , Akkub , Talmon and their brethren who kept watch at the gates , were 172 .
16:11:020:0	The rest of Israel , of the priests and of the Levites , were in all the cities of Judah , each on his own inheritance .
16:11:021:0	But the temple servants were living in Ophel , and Ziha and Gishpa were in charge of the temple servants .
16:11:022:0	Now the overseer of the Levites in Jerusalem was Uzzi the son of Bani , the son of Hashabiah , the son of Mattaniah , the son of Mica , from the sons of Asaph , who were the singers for the service of the house of God .
16:11:023:0	For there was a commandment from the king concerning them and a firm regulation for the song leaders day by day .
16:11:024:0	Pethahiah the son of Meshezabel , of the sons of Zerah the son of Judah , was the king’s representative in all matters concerning the people .
16:11:025:0	Now as for the villages with their fields , some of the sons of Judah lived in Kiriath-arba and its towns , in Dibon and its towns , and in Jekabzeel and its villages ,
16:11:026:0	and in Jeshua , in Moladah and Beth-pelet ,
16:11:027:0	and in Hazar-shual , in Beersheba and its towns ,
16:11:028:0	and in Ziklag , in Meconah and in its towns ,
16:11:029:0	and in En-rimmon , in Zorah and in Jarmuth ,
16:11:030:0	Zanoah , Adullam , and their villages , Lachish and its fields , Azekah and its towns . So they encamped from Beersheba as far as the valley of Hinnom .
16:11:031:0	The sons of Benjamin also lived from Geba onward , at Michmash and Aija , at Bethel and its towns ,
16:11:032:0	at Anathoth , Nob , Ananiah ,
16:11:033:0	Hazor , Ramah , Gittaim ,
16:11:034:0	Hadid , Zeboim , Neballat ,
16:11:035:0	Lod and Ono , the valley of craftsmen .
16:11:036:0	From the Levites , some divisions in Judah belonged to Benjamin .
