22:1:001:1	The Young Shulammite Bride and Jerusalem’s Daughters
22:1:001:0	The Song of Songs , which is Solomon’s .
22:1:002:0	“ May he kiss me with the kisses of his mouth ! For your love is better than wine .
22:1:003:0	Your oils have a pleasing fragrance , Your name is like purified oil ; Therefore the maidens love you .
22:1:004:0	Draw me after you and let us run together ! The king has brought me into his chambers . ” “ We will rejoice in you and be glad ; We will extol your love more than wine . Rightly do they love you . ”
22:1:005:0	“ I am black but lovely , O daughters of Jerusalem , Like the tents of Kedar , Like the curtains of Solomon .
22:1:006:0	Do not stare at me because I am swarthy , For the sun has burned me . My mother’s sons were angry with me ; They made me caretaker of the vineyards , But I have not taken care of my own vineyard .
22:1:002:1	Solomon , the Lover , Speaks
22:1:007:0	Tell me , O you whom my soul loves , Where do you pasture your flock , Where do you make it lie down at noon ? For why should I be like one who veils herselfBeside the flocks of your companions ? ”
22:1:008:0	“ If you yourself do not know , Most beautiful among women , Go forth on the trail of the flockAnd pasture your young goatsBy the tents of the shepherds .
22:1:009:0	“ To me , my darling , you are likeMy mare among the chariots of Pharaoh .
22:1:010:0	Your cheeks are lovely with ornaments , Your neck with strings of beads . ”
22:1:011:0	“ We will make for you ornaments of goldWith beads of silver . ”
22:1:012:0	“ While the king was at his table , My perfume gave forth its fragrance .
22:1:013:0	My beloved is to me a pouch of myrrhWhich lies all night between my breasts .
22:1:014:0	My beloved is to me a cluster of henna blossomsIn the vineyards of Engedi . ”
22:1:015:0	“ How beautiful you are , my darling , How beautiful you are ! Your eyes are like doves . ”
22:1:016:0	“ How handsome you are , my beloved , And so pleasant ! Indeed , our couch is luxuriant !
22:1:017:0	The beams of our houses are cedars , Our rafters , cypresses .
