40:26:001:1	The Plot to Kill Jesus
40:26:001:0	When Jesus had finished all these words , He said to His disciples ,
40:26:002:0	“ You know that after two days the Passover is coming , and the Son of Man is handed over for crucifixion . ”
40:26:003:0	Then the chief priests and the elders of the people were gathered together in the court of the high priest , named Caiaphas ;
40:26:004:0	and they plotted together to seize Jesus by stealth and kill Him .
40:26:002:1	The Precious Ointment
40:26:005:0	But they were saying , “ Not during the festival , otherwise a riot might occur among the people . ”
40:26:006:0	Now when Jesus was in Bethany , at the home of Simon the leper ,
40:26:007:0	a woman came to Him with an alabaster vial of very costly perfume , and she poured it on His head as He reclined at the table .
40:26:008:0	But the disciples were indignant when they saw this , and said , “ Why this waste ?
40:26:009:0	For this perfume might have been sold for a high price and the money given to the poor . ”
40:26:010:0	But Jesus , aware of this , said to them , “ Why do you bother the woman ? For she has done a good deed to Me .
40:26:011:0	For you always have the poor with you ; but you do not always have Me .
40:26:012:0	For when she poured this perfume on My body , she did it to prepare Me for burial .
40:26:003:1	Judas’s Bargain
40:26:013:0	Truly I say to you , wherever this gospel is preached in the whole world , what this woman has done will also be spoken of in memory of her . ”
40:26:014:0	Then one of the twelve , named Judas Iscariot , went to the chief priests
40:26:015:0	and said , “ What are you willing to give me to betray Him to you ? ” And they weighed out thirty pieces of silver to him .
40:26:016:0	From then on he began looking for a good opportunity to betray Jesus .
40:26:017:0	Now on the first day of Unleavened Bread the disciples came to Jesus and asked , “ Where do You want us to prepare for You to eat the Passover ? ”
40:26:018:0	And He said , “ Go into the city to a certain man , and say to him , ‘The Teacher says , “ My time is near ; I keep the Passover at your house with My disciples . ” ’ ”
40:26:004:1	The Last Passover
40:26:019:0	The disciples did as Jesus had directed them ; and they prepared the Passover .
40:26:020:0	Now when evening came , Jesus was reclining at the table with the twelve disciples .
40:26:021:0	As they were eating , He said , “ Truly I say to you that one of you will betray Me . ”
40:26:022:0	Being deeply grieved , they each one began to say to Him , “ Surely not I , Lord ? ”
40:26:023:0	And He answered , “ He who dipped his hand with Me in the bowl is the one who will betray Me .
40:26:024:0	The Son of Man go , just as it is written of Him ; but woe to that man by whom the Son of Man is betrayed ! It would have been good for that man if he had not been born . ”
40:26:005:1	The Lord’s Supper Instituted
40:26:025:0	And Judas , who was betraying Him , said , “ Surely it is not I , Rabbi ? ” Jesus *said to him , “ You have said yourself . ”
