7:9:001:1	Abimelech’s Conspiracy
7:9:001:0	And Abimelech the son of Jerubbaal went to Shechem to his mother’s relatives , and spoke to them and to the whole clan of the household of his mother’s father , saying ,
7:9:002:0	“ Speak , now , in the hearing of all the leaders of Shechem , ‘Which is better for you , that seventy men , all the sons of Jerubbaal , rule over you , or that one man rule over you ? ’ Also , remember that I am your bone and your flesh . ”
7:9:003:0	And his mother’s relatives spoke all these words on his behalf in the hearing of all the leaders of Shechem ; and they were inclined to follow Abimelech , for they said , “ He is our relative . ”
7:9:004:0	They gave him seventy pieces of silver from the house of Baal-berith with which Abimelech hired worthless and reckless fellows , and they followed him .
7:9:005:0	Then he went to his father’s house at Ophrah and killed his brothers the sons of Jerubbaal , seventy men , on one stone . But Jotham the youngest son of Jerubbaal was left , for he hid himself .
7:9:006:0	All the men of Shechem and all Beth-millo assembled together , and they went and made Abimelech king , by the oak of the pillar which was in Shechem .
7:9:007:0	Now when they told Jotham , he went and stood on the top of Mount Gerizim , and lifted his voice and called out . Thus he said to them , “ Listen to me , O men of Shechem , that God may listen to you .
7:9:008:0	Once the trees went forth to anoint a king over them , and they said to the olive tree , ‘Reign over us ! ’
7:9:009:0	But the olive tree said to them , ‘Shall I leave my fatness with which God and men are honored , and go to wave over the trees ? ’
7:9:010:0	Then the trees said to the fig tree , ‘You come , reign over us ! ’
7:9:011:0	But the fig tree said to them , ‘Shall I leave my sweetness and my good fruit , and go to wave over the trees ? ’
7:9:012:0	Then the trees said to the vine , ‘You come , reign over us ! ’
7:9:013:0	But the vine said to them , ‘Shall I leave my new wine , which cheers God and men , and go to wave over the trees ? ’
7:9:014:0	Finally all the trees said to the bramble , ‘You come , reign over us ! ’
7:9:015:0	The bramble said to the trees , ‘If in truth you are anointing me as king over you , come and take refuge in my shade ; but if not , may fire come out from the bramble and consume the cedars of Lebanon . ’
7:9:016:0	“ Now therefore , if you have dealt in truth and integrity in making Abimelech king , and if you have dealt well with Jerubbaal and his house , and have dealt with him as he deserved—
