12:15:001:1	Uzziah Rules in Judah
12:15:001:0	Uzziah son of Amaziah began to rule over Judah in the twenty-seventh year of the reign of King Jeroboam II of Israel .
12:15:002:0	He was sixteen years old when he became king , and he reigned in Jerusalem fifty-two years . His mother was Jecoliah from Jerusalem .
12:15:003:0	He did what was pleasing in the Lord 's sight , just as his father , Amaziah , had done .
12:15:004:0	But he did not destroy the pagan shrines , and the people still offered sacrifices and burned incense there .
12:15:005:0	The Lord struck the king with leprosy , which lasted until the day he died . He lived in isolation in a separate house . The king 's son Jotham was put in charge of the royal palace , and he governed the people of the land .
12:15:006:0	The rest of the events in Uzziah 's reign and everything he did are recorded in The Book of the History of the Kings of Judah .
12:15:002:1	Zechariah Rules in Israel
12:15:007:0	When Uzziah died , he was buried with his ancestors in the City of David . And his son Jotham became the next king .
12:15:008:0	Zechariah son of Jeroboam II began to rule over Israel in the thirty-eighth year of King Uzziah 's reign in Judah . He reigned in Samaria six months .
12:15:009:0	Zechariah did what was evil in the Lord 's sight , as his ancestors had done . He refused to turn from the sins that Jeroboam son of Nebat had led Israel to commit .
12:15:010:0	Then Shallum son of Jabesh conspired against Zechariah , assassinated him in public , and became the next king .
12:15:011:0	The rest of the events in Zechariah 's reign are recorded in The Book of the History of the Kings of Israel .
12:15:003:1	Shallum Rules in Israel
12:15:012:0	So the Lord 's message to Jehu came true : “ Your descendants will be kings of Israel down to the fourth generation . ”
12:15:013:0	Shallum son of Jabesh began to rule over Israel in the thirty-ninth year of King Uzziah 's reign in Judah . Shallum reigned in Samaria only one month .
12:15:014:0	Then Menahem son of Gadi went to Samaria from Tirzah and assassinated him , and he became the next king .
12:15:004:1	Menahem Rules in Israel
12:15:015:0	The rest of the events in Shallum 's reign , including his conspiracy , are recorded in The Book of the History of the Kings of Israel .
12:15:016:0	At that time Menahem destroyed the town of Tappuah and all the surrounding countryside as far as Tirzah , because its citizens refused to surrender the town . He killed the entire population and ripped open the pregnant women .
12:15:017:0	Menahem son of Gadi began to rule over Israel in the thirty-ninth year of King Uzziah 's reign in Judah . He reigned in Samaria ten years .
12:15:018:0	But Menahem did what was evil in the Lord 's sight . During his entire reign , he refused to turn from the sins that Jeroboam son of Nebat had led Israel to commit .
12:15:019:0	Then King Tiglath-pileser of Assyria invaded the land . But Menahem paid him thirty-seven tons of silver to gain his support in tightening his grip on royal power .
12:15:020:0	Menahem extorted the money from the rich of Israel , demanding that each of them pay fifty pieces of silver to the king of Assyria . So the king of Assyria turned from attacking Israel and did not stay in the land .
12:15:021:0	The rest of the events in Menahem 's reign and everything he did are recorded in The Book of the History of the Kings of Israel .
12:15:005:1	Pekahiah Rules in Israel
12:15:022:0	When Menahem died , his son Pekahiah became the next king .
12:15:023:0	Pekahiah son of Menahem began to rule over Israel in the fiftieth year of King Uzziah 's reign in Judah . He reigned in Samaria two years .
12:15:024:0	But Pekahiah did what was evil in the Lord 's sight . He refused to turn from the sins that Jeroboam son of Nebat had led Israel to commit .
12:15:025:0	Then Pekah son of Remaliah , the commander of Pekahiah 's army , conspired against him . With fifty men from Gilead , Pekah assassinated the king , along with Argob and Arieh , in the citadel of the palace at Samaria . And Pekah reigned in his place .
12:15:006:1	Pekah Rules in Israel
12:15:026:0	The rest of the events in Pekahiah 's reign and everything he did are recorded in The Book of the History of the Kings of Israel .
12:15:027:0	Pekah son of Remaliah began to rule over Israel in the fifty-second year of King Uzziah 's reign in Judah . He reigned in Samaria twenty years .
12:15:028:0	But Pekah did what was evil in the Lord 's sight . He refused to turn from the sins that Jeroboam son of Nebat had led Israel to commit .
12:15:029:0	During Pekah 's reign , King Tiglath-pileser of Assyria attacked Israel again , and he captured the towns of Ijon , Abel-beth-maacah , Janoah , Kedesh , and Hazor . He also conquered the regions of Gilead , Galilee , and all of Naphtali , and he took the people to Assyria as captives .
12:15:030:0	Then Hoshea son of Elah conspired against Pekah and assassinated him . He began to rule over Israel in the twentieth year of Jotham son of Uzziah .
12:15:007:1	Jotham Rules in Judah
12:15:031:0	The rest of the events in Pekah 's reign and everything he did are recorded in The Book of the History of the Kings of Israel .
12:15:032:0	Jotham son of Uzziah began to rule over Judah in the second year of King Pekah 's reign in Israel .
12:15:033:0	He was twenty-five years old when he became king , and he reigned in Jerusalem sixteen years . His mother was Jerusha , the daughter of Zadok .
12:15:034:0	Jotham did what was pleasing in the Lord 's sight . He did everything his father , Uzziah , had done .
12:15:035:0	But he did not destroy the pagan shrines , and the people still offered sacrifices and burned incense there . He rebuilt the upper gate of the Temple of the Lord .
12:15:036:0	The rest of the events in Jotham 's reign and everything he did are recorded in The Book of the History of the Kings of Judah .
12:15:037:0	In those days the Lord began to send King Rezin of Aram and King Pekah of Israel to attack Judah .
12:15:038:0	When Jotham died , he was buried with his ancestors in the City of David . And his son Ahaz became the next king .
