19:119:001:1	Aleph
19:119:001:0	Joyful are people of integrity , who follow the instructions of the Lord .
19:119:002:0	Joyful are those who obey his lawsand search for him with all their hearts .
19:119:003:0	They do not compromise with evil , and they walk only in his paths .
19:119:004:0	You have charged usto keep your commandments carefully .
19:119:005:0	Oh , that my actions would consistentlyreflect your decrees !
19:119:006:0	Then I will not be ashamedwhen I compare my life with your commands .
19:119:007:0	As I learn your righteous regulations , I will thank you by living as I should !
19:119:002:1	Beth
19:119:008:0	I will obey your decrees.Please do n't give up on me !
19:119:009:0	How can a young person stay pure ? By obeying your word .
19:119:010:0	I have tried hard to find you—do n't let me wander from your commands .
19:119:011:0	I have hidden your word in my heart , that I might not sin against you .
19:119:012:0	I praise you , O Lord ; teach me your decrees .
19:119:013:0	I have recited aloudall the regulations you have given us .
19:119:014:0	I have rejoiced in your lawsas much as in riches .
19:119:015:0	I will study your commandmentsand reflect on your ways .
19:119:003:1	Gimel
19:119:016:0	I will delight in your decreesand not forget your word .
19:119:017:0	Be good to your servant , that I may live and obey your word .
19:119:018:0	Open my eyes to seethe wonderful truths in your instructions .
19:119:019:0	I am only a foreigner in the land.Do n't hide your commands from me !
19:119:020:0	I am always overwhelmedwith a desire for your regulations .
19:119:021:0	You rebuke the arrogant ; those who wander from your commands are cursed .
19:119:022:0	Do n't let them scorn and insult me , for I have obeyed your laws .
19:119:023:0	Even princes sit and speak against me , but I will meditate on your decrees .
19:119:004:1	Daleth
19:119:024:0	Your laws please me ; they give me wise advice .
19:119:025:0	I lie in the dust ; revive me by your word .
19:119:026:0	I told you my plans , and you answered.Now teach me your decrees .
19:119:027:0	Help me understand the meaning of your commandments , and I will meditate on your wonderful deeds .
19:119:028:0	I weep with sorrow ; encourage me by your word .
19:119:029:0	Keep me from lying to myself ; give me the privilege of knowing your instructions .
19:119:030:0	I have chosen to be faithful ; I have determined to live by your regulations .
19:119:031:0	I cling to your laws.Lord , do n't let me be put to shame !
19:119:005:1	He
19:119:032:0	I will pursue your commands , for you expand my understanding .
19:119:033:0	Teach me your decrees , O Lord ; I will keep them to the end .
19:119:034:0	Give me understanding and I will obey your instructions ; I will put them into practice with all my heart .
19:119:035:0	Make me walk along the path of your commands , for that is where my happiness is found .
19:119:036:0	Give me an eagerness for your lawsrather than a love for money !
19:119:037:0	Turn my eyes from worthless things , and give me life through your word .
19:119:038:0	Reassure me of your promise , made to those who fear you .
19:119:039:0	Help me abandon my shameful ways ; for your regulations are good .
