43:6:001:1	Jesus Feeds Five Thousand
43:6:001:0	After this , Jesus crossed over to the far side of the Sea of Galilee , also known as the Sea of Tiberias .
43:6:002:0	A huge crowd kept following him wherever he went , because they saw his miraculous signs as he healed the sick .
43:6:003:0	Then Jesus climbed a hill and sat down with his disciples around him .
43:6:004:0	( It was nearly time for the Jewish Passover celebration . )
43:6:005:0	Jesus soon saw a huge crowd of people coming to look for him . Turning to Philip , he asked , “ Where can we buy bread to feed all these people ? ”
43:6:006:0	He was testing Philip , for he already knew what he was going to do .
43:6:007:0	Philip replied , “ Even if we worked for months , we would n't have enough money to feed them ! ”
43:6:008:0	Then Andrew , Simon Peter 's brother , spoke up .
43:6:009:0	“ There 's a young boy here with five barley loaves and two fish . But what good is that with this huge crowd ? ”
43:6:010:0	“ Tell everyone to sit down , ” Jesus said . So they all sat down on the grassy slopes . ( The men alone numbered about 5,000 . )
43:6:011:0	Then Jesus took the loaves , gave thanks to God , and distributed them to the people . Afterward he did the same with the fish . And they all ate as much as they wanted .
43:6:012:0	After everyone was full , Jesus told his disciples , “ Now gather the leftovers , so that nothing is wasted . ”
43:6:013:0	So they picked up the pieces and filled twelve baskets with scraps left by the people who had eaten from the five barley loaves .
43:6:014:0	When the people saw him do this miraculous sign , they exclaimed , “ Surely , he is the Prophet we have been expecting ! ”
43:6:002:1	Jesus Walks on Water
43:6:015:0	When Jesus saw that they were ready to force him to be their king , he slipped away into the hills by himself .
43:6:016:0	That evening Jesus ' disciples went down to the shore to wait for him .
43:6:017:0	But as darkness fell and Jesus still had n't come back , they got into the boat and headed across the lake toward Capernaum .
43:6:018:0	Soon a gale swept down upon them , and the sea grew very rough .
43:6:019:0	They had rowed three or four miles when suddenly they saw Jesus walking on the water toward the boat . They were terrified ,
43:6:020:0	but he called out to them , “ Do n't be afraid . I am here ! ”
43:6:003:1	Jesus , the Bread of Life
43:6:021:0	Then they were eager to let him in the boat , and immediately they arrived at their destination !
43:6:022:0	The next day the crowd that had stayed on the far shore saw that the disciples had taken the only boat , and they realized Jesus had not gone with them .
