4:16:001:1	Korah 's Rebellion
4:16:001:0	One day Korah son of Izhar , a descendant of Kohath son of Levi , conspired with Dathan and Abiram , the sons of Eliab , and On son of Peleth , from the tribe of Reuben .
4:16:002:0	They incited a rebellion against Moses , along with 250 other leaders of the community , all prominent members of the assembly .
4:16:003:0	They united against Moses and Aaron and said , “ You have gone too far ! The whole community of Israel has been set apart by the Lord , and he is with all of us . What right do you have to act as though you are greater than the rest of the Lord 's people ? ”
4:16:004:0	When Moses heard what they were saying , he fell face down on the ground .
4:16:005:0	Then he said to Korah and his followers , “ Tomorrow morning the Lord will show us who belongs to him and who is holy . The Lord will allow only those whom he selects to enter his own presence .
4:16:006:0	Korah , you and all your followers must prepare your incense burners .
4:16:007:0	Light fires in them tomorrow , and burn incense before the Lord . Then we will see whom the Lord chooses as his holy one . You Levites are the ones who have gone too far ! ”
4:16:008:0	Then Moses spoke again to Korah : “ Now listen , you Levites !
4:16:009:0	Does it seem insignificant to you that the God of Israel has chosen you from among all the community of Israel to be near him so you can serve in the Lord 's Tabernacle and stand before the people to minister to them ?
4:16:010:0	Korah , he has already given this special ministry to you and your fellow Levites . Are you now demanding the priesthood as well ?
4:16:011:0	The Lord is the one you and your followers are really revolting against ! For who is Aaron that you are complaining about him ? ”
4:16:012:0	Then Moses summoned Dathan and Abiram , the sons of Eliab , but they replied , “ We refuse to come before you !
4:16:013:0	Is n't it enough that you brought us out of Egypt , a land flowing with milk and honey , to kill us here in this wilderness , and that you now treat us like your subjects ?
4:16:014:0	What 's more , you have n't brought us into another land flowing with milk and honey . You have n't given us a new homeland with fields and vineyards . Are you trying to fool these men ? We will not come . ”
4:16:015:0	Then Moses became very angry and said to the Lord , “ Do not accept their grain offerings ! I have not taken so much as a donkey from them , and I have never hurt a single one of them . ”
4:16:016:0	And Moses said to Korah , “ You and all your followers must come here tomorrow and present yourselves before the Lord . Aaron will also be here .
4:16:017:0	You and each of your 250 followers must prepare an incense burner and put incense on it , so you can all present them before the Lord . Aaron will also bring his incense burner . ”
4:16:018:0	So each of these men prepared an incense burner , lit the fire , and placed incense on it . Then they all stood at the entrance of the Tabernacle with Moses and Aaron .
4:16:019:0	Meanwhile , Korah had stirred up the entire community against Moses and Aaron , and they all gathered at the Tabernacle entrance . Then the glorious presence of the Lord appeared to the whole community ,
4:16:020:0	and the Lord said to Moses and Aaron ,
4:16:021:0	“ Get away from all these people so that I may instantly destroy them ! ”
4:16:022:0	But Moses and Aaron fell face down on the ground . “ O God , ” they pleaded , “ you are the God who gives breath to all creatures . Must you be angry with all the people when only one man sins ? ”
4:16:023:0	And the Lord said to Moses ,
4:16:024:0	“ Then tell all the people to get away from the tents of Korah , Dathan , and Abiram . ”
4:16:025:0	So Moses got up and rushed over to the tents of Dathan and Abiram , followed by the elders of Israel .
4:16:026:0	“ Quick ! ” he told the people . “ Get away from the tents of these wicked men , and do n't touch anything that belongs to them . If you do , you will be destroyed for their sins . ”
4:16:027:0	So all the people stood back from the tents of Korah , Dathan , and Abiram . Then Dathan and Abiram came out and stood at the entrances of their tents , together with their wives and children and little ones .
4:16:028:0	And Moses said , “ This is how you will know that the Lord has sent me to do all these things that I have done—for I have not done them on my own .
4:16:029:0	If these men die a natural death , or if nothing unusual happens , then the Lord has not sent me .
4:16:030:0	But if the Lord does something entirely new and the ground opens its mouth and swallows them and all their belongings , and they go down alive into the grave , then you will know that these men have shown contempt for the Lord . ”
4:16:031:0	He had hardly finished speaking the words when the ground suddenly split open beneath them .
4:16:032:0	The earth opened its mouth and swallowed the men , along with their households and all their followers who were standing with them , and everything they owned .
4:16:033:0	So they went down alive into the grave , along with all their belongings . The earth closed over them , and they all vanished from among the people of Israel .
4:16:034:0	All the people around them fled when they heard their screams . “ The earth will swallow us , too ! ” they cried .
4:16:035:0	Then fire blazed forth from the Lord and burned up the 250 men who were offering incense .
4:16:036:0	And the Lord said to Moses ,
4:16:037:0	“ Tell Eleazar son of Aaron the priest to pull all the incense burners from the fire , for they are holy . Also tell him to scatter the burning coals .
4:16:038:0	Take the incense burners of these men who have sinned at the cost of their lives , and hammer the metal into a thin sheet to overlay the altar . Since these burners were used in the Lord 's presence , they have become holy . Let them serve as a warning to the people of Israel . ”
4:16:039:0	So Eleazar the priest collected the 250 bronze incense burners that had been used by the men who died in the fire , and the bronze was hammered into a thin sheet to overlay the altar .
4:16:040:0	This would warn the Israelites that no unauthorized person—no one who was not a descendant of Aaron—should ever enter the Lord 's presence to burn incense . If anyone did , the same thing would happen to him as happened to Korah and his followers . So the Lord 's instructions to Moses were carried out .
4:16:041:0	But the very next morning the whole community of Israel began muttering again against Moses and Aaron , saying , “ You have killed the Lord 's people ! ”
4:16:042:0	As the community gathered to protest against Moses and Aaron , they turned toward the Tabernacle and saw that the cloud had covered it , and the glorious presence of the Lord appeared .
4:16:043:0	Moses and Aaron came and stood in front of the Tabernacle ,
4:16:044:0	and the Lord said to Moses ,
4:16:045:0	“ Get away from all these people so that I can instantly destroy them ! ” But Moses and Aaron fell face down on the ground .
4:16:046:0	And Moses said to Aaron , “ Quick , take an incense burner and place burning coals on it from the altar . Lay incense on it , and carry it out among the people to purify them and make them right with the Lord . The Lord 's anger is blazing against them—the plague has already begun . ”
