9:17:001:1	Goliath Challenges the Israelites
9:17:001:0	The Philistines now mustered their army for battle and camped between Socoh in Judah and Azekah at Ephes-dammim .
9:17:002:0	Saul countered by gathering his Israelite troops near the valley of Elah .
9:17:003:0	So the Philistines and Israelites faced each other on opposite hills , with the valley between them .
9:17:004:0	Then Goliath , a Philistine champion from Gath , came out of the Philistine ranks to face the forces of Israel . He was over nine feet tall !
9:17:005:0	He wore a bronze helmet , and his bronze coat of mail weighed 125 pounds .
9:17:006:0	He also wore bronze leg armor , and he carried a bronze javelin on his shoulder .
9:17:007:0	The shaft of his spear was as heavy and thick as a weaver 's beam , tipped with an iron spearhead that weighed 15 pounds . His armor bearer walked ahead of him carrying a shield .
9:17:008:0	Goliath stood and shouted a taunt across to the Israelites . “ Why are you all coming out to fight ? ” he called . “ I am the Philistine champion , but you are only the servants of Saul . Choose one man to come down here and fight me !
9:17:009:0	If he kills me , then we will be your slaves . But if I kill him , you will be our slaves !
9:17:010:0	I defy the armies of Israel today ! Send me a man who will fight me ! ”
9:17:002:1	Jesse Sends David to Saul 's Camp
9:17:011:0	When Saul and the Israelites heard this , they were terrified and deeply shaken .
9:17:012:0	Now David was the son of a man named Jesse , an Ephrathite from Bethlehem in the land of Judah . Jesse was an old man at that time , and he had eight sons .
9:17:013:0	Jesse 's three oldest sons — Eliab , Abinadab , and Shimea — had already joined Saul 's army to fight the Philistines .
9:17:014:0	David was the youngest son . David 's three oldest brothers stayed with Saul 's army ,
9:17:015:0	but David went back and forth so he could help his father with the sheep in Bethlehem .
9:17:016:0	For forty days , every morning and evening , the Philistine champion strutted in front of the Israelite army .
9:17:017:0	One day Jesse said to David , “ Take this basket of roasted grain and these ten loaves of bread , and carry them quickly to your brothers .
9:17:018:0	And give these ten cuts of cheese to their captain . See how your brothers are getting along , and bring back a report on how they are doing . ”
9:17:019:0	David 's brothers were with Saul and the Israelite army at the valley of Elah , fighting against the Philistines .
9:17:020:0	So David left the sheep with another shepherd and set out early the next morning with the gifts , as Jesse had directed him . He arrived at the camp just as the Israelite army was leaving for the battlefield with shouts and battle cries .
9:17:021:0	Soon the Israelite and Philistine forces stood facing each other , army against army .
9:17:022:0	David left his things with the keeper of supplies and hurried out to the ranks to greet his brothers .
9:17:023:0	As he was talking with them , Goliath , the Philistine champion from Gath , came out from the Philistine ranks . Then David heard him shout his usual taunt to the army of Israel .
9:17:024:0	As soon as the Israelite army saw him , they began to run away in fright .
