19:59:001:1	Psalm . lix .
19:59:002:1	¶ Eripe me de inimicis .
19:59:001:0	VY-Dew , gwared vi rac vy-gelynion : amddeffen vi rac y gyfotant im erbyn .
19:59:002:0	Gwared vi rac y gweithredwyr enwireð , a chadw vyvy rac ygwyr gwaedlyt .
19:59:003:0	Can ys wely , y maent yn cynllwyn vy enait : y cedyrn a ymglascesont yn v’erbyn , nid ar vy-bei na’m pechot i , Arglwydd .
19:59:004:0	Y maent yn rhedec ac yn ymparatoi nid er bai [ om rhan i] : cyvot [ tithef] im cymporth , ac edrych .
19:59:005:0	A’ thydi Arglwydd Ddew y lluoedd , Dew Israel deffro y ovwyo yr oll cenedloedd , ac na thrugará wrth yr ei sy yn gwneythyr ar gam yn valeisus . Sélah .
19:59:006:0	Y maent wy yn cynired gan yr hwyr : y maent yn ymgyvarth val cwn , ac yn amgylchynu y dinas .
19:59:007:0	Wele , y maent yn ymorugaw yn ei ymadrodd , a’ chleddyfae [ ys ydd] yn ei gwefusae : can ys Pwy [ meddant] a glyw ?
19:59:008:0	Tithau Arglwydd , eu gwatwory , [ ac] a chwerthy am ben yr oll genedloedd .
19:59:009:0	Y mae nerth ganthaw : [ a’ mi] a ddysgwiliaf wrthyt : can ys Dew [ yw] vy noddet .
19:59:010:0	Vy-Dew trugaroc a’m rhacvlaena : Dew a ad ymy welet [ vy puchet] ar vy-gelynion .
19:59:011:0	Na ladd hwy , rac im popul [ ei] ebrgofi : [ eithr] goyscar wynt ar grwydr gan dy nerth , a’ thyn hwy i lawr , Arglwydd ein tarian .
19:59:012:0	[ Am] bechot ei genae , [ a’] geiriae ei gwefusae : a’ dalher hwy yn ei balchder , ys am ei h’anudon a’i celwydd , [ y] ddywedant .
19:59:013:0	Diva [ wynt] yn dy lit : diva [ hwy] val na bo mwy o hanwynt : a’ bit ydd wynt wybot mae Dew ’s’yn llywyaw yn Iaco , [ ys]yd tervyneu byt . Sélah .
19:59:014:0	A’ phryt gosper yr ymchwelant : ac ymchwerwant val ci , ac amgylchiant y Dinas .
19:59:015:0	Crwydro a wnant y [ geisio] bwyt , [ ac] ny ys digonir cy trigant dros nos .
19:59:016:0	Minau a ganaf oth veddiant ti , ac a gan-molaf dy drugaredd y borae : can ys buost’ vy amddeffen a’m noddet yn-dydd vy-cyfingder .
19:59:017:0	Yty , vy nerth , y canaf : can ys Dew [ yw] vy nawð , [ a’]m Dew trugarawc .
