19:79:001:1	Psalm . lxxix .
19:79:002:1	¶ Deus venerunt gentes .
19:79:001:0	A Ddew , daeth y cenedloedd ith etiueddiaeth : dy Templ sanctaidd a alogasant , a’ gwnaethant Caerusalem yn bentyrreu [ ceric . ]
19:79:002:0	Celanedd dy weision y roesaut yn vwyt y adar y nefoedd : [ a’] chic dy Sainct y vwystviledd y ddaiar .
19:79:003:0	Ei gwaed y ðineuesant mal dwfyr o amgylch Caerusalem , ac nid oedd nep y’w claddu .
19:79:004:0	Ydd ŷm yn warthrudd i’n cymydogion , [ ys] yn dremic ac yn watworgerdd ir ei sydd o’n amgylch .
19:79:005:0	Arglwydd , yd pa hyd y digi yn dragyvyth ? a lysc dy eiddygedd mal tan ?
19:79:006:0	Dinéa dy var ar y cenedlnedd nith adnabuont , ac ar y teyrnasoedd ny ’alwasant ar dy Enw .
19:79:007:0	Canys ysu Iaco a wnaethant , a’ diffeithio ei- breswylfa .
19:79:008:0	Na choffa ini y pechatae gynt , [ and] brysia ath dostur drugareddeu an rracvlaeno : dirvawr yw ’n trueni .
19:79:009:0	Cymporth ni-Ddew ein iechyt , er gogoniant dy Enw , a’ gwared ni a’ thrugará wrth ein pechatae er mwyn dy Enw .
19:79:010:0	Paam , y dywedei y cenedloeð , P’le mae y Dew hwy ? adnabyðer ef ym-plith y cenedloeð yn dy ’olwc gan ðialeð gwaet dy weision y ’orddineuwyt .
19:79:011:0	Deuet vchenaid y carcharorion ger dy wynep : yn ol mowredd dy vraich , cadw blant angeu ,
19:79:012:0	A’ dod in cymydogion [ ar ei] saithvet yw monwes ei cabl , a’r hwn ith caplasant , Arglwydd .
19:79:013:0	A’ nineu ty popul a’ deueit dy porva ath glodvorwn yn tragyvyth : ac o genedlaeth i genedlaeth y datcanwn dy voliant .
