19:84:001:1	Psalm . lxxxiiij .
19:84:002:1	Quam dilecta tabernacula .
19:84:001:0	O Arglwydd y lluoedd , mor serchawc yw dy bepyll .
19:84:002:0	Y mae vy eneit mewn dychwant , ytyw , ac yn trengy am neuaddae yr Arglwydd : [ can ys] vy-calon am-cnawd ys ydd a’ei gorvoledd yn-Dew byw .
19:84:003:0	Ys aderyn y to a gavas iddo duy , a’r wennol nyth yddi llei dyd ei adar , [ sef] wrth dy alloreu , Arglwydd y lluoedd , vy-Brenhin a’m Dew .
19:84:004:0	Gwyn ei byd yr ei y drigant yn dy duy : yn ’oystat ith voliannant . Sélah .
19:84:005:0	Gwyn ei vyd y dyn , [ ys yd] ei nerth ynoti , [ ac] ath ffyrð yn ei galon .
19:84:006:0	Yr ei’s ’yn mynet] drwy ddyffryn Bacá y wnant ffynnonie ynthaw : y glaw hefyt a wisc y llynneu .
19:84:007:0	Yniddeith y wnant o nerth y-nerth [ y’ny] ymddangoso [ pop vn] ger brou Dew yn tSijon .
19:84:008:0	Arglwydd Ddew y lluoeð , erglyw vy-gweði : gwrando â Ddew Iaco . Selah ,
19:84:009:0	Dew ein tarian sylla , ac edrych ar wynep dy Enneiniawc .
19:84:010:0	Can ys gwell die r not yn dy neuaddeu no miloedd , [ yn lle arall] : dewisach-genyf vot ar yr hinioc yn tuy vy-Dew , na thrigio ym-pepyll yr andewioldep .
19:84:011:0	Can [ vot] yr Arglwydd Ddew yn haul ac yn darian [ y ni] : yr Arglwydd a rydd ’rat a’ gogoniant , ac nid attal e ddim da rac y sawl y rodiant ym-perfeithrwydd .
19:84:012:0	Arglwydd y lluoedd , gwyn ei vyd y dyn a ymddiriet ynot’ .
