19:96:001:1	Psalm . xcvj .
19:96:002:1	Cantate domino .
19:96:001:0	CAwch ir Arglwydd ganiat newydd : cennwch ir Arglwydd , yr oll ddaiar .
19:96:002:0	Cenwch ir Arglwydd , [ a’] molwch ei Enw , manegwch o ddyð yddydd y Iecheit ef .
19:96:003:0	Decleriwch ei ’ogoniant ymplith yr oll cenedloedd , [ a’] ei ryveddodae ymplith yr oll poploedd .
19:96:004:0	Can ys mawr [ yw’r] Arglwydd a’thra chanmoladwy : terribil yw uchlaw yr oll ddewiae .
19:96:005:0	O bleit oll ddewiae y bopuloeð idolon [ ynt] : sef yr Arglwydd y wnaeth y nefoedd .
19:96:006:0	Nerth a’ gogoniant ys y rac ei vron : meddiant ac anrydedd [ ys ydd] yn ei Gyssecr .
19:96:007:0	Rowch ir Arglwydd chwychwy dylwytheu y bopul : rrowch ir Arglwydd ’ogoniant a’ gallu .
19:96:008:0	Rrowch ir Arglwydd ’ogoniant ei Enw : dygwch offrwm a’ dewch y mewn y’w nauaddeu .
19:96:009:0	Addolwch yr Arglwydd yn y prydverth Gyssecr : ofnwch rac ei wynep yr oll ddaiar .
19:96:010:0	Dywedwch ymplith y cenedloedd , Yr Arglwydd a deyrnasa : ys ffyrféir y byt , [ ac] nyd yscoc , ac efe a varn y bopuloedd yn vniondep .
19:96:011:0	Llawenhaet y nefoedd , a bit hyfryd y ddaiar , daddyrddet y môr a ei gyflawnder .
19:96:012:0	Llawenechet y maes , a’ phop peth ys yd ynthaw : yno bid hyfryt oll wydd y coet ,
19:96:013:0	Rac bron yr Arglwydd : can y vot ef yn dyvot , can eu vot yn dyvot i varny y ddaiar : ef a varn y byt ac iawnder , a’r bopuloedd yn ei wirionedd .
