40:18:001:1	Pen . xviij .
40:18:002:1	Y mwyaf yn terynas nef . Ef yn dyscy ei ddiscipulon y vot yn uvyddyon ac yn ddiniwed . Ymoglyd rhac achosiaw drwc . Na thremyger yr hai bychain . Paam y daeth Christ . Am gosp broderawl . Am awturtot yr Eccles . Moliant gweddi a’ chynulleidfae dwywol , Am vaddeuant brawdol .
40:18:001:0	YR amser hynny y deuth y discipulon at yr Iesu , can ddywedyt , Pwy ’sy vwya yn‐teyrnas nefoedd ?
40:18:002:0	A’r Iesu a alwawdd ataw vachcenyn , ac ei gosodes yn ei cyfrwng ,
40:18:003:0	ac a ðyvot , Yn wir y dywedaf wrthych , a ddieithyr eich ymchwelyt , a’ bot mal bachenot nid ewch i deyrnas nefoeð .
40:18:004:0	Pwy bynac can hyny a ymestyngo mal y bachcenyn hwn , hwnw yw’r mwyaf yn‐teyrnas nefoedd .
40:18:005:0	A’ phwy pynac a dderbyn gyfryw vachcenyn yn vy Enw , a’m derbyn i .
40:18:006:0	A’ phwy bynac a rwystro vn or ei bychein hynn a credant yno vi , gwell oedd , iddaw pe crogit maē melin am ei vwnwgl , a’ ei voddy yn eigiawn y mor .
40:18:007:0	Gwae’r byt o bleit rhwystrae : can ys angenreit yw dewot rhwystrae : er hyny gwae’r dyn hwnw . y gan yr vn yd ef y rhwystr .
40:18:008:0	Can hyny a’s dy law nai dy droet ath rhwystra , tor wy ymaith , a’ thavl y wrthyt : gwell yw yty vynet i vywyt , yn gloff , ai yn anafus , nath tavly ac yty ddwy law , a’ dau droet i dan tragavythawl .
40:18:009:0	Ac a’s dy lygat ath rwystra , tynn allan , a’ thavl y wrthyt : gwell yw yty vynet i vywyt ac vn llygat , na’c a dau lygat , dy davly i dan yffern .
40:18:010:0	Gwelwch na thremygoch yr vn o’r ei bychein hynn : canys dywedaf y chwi , pan yw yn y nefoeð vot y Aggelō wy bop amser yn gwelet wynep vy‐Tat yr hwn ys y yn y nefoedd .
40:18:011:0	Can ys daeth Map y dyn i gadw yr hyn a gollesit .
40:18:012:0	Beth a dybiwchvvi ? A’s byddei i ddyn gan davat , a’ myned o vn o hanynt ar ddisperot , a ny ad ef y namyn vn pemp ugain , a’ myned ir mynyddedd a’ cheisio yr hon aethesei ar ddysperot ?
40:18:013:0	Ac a’s byð yddo y chael hi , yn wir y dywedaf y‐chwi , mae mwy llawen yw ganthaw am y ddavat hono , nag am y namyn vn pemp vcain nyd aethent ar ddispirot .
40:18:014:0	Velly nid yw ewyllys eich Tat ysy yn y nefoedd , bot cyfergolli yr vn or ei bychainhyn .
40:18:015:0	Eb law hyny a’s pecha dy vrawt ith erbyn , does , a’ cherydda ef ryngot ac ef wrth y vn : a’s ef ath wrendy , enilleist dy vrawt .
40:18:016:0	Ac as ef ni’th wrendy , cymer gyd a thi eto vn nei ðau , val y bo gan enae dau nei dri o testion ally sefyll o bop gair .
40:18:017:0	Ac a’s ef ny bydd gwiw gantaw eu gwrandaw , dywait wrth yr Eccleis : ac a’s ef ny vynn wrandaw ’r Eccleis chwaith , bit ef y‐ty megis Cenedlic a Phublican .
40:18:018:0	Yn wir y dywedaf , ychwi , Pa bethe pynac a rwymoch ar y ddaiar , a rwymir yn y nefoedd , a’ pha bethae bynac a ellyngwch ar y ddaiar , a ellyngir yn y nef .
40:18:019:0	Trachefyn , yn vvir y dywedaf wrthych , a’s cydsynnia dau o hanoch yn y ddaiar ar ddim oll , beth bynac ar a archant , y rhoðir yðynt y gan vy‐Tat yr hwn ’sy yn y nefoedd .
40:18:020:0	Can ys ymp le pynac ydd ymgynnull dau n’ei dri , yn vy Enw i , yno ydd wyf yn ei cenol wy . Yr Euangel y xxij . Sul gwedy Trintot .
40:18:021:0	¶ Yno y daeth Petr ato ef , ac a ddyvot , Arglwydd , pa sawl gwaith y pecha vy‐brawt im erbyn , ac y maddeuaf yddaw ? ai yd seithwaith ?
40:18:022:0	Yr Iesu a ddyvot wrthaw , Ny ddywedaf y‐ty , yd seithwaith , anid yd seithwaith ddecwaith seithwaith .
40:18:023:0	Am hynny y cyffelypir teyrnas nefoedd i ryw Frenhin , pwy vynnei gael cyfrif can ei weision .
40:18:024:0	A’ phan ddechreysei gyfrif , e dducpwyt vn attaw , a oedd yn ei ddylet o ddec mil o talentae .
