40:24:001:1	Pen . xxiiij .
40:24:002:1	Christ yn menegy yw ddiscipulon o ddistrywiat y templ . Am y gau-Christiae . Am barhay . Precethy ’r Euangel . Arwyddion diwedd y byd . Ef yn ei rhybyddiaw y
40:24:003:1	‡
40:24:004:1	ddihuno
40:24:005:1	ddyffroi . Disymwth ddyvodiat Christ .
40:24:001:0	A’R Iesu a ddynnodd allan ac a aeth i ffordd o’r Templ , a’ei ddiscipulon a ddaethan attaw y ddangos iddo adailiadaeth y Templ .
40:24:002:0	A’r Iesu a ddyvot wrthynt , Any wellwch chvvi hyn oll ? yn wir y dywedaf ychwi , ny edevvir yma vaen ar vaen , a’r ny vwrir i lawr .
40:24:003:0	Ac val ydd eisteddai ef ar vynyth olivar y daeth ei ddsscipulon attaw o’r neilltu , gan ddywedyt , Maneg y ni pa bryd y byð y pethae hyn ? a’ pha arwydd vydd oth ddyvodiat , ac o ddiwedd y byd ?
40:24:004:0	A’r Iesu a atepawdd ac a ddyvot wrthyn , Y mogelwch rac i neb ych twyllo chwychvvi .
40:24:005:0	Can ys daw llawerion yn vy Enw i , gan ddywedyt , Mi yw Christ , ac a dwyllant laweroedd .
40:24:006:0	Ac e vydd i chwi glywed am ryveloeð a’ sonion am ryveloedd : gwelwch na’ch trolloder : can ys dir yw bot cyflavvni y pethae hyn oll , eythyr nad oes etwa dervyn .
40:24:007:0	Can ys cyvyt cenedl yn erbyn cenedl , a’ theyrnas yn erbyn teyrnas , ac e vydd y nodae , a’ newynae a ’dayargrynedigaethae mewn amravel vannae .
40:24:008:0	Ac nyd yvv hyn oll anyd dechreuad y gofidieu .
40:24:009:0	Yno ich rhoddant chvvi ich gorthrymy , ac i’ch lladdant , ac ich caseir gan yr oll genedloedd er mwyn vy Enw i .
40:24:010:0	Ac yno y rhwystrir llawerion , ac y bradychant ygilydd , ac y casaant ygylydd .
40:24:011:0	Ac e gyfyd gau prophwyti lawer , ac a dwyllant lawerion .
40:24:012:0	A’ chanys yr amylhaiff enwireð , ef a oera cariat llawerion .
40:24:013:0	Eithyr y nep a barhao yd y diweð , hwn a vydd cadwedic .
40:24:014:0	A’r Euangel hon y deyrnas a precethir trwy’r oll vyt , yn testoliaeth i’r oll genedloedd : ac yno y daw ’r tervyn ,
40:24:015:0	Can hyny pan weloch ffieidtra y diffeithwch , yr hyn a ddywedpwyt y gan Ddaniel Brophwyt , yn sefyll yn y lle sanctaidd ( y nep ai darlleno , ystyried )
40:24:016:0	yno yr ei a ront yn Iudaea ciliant ir mynyddedd .
40:24:017:0	Y nep a vo ar ben y tuy na ddescendet i gymeryd dim allan oei duy .
40:24:018:0	A’ hwn a vo yn y maes , nac ymchweled dra i gefyn i gymeryd ei ddillat .
40:24:019:0	A’ gwae ’r ei beichiogion , a’r ei yn daly bronae yn y dyddiae hyny .
40:24:020:0	A’ gweddiwch na bo ich ciliat y gayaf nac ar y dydd Sabbath .
40:24:021:0	Can ys y pryd hyny y bydd gorthrymder mawr , cyfryw ac na bu er dechrae’r byt yd yr awr hon , ac ny bydd .
40:24:022:0	Ac o ðyeithyr byrhay y dyddiae hyny , ny’s iacheir neb cnawdd : eithyr er mwyn yr etholedigion y byrheir y dyddiae hyny .
40:24:023:0	Yno a’s dywait nep wrthych , Wele , lly’ma Christ , nei ll’yna , na chredwch .
40:24:024:0	Can ys‐cyfyd gau Gristie , a’ gau‐prophwyti , ac a ddangosant arwyddion mawr ac aruthroeð , yn y thwyllent , pe bei possibil , y gwir etholedigion .
40:24:025:0	Nycha , ys dywedeis yw’ch yny blaen ,
40:24:026:0	Gan hyny a’s dywedant , wrthych , Nycha , y mae ef yn y diffaith , nac ewch allan , Nycha y mae ef mewn dirgelfae , na chredwch .
40:24:027:0	O bleit val y daw’r vellten o’r Dwyrein , ac y tywynna yd y Gorllewyn , velly hefyt y bydd dyfodiat Map y dyn .
40:24:028:0	Can ys p’le pynac y bo celain yno ydd ymgascla’r eryrod .
40:24:029:0	Ac yn y van wedy gorthrymdere y dyddiae hyny , y tywyllir yr haul , a’r leuad ny rydd ei goleuni , a’r ser a syrthiant o’r nef , a’ nerthoedd y nefoedd a gyffroir .
40:24:030:0	Ac yno yr ymddengys arwydd Map y dyn yny nef : ac yno y bydd oll llwythae ’r ddayar yn ewynvanu , ac wy a welant Vap y dyn yn dyvot yn wybrenae ’r nef , y gyd a nerth a’ gogoniant mawr .
40:24:031:0	Ac ef a ddenfyn ei Angelion gyd a llef vawr yr vtcorn , ac wy a gaselant yr etholedigion yn‐cyd , o’r pedwar gwynt ac o’r eithafoedd bygylydd i’r nefoedd .
40:24:032:0	Dyscwch weithian barabol y ffycuspren : pan yw ei gangen yn dyner , a’ei ddail yn tarddy , ys gwyddoch vot yr haf yn agos .
40:24:033:0	Ac velly chwithe , pan weloch hynn oll , gwybyddwch vot teyrnas Ddevv yn agos , ’sef wrth y drws .
40:24:034:0	Yn wir y dywedaf wrthych , nad aa yr oes hon heibio , yn y wneler hyn oll .
40:24:035:0	Nef a’ daiar aan heibio , eithyr vy‐gairiae i nyd an heibio .
40:24:036:0	Ac am y dydd hwnw a’r awr nys gwyr nep , nac Angelion y nef , anyd y Tad meu vi yn vnic .
40:24:037:0	Ac val ydd oedd dyddiae Noe , velly hefyt vydd dyvodiat Map y dyn .
40:24:038:0	Obleit val ydd oeddent yn y dyddiae ym‐blaen diliw yn bwyta , ac yn yfet , yn gwreica , ac yn gwra , yd y dyð ydd aeth Noe ir Arch ,
40:24:039:0	ac ny wybuont dim , yn y ddeuth y diliv a’ei cymeryd wy oll y ffordd , ac velly vydd dyvodiat Map y dyn .
40:24:040:0	Yno y bydd dau ddyn yn y maes , vn a gymerir ac arall a adewir .
40:24:041:0	Dwy vydd yn maly ym‐melyn , vn a gymerir , a’r llall a edevvir .
40:24:042:0	Gwiliwch am hyny : can na wyddoch pa awr y daw eich Arglwydd .
40:24:043:0	A’ gwybyddwch hyn , pe gwyddiat gwr y tuy pa wylfa y dauei ’r lleitr , ef a wiliesei yn ddilis , ac ny adawsei gloddio ei duy trywodd .
40:24:044:0	Can hyny byddwch chwithe parot : can ys yn yr awr ny’s tybiwch yd‐aw Map y dyn .
40:24:045:0	Pwy wrth hyny ’sy was ffyddlon a’ doeth , yr hwn a ’osodawdd ei Arglwydd yn or’chvvilivvr ar ei duylu , y roddi bwyt yddynt yn ei dympor ?
40:24:046:0	Gwyn ei vyd y gwas hwnaw yr vn pan ddel ei Arglwyð ei caiff yn gwneythyd velly .
40:24:047:0	Yn wir y dywedaf ywch’ y gesyt ef yn oruchvvilivvr ar ei oll dda .
40:24:048:0	And a’s dyweit y gwas drwc hwnw yn ei galon , Ef a oeda vy Arglwydd ei ddyvoddiat ,
40:24:049:0	a’ dechrae bayddy ei gydweision , a’ bwyta ac y fed y gyd a’r meddwon :
40:24:050:0	ef a ddaw Arglwydd y gwas hwnaw yn y dydd nyd edrych am danaw , ac mewn awr a’r ny’s gwyr ef :
40:24:051:0	ac ef a ei gwahan ef , ac a ddyd yddo ei ran y gyd a’r hypocritieit : yno y bydd wylofain ac ys cyrnygy dannedd .
