40:27:001:1	Pen . xxvij .
40:27:002:1	Delifro Christ at Pilat . Iudas yn ymgrogy . Bot cyhoeddi Christ yn wirion gan y beirniat , ac er hyny ei groci ynghyfrwng llatron . Ef yn gweddiaw ar ucha y groc . Bot rhwygo ’r llen . Y cyrph meirw yn cyuodi . Ioseph yn claddu Christ . Gwylwyr yn cadw’r bedd .
40:27:001:0	A’ Phan ddeuth y borae , yð ymgyggorawð yr oll Archoffeiriait a’ Henurieit y popul yn erbyn yr Iesu , er ei roddy i angae ,
40:27:002:0	ac aethant ymaith ac ef yn rhwym , ac ei rhoeāt Pontius Pilatus y l’ywiawdr .
40:27:003:0	Yno pan weles Iudas aei bradychawdd , ei ady ef yn auawc , e vu edivar ganthaw , ac a dduc drachefn y dec arucain ariant ir Archoffeiriait , a’r Henurieit ,
40:27:004:0	gan ddywedyt , Pechais can vradychy gwaet gwirian . Wythae a ðywydesont , Peth yw hyny i ni ? edrych ti .
40:27:005:0	Ac wedy yddaw davly yr ariant yn y Templ , ef a ymadawodd , ac aeth , ac a ymgrogawdd .
40:27:006:0	A’r Archoffeiriait a gymeresont yr ariant , ac a ddywedesont , Nyd cyfreithlawn i ni ei bwrw wy yn y Corbā , can ys gwerth gwaet ytyw .
40:27:007:0	A’ gwedy yddynt ymgydgyggori , wy brynesont ac wynt vaes y crochenydd i gladdy pererinion .
40:27:008:0	Ac am hyny y gelwir y maes hwnw Maes y gwaet yd y dydd heddyw .
40:27:009:0	( Yno y cwplawyt yr hynn a ddywedpwyt trwy Ieremias y Prophwyt , y ddywait , Ac wynt a gymersont ddec ar ucain ariant , gwerth y gwerthedic , yr hwn a brynesōt gan plāt ’r Israel .
40:27:010:0	Ac wynt eu roesont am vaes y crochenyð , megis y gossoddes yr Arglwydd ymy )
40:27:011:0	A’r Iesu a safawð geyr bron y llywyawdr , a’r llywyawdr a ovynawdd yddo , can ddywedyt , Ai ti’r Brehin yr Iuddaeon ? A’r Iesn a ddyvot wrthaw , tu ei dywedeist .
40:27:012:0	A’ phan gyhuddwyt ef can yr Archoffeiwait ar Henurieit , nyd atepawdd ef ddim .
40:27:013:0	Yno y dyvot Pilatus wrthaw , A ny chlywy veint o pethae y maent wy yn ei roi yn dy erbyn ?
40:27:014:0	Ac y nyd atepawdd ef yddo i vn gair , val y rryweddawdd y llywawdr yn vawr .
