40:5:001:1	Pen . v .
40:5:002:1	Christ yn dyscy pwy rei ys y ddedwydd . Am halen y ddayar a’ golauni ’r byd . Am weithredoedd da . Bot Christ yn dawot i gyflawny ’r
40:5:003:1	5 : 0
40:5:004:1	*
40:5:005:1	Gyfraith
40:5:006:1	Ddeddyf . Pa beth a ddeellir wrth ladd . Cymmod . Torri priodas . Rwystrae . Yscarieth . Na thynger . Goddef cam . Cary ein gelynion . Perffeithrwydd .
40:5:001:0	A’ Phan welawdd ef y dyrva , ef a escenawdd i’r monyth : a’ gwedy iddaw eistedd , y deuth eu ddiscipulon attaw .
40:5:002:0	Ac ef agorawdd ei enae ac ei dyscawdd can ddywedyt ,
40:5:003:0	Gwyn ei byt y tlotion yn yspryt : can ys eiddynt teyrnas nefoedd .
40:5:004:0	Gwyn ei byt yr ei galarus , can ys wynt a ddiddenir .
40:5:005:0	Gwyn ei byt yr ei gwaredigenus : can ys wy a veddianant y ddaiar .
40:5:006:0	Gwyn ei byt yr ei ’sy arnwynt newyn a’ sychet am gyfionder : canys wy a digonir .
40:5:007:0	Gwyn ei byt y trugarogion : can ys trugaredd a gaffant .
40:5:008:0	Gwyn ei byt yr ei glan o galō : canys wy a welāt Dduw .
40:5:009:0	Gwyn ei byt yr ei tangneddefus : cans wy a elwir yn plāt Duw .
40:5:010:0	Gwyn ei byt yr ei a erlidir er mwyn cyfiawnder , can ys eiddwynt teyrnas nefoedd .
40:5:011:0	Gwyn eich byt pan ich an-vria dynion , a’ch erlit , a doedit pop ryw ddrwc am danoch er vy mwyn i , ac vvy yn gelwyddawc .
40:5:012:0	Byddwch lawen a’ hyfryd , can ys mawr yw eich cyfloc yn y nevoedd : erwydd velly yr erlidiesont wy ’r Prophwyti yr ei vu o’ch blaen chvvi .
40:5:013:0	Chwychwi yw halen y ddayar : eithyr a chollawdd yr halen ei vlas , a pha peth yr helltire ? Ny thal e mwy i ddim , anid y’w vwrw allan , a’i sathry gan bawp .
40:5:014:0	Chwychwi yw golauni ’r byd . Dinas a osodir ar vryn ny ellir hei chuddiaw .
40:5:015:0	Ac ny ’oleuant ganwyll , aei dodi hi dan lestr , anid mewn cannwyllbren , a’ goleuo awna hi i bawp ar ys ydd yn tuy .
40:5:016:0	Llewyrchet velly eich goleuni garbron dynion , yn y welont eich gweithredoedd da chvvi , a’ gogoneðy eich Tad yr hwn ys ydd yn y nefoedd .
40:5:017:0	Na thybiwch vy‐dewot i y ddistrywo ’r Ddeddyf neir Prophwyti . Ny ddaethym y’w destriw , anid y’w cyflawny .
40:5:018:0	Canys yn wir y dywedaf y chwi , Yn y ddarvo nef a’ dayar , ny phalla vn iod , na thitul or Ddeddyf , yn y gwplaer oll .
40:5:019:0	Pwy pynac can hynny a doro ’r vn o’r gorchymynion lleiaf hyn , ac a ddysc ddynion velly , lleiaf y gelwir ef yn teyrnas nef : An’d pwy pynac a ei catwo ac ei dysco i ereill , hwnaw a elwir yn vawr yn‐teyrnas nefoedd .
40:5:020:0	Can ys‐dywedaf ychwi , any bydd eich cyfiawnder yn ehelaethach na chyfiavvnder y Gwyr‐llen a’r Pharisaiait , nid ewch i deyrnas nefoedd . Yr Euangel y vi . Sul gwedy Trintot .
40:5:021:0	Clywsoch val y dywetpwyt wrth yr ei gynt , Na ladd : canys pwy pynac a ladd , euoc vydd o varn .
40:5:022:0	Eithyr mi a ddywedaf wrthych , mae pwy pynac a ddigia wrth ei vrawt eb ystyr , a vydd ’auoc o varn . A’ phwy pynac a ddywet wrth ei vrawt , Raka , a vydd ’euoc o Gyngor . A’ phwy pynac a ddyweit , Ha ynvyt , a vydd ’euoc o dan yffern .
40:5:023:0	A’ chan hyny a’s dugy dy rodd i’r allor , ac ynow dyvot ith cof , vot gan dy vrawt ddim yn dy erbyn ,
40:5:024:0	gad yno dy offrwm geyr bron yr allor , a’ does ymaith : yn cyntaf cymmot ath vrawt , ac yno dyred ac offrwm dy rodd .
40:5:025:0	Cytuna ath wrthnepwr yn gyflym , tra vych ar y ffordd gyd ac ef , rac ith wrthnepwr dy roi yn llaw’r ynat , ac ir ynat dy roddy at y rhingill , a’th tavly yn‐carchar .
40:5:026:0	Yn wir y doedaf yti , na ddauy allan o ddynow y ny thelych yr hatling eithav .
40:5:027:0	¶ Ys clywsoch mal y dywetpwyt wrth yr ei gynt Na wna‐odineb .
40:5:028:0	Eithyr myvi a ddywedaf , ychwy , mai pwypynac a edrych ar wreic y’w chwenychy hi , e wnaeth eisioes odinep ac yhi yn ei galon .
40:5:029:0	Can hynny a’s dy lygat deheu ath rwystra , tyn ef allan , a’ thavl ywrthyt : can ys gwell yty , golli vn oth aylodae , na thavly dy oll corph i yffern .
40:5:030:0	Hefeit a’s dy law ddeheu ath rwystra , tor hi y maith , a’ bwrw ywrthyt : can ys gwell i ti , golli vn oth aelodae : na bod thavly dy oll gorph i yffern .
40:5:031:0	E a dywetpwyt hefyt , Pwy pynac a vaddeuo ei wraic , rhoed y yddi lythr‐yscar .
40:5:032:0	An’d myvi a ddywedaf ychwi , may pwy pynac a vaddeuo ei wraic ( o ddyethr o ran godinep ) a wna yddi-vot yn gwneuthur godineb : a’ phwy bynac a briota hon a yscarwyt , y mae yn gwneithur godinep .
40:5:033:0	Trachefyn , chvvi a clywsoch mal y dywetpwyt wrth yr ei o’r cynvyt , Na thwng anudon , anid taly dy dwng ir Arglwydd .
40:5:034:0	An’d mi a dywedaf y chwi , Na thwng yn ollawl , nag ir nef , can ys eisteddva Duw ytyw :
40:5:035:0	nag ir ddaiar : can ys mainc ei draed ydyw : nag i Caersalem : Can ys dinas y Brenhin mawr ytyw :
40:5:036:0	Ac na thyng ith pen , can na elly wneythy ’r blewyn gwyn na duy .
40:5:037:0	Eithyr bid eich ymadroð chvvi , Ie , ie : nag ef , nag ef . O bleit peth pynac ys y dros ben hyn , a ðaw o’r drwc .
40:5:038:0	Clywsoch mal y dywetpwyt , Llygat am lygat , a’ daint am ddaint .
40:5:039:0	Eithyr mi‐a ddywedaf ychwi , Na wrthleddwch ] ddrwc : anid pwy pynac ath trawo ar dy rudd ] deheu , tro ’r llall ataw hefyd .
40:5:040:0	Ac a’s erlyn neb arnat gyfraith a’ dwyn dy bais y arnat gad iddo gahel dy gochyl hefyt .
40:5:041:0	A’ phwy pynac ath cympello i vyned villtir , does gyd ac ef ddwy .
40:5:042:0	Dyro i hwn a arch genyt , ac ywrth yr hwn a ewyllysei echwyno genyt , nag ymchwel y maith .
40:5:043:0	Ys clywsoch ðarvot dywedyt , Cery dy gymydawc , a’ chasay dy elyn .
40:5:044:0	Eithyr mi a ddywedaf y chwi , Cerwch eich gelynion : bendithiwch yr ei a’ch melltithiant : gwnewch dda ir sawl ach casaant , a’ gweddiwch dros yr ei a wnel eniwed y chwi , ac ach erlidiant ,
40:5:045:0	yn y vyðoch blāt i’ch Tad yr hwn ys y’n y nefoedd : can ys y mae ef yn peri yw haul godi ar yr ei drwc , a’r da , ac yn glawio ar y cyfiawniō a’r anghyfiawnion ,
40:5:046:0	O bleit a cherwch y sawl , ach caro , pa vvobrvvy a gewch ? A ny wna ’r Publicanot yr vn ryw ?
40:5:047:0	Ac a’s byddwch garedigol i ’ch brodur yn vnic , pa ragoriaeth a wnewch ? Ac a ny wna ’r Publicanot yr vn ffynyt ?
40:5:048:0	Byddwch chwi gan hyny yn perfeithion , val y mae eich Tad ysy yn y nefoedd , yn perfeith .
