40:6:001:1	Pen . vj .
40:6:002:1	Am eluseni . Gweddi . Maddae o bawp yw gylydd . Am vmpryd . Christ yn gohardd gofalusaw am bethae bydawl , ac yn ewyllysiaw y ddynion roddi ei cwbyl oglyt arno ef .
40:6:001:0	GOchelwch roddy eich eluseni yngwydd dynion , er mwyn cael eich gwelet ganthwynt , anyd ef , ny chewch vvobrvvy y gan eich Tad yr hwn ’sydd yn y nefoedd .
40:6:002:0	Erwydd paam pan roddych di dy aluseni , na phar gany vtcorn geyr dy vron , mal y gwna ’r hypocritae yn ei Synagogae ac ar yr heolydd , y’w moli gan ddynion . Yn wir y dywedaf y chwi , y mae ei gvvobr ganthwynt .
40:6:003:0	Eithyr pan wneych ti dy aluseni , na wypo dy law aswy pa beth a wna dy law ddeheu ,
40:6:004:0	yn y bo dy aluseni yn y dirgel , ath Tat yr hwn a wyl yn y dirgel , ath obrwya yn yr amlwc .
40:6:005:0	A’ phan weddiychdi , na vydd val yr hypocritae , can ys hwy a garant sefyll , a’ gweðiaw yn y Synagogae , ac yn‐conglae yr heolydd , er mwyn cael eu gweled gan ddynion . Yn wir y dyweddaf ychwi , y mae ganthwynt ei gobr .
40:6:006:0	Tithe pan weddiych , does ith cuvicl a’ gwedy cau dy ddrws , gweddia ar dy Dat yr hwn ’syð yn dirgeledic , ath Dat yr hwn a wyl yn y dirgel , ath obrwya yn yr amlwc .
40:6:007:0	Hefyt pan weddioch , na vyddwch siaradus mal y cenetloedd : can ys tybiant y clywir wy dros ei haml ’airiae .
40:6:008:0	Am hynny na thybygwch yddynt wy : can ys‐gwyr eich Tat , pa bethae ys ydd arnochey eisiae , cyn erchi o hanoch arno .
40:6:009:0	Erwydd hyny gweddiwch chwi val hyn . Ein Tad yr hwn wyt yn y nefoedd , santeiddier dy Enw .
40:6:010:0	Dauet dy deyrnas . Byddet dy ewyllys ys ar y ddaiar megis yn y nefoedd .
40:6:011:0	Dyro y ni heddyw ein bara beunyddiol .
40:6:012:0	A’ maddae i ni ein dledion , mal y maddeu nine i’n dyledwyr .
40:6:013:0	Ac nag arwein ni ym‐provedigaeth eithyr gwared ni rhac drwc : can ys yti ymae y deyrnas , a’r nerth , ar gogoniant yn oes oesoed , Amen .
40:6:014:0	O bleit a’s maddeuwch i ddynion ei sarhaedae , eich Tad nefawl a vaddeu hefyt i chwitheu .
40:6:015:0	Eithyr a ny uaddeuoch i ddynion ei sarhaedae , ac ny vadae eich Tad i chvvi the eich sarhaedae . Yr Euangel y dydd cyntaf or Grawys .
40:6:016:0	¶ Hefyt pan vmprytioch , na vyddwch vvynep soric val hypocritait : can ys anffurfyaw ei h’wynepae y byddant , er ymdangos i ddynion , y bot wy yn vnprydiaw . Yn wir y dywedaf wrthych vot ydyn ei gobr .
40:6:017:0	Eithr pan vmprytych ty , iir dy benn , a golch dy wynep ,
40:6:018:0	rac ymdangos i ddyniō dy vot yn vmprytiaw , anid ith dat yr hwn ys yd yn y cuddiedic : a’th dat yr hwn a wyl yn y cuddiedic : a dal y ty yn y golae .
40:6:019:0	¶ Na chesclwch dresore y chwy ar y ddaear , lle mae yr pryf a rhwt yn ei llygry , a’ lle mae llatron yn cloddiaw trywodd , ac yn ei llatrata .
40:6:020:0	Eithyr cesclwch yw’ ch tresore yn y nef , lle ny’s llygra’r pryf na rhwt , a’ lle ny’s cloddia r llatron trywodd ac ny’s llatratant .
40:6:021:0	Can ys lle mae eich tresawr , yno y bydd eich calon hefyt .
40:6:022:0	¶ Golauni ’r corph ywr llygat : wrth hyny a byð dylygat yn sympl , e vyð dy hollgorph yn olau .
40:6:023:0	Eithyr a’s bydd dy lygad yn ddrwc , e vydd dy oll gorph yn dywyll . Erwydd paam a’s bydd y goleuni ys ydd ynot , yn dywyll , pa veint yw’r tywyllwch hwnaw ? Yr Euangel y xv . Sul gvvedi Trintot .
40:6:024:0	¶ Ny ddychon nep wasanaethy dau Arglwyð : can ys ai ef a gasaa’r naill , ac a gar y llall , ai ef a ymlyn wrth y n’aill , ac a escaelusa yr llall . Ny ellwch wasanethu Duw a’ golud‐bydol .
40:6:025:0	Can hynny y dywedaf yw’ch , na ovelwch am eich bywyt pa beth a vwytaoch , ai pa beth a yvoch : na’c am eich cyrph , pa beth a wiscoch : anyd yw’r bywyt yn vwy na’r bwyt ? a’r corph yn vvvy na’r dillat ?
40:6:026:0	Edrychwch ar chediait y nef can na heyant , ac ny’s metant , ac ny chywenant i’r yscuporiae : ac y mae eich Tat nefawl yn y porthy wy . Anyd y‐chwi well o lawer nac yntwy ?
40:6:027:0	A’ phwy o hanoch cyd govalo , a ddychon angwanegy vn cuvydd at ei vaint ?
40:6:028:0	A’ pha am y govelwch am dillat ? Dyscwch pa wedd y mae’r lili’r maes yn tyfu : ny thravaeliant , ac ny nyddant :
40:6:029:0	a’ dywedaf wrthych na bu Selef yn ei oll ’ogoniant mor trwsiadus ac vn o’r ei hyn .
40:6:030:0	Can hynny a’s dillada Duw lysaeū y maes , yr hwnn ys ydd heðyw , ac yvory a vwrir i’r ffwrn , a ny’s gvvna vwy o lawer erochwi , yr ei a’r ychydic ffydd ?
40:6:031:0	Am hyny na’ ovelwch , can ddywedyt , Beth a vwytawn ? ai beth a yvwn ? ai a pha beth ymddilladwn ?
