41:11:001:1	Pen . xj .
41:11:002:1	Christ yn marchogaeth i Caerusalem . Y fficuspren yn dysychy . Tavlu allan y prynwyr a’r gwerthwyr o’r Templ . Ef yu datcan rhinwedd , ffydd , a’ pha wedd y dlem weddiaw . Y Pharisaiait yn ymofyn a Christ .
41:11:001:0	A’ Gwedy yðyn ddynesay i Caerusalem , i Bethphage a’ Bethania hyd ym mynyth olivar yd anvones ef ddau o ei ddiscipulon ,
41:11:002:0	ac y dyuot wrthwynt , Ewch ymaith i’r dref ’sy ar eich cyfor , a’ chy cynted y deloch ymevvn yddi , chvvi gewch ebol wedy i rwymo , ar ucha rhwn nyd eisteðawð vn‐dyn erioed : gellyngwch ef a’ dugwch .
41:11:003:0	Ac a dywait nebun wrthich , Paam y gwnewchvvi hyn ? Dywedwch vod yn rhaid i’r Arglwydd wrthaw , ac eb ’oludd ef ei denfyn yd yma .
41:11:004:0	Ac vvy aethant ymaith ac a gawsont ebawl yn rhwym wrth y drws oddyallan , mewn cysswllt dwyfforð a’ ei ddillwng a wnaethant .
41:11:005:0	A’r ei o’r sawl a sefynt yno , a ðywedent wrthynt , Beth a wnechwi yn gillwng yr ebawl ?
41:11:006:0	Wythe a ddywetsont wrthynt , val y gorchmynesei’r Iesu yddynt . Yno y gadawsont yddyn vynd ymaith .
41:11:007:0	Ac vvy dducsont yr ebol at yr Iesu , ac a vwriasont ei dillat arnaw , ac ef a eisteddawdd arno .
41:11:008:0	A’ llaweroedd a danasont ei dillat rhyd y ffordd : trychu o ereill gangae o’r preniae a’ ei tanu ar y ffordd .
41:11:009:0	A’r ei a oedd yn myn’d o’r blaen , ar ei oeð yn canlyn , a lefent , gan ddywedyt , Hosanna : bendigedic vo ’r hwn sy’n dyvot yn Enw yr Arglwydd ,
41:11:010:0	bendigedic vo ’r deyrnas y‐s y yn dyvot yn Enw Arglwyð ein tad Dauid : Hosanna ’rhvvn vvyt yn y nefoedd vchaf .
41:11:011:0	Yno yð aeth yr Iesu y mewn y Gaerusalem , ac ir Templ : a’ gwedy iddo edrych o yamgylch ar pop peth , a’ hithe yr owrhon wedy mynd yn hwyr , ef aeth allan yd Bethania y gyd a’r dauddec .
41:11:012:0	A’ thranoeth wedy ey dyvot wy allan o Bethania , yr oeð arno newyn .
41:11:013:0	Ac wrth ’weled fficuspren o bell , ac iddo ddail , ef aeth y edrych a gaffei ddim arnaw : a’ phan ddeuth ataw , ny chafas ef ddim yn amyn dail : can nad oedd hi amser bot fficus eto .
41:11:014:0	Yno ydd atepodd yr Iesu ac y dyuot wrthaw , Na vwytaed nep ffrwyth o hanat mwyach yn tragyvyth : a’ ei ðiscipulon ei clybu .
41:11:015:0	A’ hwy a ðaethant i Caerusalem , a’r Iesu aeth ir Templ , ac a ddechreuawdd davly allan yr ei oeddynt yn gwerthy ac yn prynu yn y Templ , ac a ddymchwelawdd i lawr vyrddae yr ariam‐newidwyr a’ chadeiriae yr ei oedd yn gwerthy colombenot .
41:11:016:0	Ac ny adawei ef y neb ddwyn llestr drwy ’r Templ .
41:11:017:0	Ac ef ei dyscawdd , gan ddywedyt wrthynt , A nyd escrivenwyt , Y tuy meuvi , tuy ’r gweddio y gelwir i’r oll Genetloedd ? a’ chwitheu ei gwnaethoch yn ’ogof llatron .
41:11:018:0	Ac ei clybu ’r Gwyr‐llen , a’r Archoffeirieit , ac a geisiesont po’ð y collent ef : can ys ofnent ef , o bleit bot yr oll dyrva yn aruthro gan ei athraweth ef .
41:11:019:0	A’ gwedy y hwyrhau hi , ydd aeth yr Iesu allan o’r dinas .
41:11:020:0	A’r borae ac wynt yn mynd‐heibio , y gwelsant y ffycuspren wedy gwywo o’r gwraidd .
41:11:021:0	Yno yr atgofiawdd Petr , ac y dyuot wrthaw , Rabbi , nycha ’r fficuspren a velltithiaist , wedy gwywo .
41:11:022:0	A’r Iesu a atepawdd , ac a ddyuot wrthynt . Bid eich ffydd ar Dduw .
41:11:023:0	Can ys yn wir y dywedaf y chwi , mai pwy pynac a ddyweto wrth y mynyth hwn , Ymgymer ymaith a’ bwrw dy hun i’r mor , ac na amheuet yn ei galon , anyd credy y dervydd y pethe hyny a ddyuot ef , beth bynac ar a ddywait , a vydd yddaw .
41:11:024:0	Erwydd paam y dywedaf wrthych , Bethae bynac ar a archoch wrth weddiaw , credwch yd erbyniwch , ac e vydd parot y chwi .
41:11:025:0	And pan safoch , a’ gweddiaw , maddeuwch , a’s bydd genych ddim yn erbyn neb , val y bo ’ich Tad yr hwn sy yn y nefoedd vaddae i chwitheu eich cam‐weddae .
41:11:026:0	O bleit a ny vaddeuw‐chwi , ach Tat yr hwn ’sy yn y nefoedd , ny vaddae i chwithe eich camweddae .
41:11:027:0	Yno y daethant drachefyn i Caerusalem : a’ mal y rhodiei ef yn y Templ , y dauai ataw yr Archoffeirieit , a’r Gwyr‐llen , a’r Henyddion ,
41:11:028:0	ac y dywedynt wrthaw , Wrth pa awdurtat y gwnai di y pethe hyn ? a’ phwy roes y ti yr auturtat hon , y’n y wnayti y pethae hyn ?
41:11:029:0	A’r Iesu a atepawdd ac a ddyuot wrthynt , Minef a ovynaf vn‐peth i chwithe , ac atepwch vi , a’ dywedaf ywch’ wrth pa awdurtot y gwnaf y pethae hyn .
41:11:030:0	Betydd Ioan , ai o’r nef ydd oedd , ai o ddynion ? atepwch vi .
41:11:031:0	Ac wy a veddyliesont ynthyn ehunain , gan ddywedyt , A’s dywedwn O’r nef , ef a ddywait , Paam gan hyny na chredech ef ?
41:11:032:0	Eithyr a’s dywedwn , O ðynion , y mae arnam ofn y bopul : can ys pavvp oll a gymerent Ioan yn wir Prophwyt .
41:11:033:0	Yno ydd atepesant , ac y dywedesant wrth yr Iesu , Ny wyddam ni . A’r Iesu atepawð , ac a ðyuot wrthynt , Ac ny ðywedaf vinef y chwi wrth pa awdurtat y gwnaf y pethae hyn .
