41:13:001:1	Pen . xiij .
41:13:002:1	Distrywiad Caersalem . Bot precethy ’r Euangel i bawp oll Am yr ymlid , a’r gau brophwyti a vyddant cyn na dyuodiat Christ , yr hwn nyd espes ’moi ei awr . Ef yn anoc pawp y vot yn wiliadurus .
41:13:001:0	AC val ydd ai ef allan o’r Templ , y ’syganei vn o ei ddiscipulon wrthaw , Athro , gwyl pa ryw vain a’ pha ryw adeiladoedd ysy yma .
41:13:002:0	Yno ydd atepodd yr Iesu ac y dyuot wrthaw , A wely di yr adeiliadoeð mawrion hyn ? ny’s gedir maen ar vaen , ar ny’s goyscerir .
41:13:003:0	A’ mal ydd eisteddei ef ar vynyth olivar gyfeiryd ar Templ , Petr , ac Iaco , ac Ioan , ac Andreas a ovynesont yddo yn ðirgel ,
41:13:004:0	Dywait i ni pa bryd y bydd y pethae hyn ? a’ pha ’r arwyð vydd pan gyflawner y pethae hyn oll ?
41:13:005:0	A’r Iesu a atepodd yddynt , ac ddechreuodd ddywedyt , Ymogelwch rac twyllo o nep chvvychwi .
41:13:006:0	Can ys llawer a ddawant yn vy Enw i , can ddywedyt , Mi yw Christ , ac a’ twyllant lawer .
41:13:007:0	Hefyd pan glywoch son am ryveloeð a’ darogan Ryueloedd , na’ch tralloder chvvi : can ys dir yw bot cyfryvv bethae : eithyr ny bydd y tervyn etwa .
41:13:008:0	Can ys cenetl a gyvyt yn erbyn cenetl , a’ theyrnas yn erbyn teyrnas , ac e vydd daiar gryniadae mewn amryw leoedd , ac e vydd newynae a’ thrallodae : hyn vyðant ddechreuoedd y govidiae .
41:13:009:0	Anid edrychwch arnoch eich hun : can ys wy ach rhoddant ir Seneddae , ac i’r Synogogae : ych bayddy a wneir , a’ch dwyn geyr bron llywyawdwyr a’ Brēhineð om pleit i , er testiolaeth yddynt .
41:13:010:0	A’r Euangel a vydd dir yn gyntaf hi phrecethy ymplith yr oll genetloedd .
