42:1:001:1	Pen . j .
42:1:002:1	Am Zacharias ac Elizabet . Yr Angel yn manegi iddo o enedigeth Ioan Vatyddiwr . Poyni ancrediniaeth Zacharias . Ymddiddan yr Angel ef a’ Mair . Y chaniat hi . Genedigaeth , enwaediat a’ doniae Ioan . Zecharias yn diolwch y Dduw , ac yn prophwyto .
42:1:001:0	CAn ddarvot i laweredd gymryd arnaddynt vanegy hystoria y pethae ys y lawn gredadwy genym ni ,
42:1:002:0	megis yr adroddent y ni , yr ei o’r dechreuat oeðēt y hunain yn gweled , ac yn weinidogion y gair ,
42:1:003:0	ys gwelit vot yn iawn i mi ( yr ardderchawc Theophilus ) er cynted y darvu i mi chvvilio am bop peth yn ddilys oei von ,
42:1:004:0	yscriveny atat’ o hanyn yn drefnus , val y byddei i ti gyfadnabot gwirionedd y pethae ith addyscwyt ynthynt .
42:1:005:0	YN‐dyddiae Herod Vrenhin Iudaea , ydd oedd ryw Offeiriat a’ ei enw Zacharias o gylchðyð Abia : a’ ei wraic oedd o verched Aaron , a’i henw oedd Elisabet .
42:1:006:0	Ydd oeddent illdau yn gyfiawn geyrbron Dew , ac yn rhodio yn yr oll ’orchmynnae ac ordinadae yr Arglwydd yn ddi‐veius .
42:1:007:0	Ac nid oedd vn plentyn yddynt , can vot Elisabet heb planta : ac ill dau gwedy myned mewn swrn da o oedran .
42:1:008:0	Ac e ddarvu , ac efe yn gwneythy’r swydd‐Offeiriat geyr bron Duw , yn ol trefn y ddyddgylch ef ,
42:1:009:0	erwydd devot swydd Offeiriat , y daeth o ran iddaw vwgdarthy‐y-peraroglae pan ddelai i mevvn Templ yr Arglwydd .
42:1:010:0	A’r oll lliaws popul oedd allan yn gweddiaw , tra oeddit yn mygdarthy y peraroglae .
42:1:011:0	Yno yr ymðangoses iddo Amgel yr Arglwydd yn sefyll or tu deheu i allor y mugdarth .
42:1:012:0	A’ phan ei gwelodd Zacharias , y trallodit , ac ofn a ddygwyddawdd arnaw .
42:1:013:0	A’r Angel y ddyuot wrthaw , Nag ofna , Zacharias : can ys erglywyt dy weddi , ath wraic Elisabet a ymðwc y ti vap , a’ gelwy y enw ef yn Ioan .
42:1:014:0	A’ thi gai lewenydd a’ gorvoledd , a’ llaweroedd a’ lawenychant am y enedigaeth ef .
42:1:015:0	Can ys mawr vydd ef yn‐golwc yr Arglwyð , ac nyd yf na gwin na diot‐gadarn : ac a gyflawnir o’r yspryt glan , ys o vru ei vam .
42:1:016:0	A’ laweroedd o blant yr Israel a ddymchwel ef at ei h’Arglwydd Dduw .
42:1:017:0	Can ys ef aa yn y ’olwc ef yn yspryt a ’meddiant Elias , i ddymchwelyt calonae y tadae i’r plant , a’r ei anhydyn i brudddap y cyfiawnion , er iddo arlwyavv popul parat i’r Arglwydd .
42:1:018:0	Yno y dyuot Zacharias wrth yr Angel , Wrth pa herwydd y gwybyddaf hyn ? can ys ydd wy vi yn hen‐wr , a’m gwraic ysy wedy cerddet mewn swrn oedran .
42:1:019:0	A’r Angel aatepodd ac a ddyvot , wrthaw , Mi yw Gabriel yr hwn a saif yn‐golwc Duw , ac a ddanvonwyt y ymddiddan a’ thi , ac y vanegi yty y pethe dayonus hyn .
42:1:020:0	A’ nycha y byddy vut , ac ny elly ymddiddan , yd y dyð y gwnaer y pethae hyn , can na chredaist vy‐gairiae , yr ei a gyflawnir yn y hamser ,
42:1:021:0	Ac ydd oedd y popul yn aros am Zacharias , ac yn rhyfeddu y vot ef yn trigio cyhyd yn y Templ .
42:1:022:0	A’ phan ddaeth ef allan , ny allei ef ddywedyt dim wrthynt : yno y gwybuont weled o hanaw weledigaeth yn y Templ : can ys ef a arwyddocaodd yddynt , ac a arhoesavvdd yn vut .
42:1:023:0	Ac e ddarvu , pan gyflawnwyt dyddiae y swydd ef , vot iddo vynedd yw duy y un .
42:1:024:0	A’ gwedy ’r dyddiae hyny yr ymdduc Elisabet y wreic ef , ac yr ymguddiawdd bemp‐mis , gan ddywedyt ,
42:1:025:0	Ys vellhyn y gwnaeth yr Arglwydd a mivi , yn y dyddiae ydd edrychawdd arnaf , y ddwyn y wrthyf vy lliwiant ymplith dynion . Yr Euangel ar ddydd Cyfarchiat Mair wyry .
42:1:026:0	¶ Ac yn y chwechet mis , yd anvonwyt yr Angel Gabriel gan Dduw i ddinas yn Galilea a elwit Nazaret ,
42:1:027:0	at vorwyn wedy dyweddiaw a gwr aei enw Ioseph , o tuy Dauid , ac enw’r vorwyn oedd Mair .
42:1:028:0	A’r Angel aeth y mewn atei , ac a ddyvot , Hynpych‐gwell y rad-garedic : yr Arglwydd ys y gyd a thi : bendigeit vvyt ymplith gwrageð .
42:1:029:0	A’ phan weles hi ef , cyntyrfu a wnaeth hi can ’ymadrydd ef , a ’meðyliaw pa ryw annerch oedd hwnnw .
42:1:030:0	Yno dywedyt o’r Angel wrthi , Nag ofna , Vair , can ys ceveist’rat geyr bron Duw .
42:1:031:0	Can ys nycha yr ymddugy yn dy vru , ac yr escory ar vap ac a elwy ei enw Iesu .
42:1:032:0	Hwn a vyð mawredic , a’ map ir Goruchaf y gelwir , ac a ryð yr Arglwydd Dduw ydd‐aw ’orsedd ei dat Dauid .
42:1:033:0	Ac ef a deyrnasa ar ucha tuy Iaco yn tragywydd , ac ar ei deyrnas ny bydd dywedd .
42:1:034:0	A’ dywedyt a oruc Mair wrth yr Angel , Pa vodd vydd hynn , can nad adwaenwyf wr ?
42:1:035:0	A’r Angel atepawdd , ac a ddyvot wrthei , Yr yspryt glan a ddaw arnat , a’ nerth y Goruchaf ath wascota . Wrth hynny a’r peth sanctaidd a aner o hanot , a elwir Map Duw .
42:1:036:0	Ac wely , dy gares Elizabet , ac yhi ymdduc vap yn hei henaint : a’ hwnn yw’r chwechet mis iddi , yr hon a elwir hesp .
42:1:037:0	Can ys geyr bron Duw ny bydd dim yn analluavvc .
42:1:038:0	Yno y dyvot Mair , Wele wasanaethyddes yr Arglwyð : bit i mi erwydd dy air . A’r Angel aeth ymaith y wrthei .
42:1:039:0	A’ Mair a’ gyuodes yn y dyddiae hyny , ac aeth ir vvlad vynyddic ar ffrwst i ddinas yn Iudaia ,
42:1:040:0	ac aeth y mewn i duy Zacharias , ac gyfarchoð‐well i Elisabet .
42:1:041:0	A’ darvu , wrth glywet o Elizabet annerchiat Mair , y neidiawdd y plentyn yn y chroth hi , a’ llenwit Elizabet o’r Yspryt glan .
42:1:042:0	A ’llefain o hanei a llef vchel , a’ dywedyt , Bendigedic yvv ti ymplith gwragedd , can ys‐bendigedic ffrwyth dy groth .
42:1:043:0	Ac o b’le ydaw hyn i mi , pan yw dyuot o vam vy Arglwyð at y vi ?
42:1:044:0	Can ys nycha er cynted y deuth llef dy anerchiad im clustiae , y neidiodd y plentyn yn vy‐bru gan ’orvoledd .
42:1:045:0	Ac ys bendigedic hon a gredawdd : canys gorphenir y pethae , a ddywetpwyt iddi y gan yr Arglwydd .
