42:20:001:1	Pen . xx .
42:20:002:1	Christ yn goystegu ei wrthnebwyr a’
42:20:003:1	*
42:20:004:1	chvvestiō
42:20:005:1	gorchest arall . Yn dangos y dinistriat wy drwy ar ddamec . Awturtot Llywyawdwyr . Y cyuodedigaeth a ei ddwywol veddiant . Ef yn beio ar vocsach a’rryvio y Gwyr‐llen .
42:20:001:0	AC e ddarvu ar vn o’r dyddiae hyny , ac ef yn dyscu ’r popul yn y Templ , ac yn Euāgelu , yr Archoffeiriait , a’r Gwyr llen a ddaethant arnaw y gyd ar Henafieit
42:20:002:0	ac a lafaresont wrthaw , gan ddywedyt , Dyweit i ni wrth pa awturtot y gwnai di y pethe hyn , nai pwy a roes i ti yr awturtat hyn ?
42:20:003:0	Ac ef atepodd ac a ddyuot wrthwynt , A’ minef a ’ovynaf i chwithe , vn‐peth : dywedwch ymy gan hyny :
42:20:004:0	Betyð Ioan ai o’r nef ydd oeð , ai o ddynion ?
42:20:005:0	A’ hwy a resymesōt ynthyn y hunain , gā ðywedyt , A’s dywedwn mai or nef , ef a ðywait , Paam gan hyny na chredech y‐ddaw ?
42:20:006:0	Ac a’s dywedwn Mai o ddynion , yr oll popul a’n llapyddia ni : can ys‐diogel yvv ganthwynt mai Prophwyt oedd Ioan .
42:20:007:0	Am hyny yr atebesont , na wyddent o b’le ydd oeð .
42:20:008:0	Yno y dyuot yr Iesu wrthynt , Ac nys’ ddywedaf vinev y chwithev , trwy pa awdurdot y gwnaf y pethae hyn .
42:20:009:0	Yno y dechreawdd ef ddywedyt wrth y plwyf y parabol hyn , Gwr oedd a blannei winllan , ac y llocawdd hi y dir‐ðiwylliawdwyr : ac aeth i wlat dieithr , dros amser mawr .
42:20:010:0	Ac ar ryw bryd , yd anvones ef was at y tir‐ðiwylliawdwyr val y rhoddent y‐ddaw o ffrwyth y winllan , eithyr y tir‐ddiwyllyawdwyr y bayddent ef , ac eu danvonent ymaith yn wac .
42:20:011:0	Ac eilwaith yd anvonawdd ef was arall : a hwnavv a gurasont wy , ac ei amparchesont ac ei danvonesōt y fforð yn wac .
42:20:012:0	Trache e ddanvonawdd y trydydd , a hwn , a archollesont ac a vwriesont allan .
42:20:013:0	Yno y dyuot Arglwydd y winllan , Pa beth a wnaf ? Anvonaf y caredic vap mauvi : ef allei y parchant , pan y gwelont ef .
42:20:014:0	A’r tir‐ddiwilliawddwyr pan welesont ef , ymrysymy ai gylydd a ’orugant , gan ddywedyt Hwn yw’r y tifedd : dewch , lladdwn ef , y’n y bo yr tiveddiaeth yn eiddom .
42:20:015:0	A’ hwy y tavlesont ef allan o’r winllan , ac ei lladdesont . Pa beth gan hyny a wna Arglwydd y winllan yddwynt ?
42:20:016:0	Ef a ddaw ac a destryw y tir‐ddiwilliawdwyr hyn , ac a ddyd ey winllan y eraill . A’ phan glywsant hyn , y dywedesont Na bo hyny .
