42:23:001:1	Pen . xxiij .
42:23:002:1	Dwyn yr Iesu rac bron Pilat a’ Herod . Am Barabbas . Am Simon Cyren . Y gwragedd yn cwynvan . Croeshoelio Christ , Ef yn gweddiaw dros ei ’elynion . Ef yn troi ’r lleitr ac ereill lawer ar amser ei varwoleth . Ei gladdedigeth .
42:23:001:0	YNo y cyvodes yr oll lliaws o hanynt , ac y ducesont ef at Pilatus .
42:23:002:0	Ac wy a a ddechraesont ei gyhuddaw , can ddywedyt . Hwn yma a gawsam yn troi’r bobyl , ac yn gohardd taly teyrnget i Caisar , can ddywedyt , mae ef yw Christ Vrenhin .
42:23:003:0	Ac Pilatus a ’ovynnawdd iddaw , can ddywedyt , Ai ti‐yw’r Brenhin yr Iuddaeon ? Ac ef atepawdd iddo , ac addyvot , Tu ys ydd yn ei ddywedyt .
42:23:004:0	Yno y dyvot Pilatus wrth yr Archoffeiriait , ac wrth y popl , Nyd wyf i yn cahel dim bai ar y dyn hwn .
42:23:005:0	Ac wyntae ymlewhay a wnaethant , can ddywedyt , Mae ef yn cynnurfy ’r popul , gan dany dysc tros oll Iudaia . Ac yn dechrae o Galilea yd yma .
42:23:006:0	Ac Pilatus pan glypu son am Galilea , a ovynawdd , ai dyn o’r Galilea ytoed ef .
42:23:007:0	A’ phan wybu mae o gyvoeth Herod yr hanoedd , ef ei danvones at Herod , ac ydd oedd yntae hefyt yn‐Caerusalem y dyðiae hyny .
42:23:008:0	A’ phan weles Herod yr Iesu , ef a lawenechawdd yn vawr : can ys ydd oedd yn hir gantaw am ei weled ef er es talm , erwydd iðaw glywed son llawer o bethae am danaw , ac ydd oedd e yn gobeithiaw gahel gweled gwnaethy ryw arwydd y ganthaw .
42:23:009:0	Yno ydd ymholes ac ef am lawer o bethae : eithyr nyd atepawdd ef ddim iddo .
42:23:010:0	Yr Archoffeiriait ar Gwyr‐llen a safasant ac ei cyhuddesont yn daerddrud .
42:23:011:0	Ac Herod ef a ei gywdawddwyr ny roesont vri arnaw , ac ei gwatworesant , ac ei gwiscesont ef o wynn , ac a ei danvonawð drachefyn at Pilatus .
42:23:012:0	Ac ar y dydd hwnw ydd aeth Pilatus a’ Herod yn gymddeithion : canys cyn na hyny yð oeð yn ’elyniaeth rhyngtwynt .
42:23:013:0	Yno Pilatus a ’alwoð yn cyt yr Archoffeiriait a’r llywyodwyr a’r popul , ac a ðyuot wrthwynt ,
42:23:014:0	Chwi ðucesoch y dyn hwn ataf , val vn a vai yn troi ’r popl , a’ nycha , mi ei holeis ef yn eich gwydd , ac ny chevais i vn bai ar y dyn hwn , o’r pethae ydd ywch y’w gahuddaw :
42:23:015:0	na ddo , na Herod chwaith : can ys anvoneis chwi ataw : a’ nycha , dim teilwng o angae ny wnaed yddaw .
42:23:016:0	Erwydd paam , mi ei cospaf , ac ei gellyngaf yn rhydd .
42:23:017:0	( Can ys angenrait oedd iddaw ellwng ryvv vn yddwynt yn rhydd ar yr wyl . )
42:23:018:0	Yno yr oll lliaws a lefawdd ar vnwaith , can ddywedyt , Ymaith ac ef , a’ gellwng Barabbas yn rhyð i ni :
