43:21:001:1	Pen . xxj .
43:21:002:1	Christ yn ymddangos yw ddiscipulon drachefyn . Ef yn gorchymyn i Petr yn ddirfing ac o brysur borthi y ddeueit ef Ef yn ei rubuddiaw ymblaen e ei varwolaeth . Ac am amryw wyrthiae Christ .
43:21:001:0	GWedy ’r pethe hyn yr ymðangosoð yr Iesu drachefyn yw ddiscipulon wrth vor Tiberias : ac vellyn yr ymddangosawdd ef .
43:21:002:0	Yr oedd ynghyt Simon Petr , a’ Thomas , yr hwn a elwit Didymus , ac Nathanael o Cana yn‐Galilaia , a’ meibion Zebedaius , a’ dau eraill o’i discipulon .
43:21:003:0	Simon Petr a ddyvawt wrthynt , Mi af i pyscota . Wythe a ddywedesout wrthaw . A’ nine awn gyd a thi . Wy aethant ymaith , ac a escenesont i’r llong eb oludd , a’r nos hono ny ddaliesont vvy ddim .
43:21:004:0	Ac yr owon wedy dyvot y boreu , y savawdd yr Iesu ar y ’lan : ny wyddiat hagen y discipulon mai y ve oeð yr Iesu .
43:21:005:0	Yno y dyvot yr Iesu wrthynt Ha wyr a oes genwch ddim bwyt ? Atepesont iddo , Nag oes .
43:21:006:0	Yno y ddyvot ef wrthynt , Bwriwch allan y rhwyt y tu deheu i’r llong , a chwi a gewch . Wrth hyny y bwriesōt allan , ac nyd oedden ðim abl yw thynu , gan liaws y pyscot .
43:21:007:0	Am hyny y dyvot y discipul yr hwn oedd yr Iesu yn ei garu , wrth Petr , Yr Arglwydd yw ef . Pan glypu Simon Petr may ’r Arglwydd oedd ef , yntef a wregysodd ei huc ( can ys ydd oedd ef yn noethlymyn ) ac y bwriodd y hun ir mor .
43:21:008:0	Eithyr y discipulon eraill a ddaethant mewn llong ( can nad oeddent pell ywrth y tir , anyd yn‐cylch dau cant cuvydd ) ac a dynnesant y rhwyt a’r pyscot .
43:21:009:0	A’ chygynted y daethāt ir tir , y gwelsant varworyn , a’ physcodyn wedy ddody arnoddynr , a’ bara .
43:21:010:0	Yr Iesu a ðyvot wrthyn , Dygwch beth o’r pyscot , y ddaliesoch yr owrhon .
43:21:011:0	Simon Petr a escennawð ac dynnoð y rhwyt i’r tir , yn llawn pyscot mawrion , cant a ’thri ar ddec a daugain : a’ chyt bot cynniuer , er hyny ny ddryllioð y rhwyt .
43:21:012:0	Yr Iesu a ddyvot wrthynt , Dewch a’ chyniewch . Ac ny veiddiawdd yr vn or discipulon ymofyn ac ef , Pwy yw ti , ac wy yn gwybot may’r Arglwydd oedd ef .
43:21:013:0	Yno yr Iesu a ddaeth ac a gymerth vara , ac a roes yddynt , a’ physcot yr vn modd .
43:21:014:0	Llyma ’r owrhon y drydedd waith yr ymddangosawð yr Iesu y’w ðiscipulon , gwedy yddo adgyvody o veirw .
43:21:015:0	Yno gwedy yddyn giniawa , yr Iesu a ddyvot wrth Simon Petr , Simon ’ap Iona , A gery di vi yn vwy na rhein ? Ef a ddyvot wrthaw , Do Arglwydd , tu wyddost y caraf i di . Ef a ddyvot wrthaw , Portha vy wyn .
43:21:016:0	Ef a ðyvot wrtho drachefyn yr ail waith , Simon ’ap Iona a gery di vi ? Ef a ðyuot wrthaw , Do Arglwyð , tu wyddost y caraf i di . Ef a ðyvot wrthaw , Portha vy‐deueit .
43:21:017:0	Ef a ddyuot wrthaw y drydedd waith , Simon ’ap Iona , a geri di vi . Tristau a wnaeth Petr o bleit yddo dywedyt wrthaw y drydedd waith , A gery di vi : ac a ddyuot wrthaw , Arglwyð , tu a wyddost bop peth oll : tu wyddost y caraf di . Yr Iesu a ddyuot wrthaw , Porth vy‐deueit ,
43:21:018:0	Yn wir , yn wir y dywedaf y‐ty , Pan oeddyt yn ieuanc , tu a ymwregysyt , ac a rodut lle mynut : eithr pan vych hen , ti a estendi dy ðwylo , ac arall ath wregysa , ac ath arwein lle nyd ir wyllysych .
43:21:019:0	A’ hyn a ddyvot ef , yn arwyddocau gan pa angae y gogoneddei ef Dduw . A’ gwedy yddo ddywedyt hyn , y dyvot wrthaw , Dilin vi .
43:21:020:0	Yno y troes Petr y amgylch , ac a welawdd y discipul oedd yr Iesu yn ei garu , yn dilin , yr hwn hefyt a roesei ei bwys ar y ddwyfron ef ar swper , ac a ddywedesei , Arglwydd , pwy ’n yw hwn ath vradycha di ?
43:21:021:0	Gan hynny pan welawdd Petr hwn , y dyuot ef wrth yr Iesu , Arglwydd , pa beth a vvna hwn ?
43:21:022:0	Yr Iesu a ddyuot wrthaw , A’s mynnaf iðo aros y n y ddelwyf , beth ’sy y ti ? Dilin di vi .
43:21:023:0	Yno ydd aeth y gair hwn ym‐plith y broder , na byddei varw y discipul hwnw . Ac ny ddywedesei ’r Iesu wrthaw , Ny bydd ef varw : eithyr A’s mynnaf iðo aros y’n y ddelwyf , beth ’sy y ti ?
43:21:024:0	Hwn yw’r discipul hvvnvv ys ydd yn testolaethu am y pethe hynn , ac a escrivennodd y pethe hynn , a’ gwyddam vot y testoliaeth ef yn wir .
43:21:025:0	Ac y mae hefyt llawer o pethae eraill ar a wnaeth yr Iesu , yr ei pe yd yscrivennit vvynt eb‐ado‐vn , tybiet ydd wyf na’s gallei ’r oll vyt amgyffret y llyfreu a esrrivennit . Amen .
