43:6:001:1	Pen . vj .
43:6:002:1	Yr Iesu yn porthy pemp mil o wyr a phemp torth a’ dau byscodyn . Ef yr myned ymaith , rac yddyn y wneythur ef yn vrenhin . Ef yn argyoeddu cnawdawl wranvwyr y ’air ef . Bod yr ei cnawdol yn ymrwystro wrthaw . Nyd yw y cnawd yn proffitio dim ,
43:6:001:0	GWedy y pethæ hyny ydd aeth yr Iesu tros vor Galilaia , neu Tiberias .
43:6:002:0	A’ thorf vawr y cynlynawð ef , o bleit yddwynt welet y arwyddion ef , a’r a wnaethoeð ar y cleifion .
43:6:003:0	Ac ef aeth yr Iesu ir monyth , ac yno yr eisteddawdd cyd aei ddscipulon .
43:6:004:0	Ac ydd oedd hi yn agos ir Pasc , gwyl yr Iuðeon .
43:6:005:0	A’r Iesu a gyuodes i vynydd ei lygait , a’ phan weles dyrfa vawr yn dyuot attaw , ef a dyvot wrth Philip , O b’le y prynwn vara , val y caffo yr ei hynn beth yw vwyta ?
43:6:006:0	( a hynn a ddywedawdd , yw brobi ef : can ys efe a wyddiat peth a wnelei )
43:6:007:0	Philip a atepawdd iddaw , Nid oedd ddigon gwerth daucant ceiniawc o vara yddwynt , y gahel o pop vn o hanwynt ychydic .
43:6:008:0	Yna y dyvot wrthaw vn oei ddiscipulon , ys ef Andras , brawt Simon Petr ,
43:6:009:0	Mae yma vachcenyn , a’ phemp torth haidd ganthaw , a’ dau pyscodyn : eithyr beth yw hynny ymplith cynniver ?
43:6:010:0	A’r Iesu a ddyvot , Gwnewch ir dynion hyn eistedd , ( Ac ydd oedd yno wellt‐glas lawer ) yno yr eisteddawdd y gwyr yn‐cylch pemp mil o rifedi .
43:6:011:0	A’r Iesu a gymerth y bara , ac a ddiolches , ac ei rhanoð ir discipulon , a’r discipulō , ir ei oeddynt yn eisteð : a’r vn moð or pyscot cymmeint ac a vynnesont .
43:6:012:0	A’ gwedy yðwynt gahel digon , ef a ddyuot wrth ei ðiscipulō , Cesclwch y brivwyt a weðilloð , rac colli dim .
43:6:013:0	Yno y casclasont , ac a lanwesant dauddec bascedait or briwvwyt , or pemptorth haidd’oedd yngweddill can yr ei a vesynt yn bwyta .
43:6:014:0	Yno pan welawð y dynion wneythyd or Iesu yr arwyð hyn , y dywedesant , Diau mae hwn y’w Prophwyt a ddauei ir byt .
43:6:015:0	Velly pan wybu Iesu vot yn y bryd hwy ddyuot , a’i gymryd ef yw wneuthur yn Vrenhin , ef a dynnawdd heibio drachefyn ir mynyth vvrtho y hunan .
43:6:016:0	Gwedy daruot yddei hwyrhay , y ddiscipulon ef a ddescenesont i’r mor ,
43:6:017:0	ac a aethant i’r lhong , a’ myned tros y mor tu a Chapernaum : ac weithiō ydd oedd hi yn dywyllvvch , ac ny ddaethoeddoedd yr Iesu atwynt .
43:6:018:0	A’ chodi o’r mor y gan wynt mawr yn chwythu .
43:6:019:0	A gwedy yddynt rwyfo yn‐cylch pemp stad ar vcain , neu ddec stad ar ycain , wy welent yr Iesu yn gorymddaith ar y mor , ac yn dynesau at y llong : ac ofny a wnaethant .
43:6:020:0	Ac ef a ddyuot wrthynt , Mivi yw : nac ofnwch .
43:6:021:0	Yno yn ewyllysgar yd erbyniesont ef ir llong , a’r llong oedd yn y van wrth y tir ir lle ydd elent .
43:6:022:0	Tranoyth y popul yr ei a safai y tu arall ir mor , a welawdd nad oedd llong arall yno , anyd yr vn , yr aethei ey ðiscipulon yddhi , ac nad aethesei yr Iesu y gyd ei ddiscipulon i’r llong , eithyr myned ymaith o ei ddiscipulon ef vvrthyn yhunain ,
43:6:023:0	a’ dyuot llongae eraill o Tiberias yn gyfagos ir van lle y bwytesent y bara , gwedy ir Arglwydd ddiolwch .
43:6:024:0	And pan welawdd y popul nad oedd yr Iesu yno , na ei ddiscipulon , a’ nwythe a gymeresont longae , ac a daethont i Capernaum , gan geisiaw yr Iesu .
43:6:025:0	A’ gwedy yddwynt y gahel ef y tu arall ir mor , wy ddywedesont wrthaw , Rabbi , pa bryd yd aethost yman ?
43:6:026:0	Yr Iesu a atepawdd ydd‐wynt , ac a dyuot , Yn wir , yn wir y dywedaf y chwi , Nyd ych i’m caisiaw , o bleit ywch welet y gwyrthiae , anyd o bleit ywch vwyta o’r torthae , ach’ llenwi .
43:6:027:0	Na thraveiliwch am y bwyt a gollir , eithyr am y bwyt a barha i vywyt tragywythawl , yr hwn a rydd Map y dyn y chwi : can ys hwn a inseliawð Duw ’r Tad .
43:6:028:0	Yno y dywedesont wrthaw , Pa beth a wnawn val y gallom weithiaw gwaithredoeð Duw ?
43:6:029:0	Yr Iesu a atepawð ac a ddyuot wrthynt , Hyn yw gwaithret Duw , credu o hanoch yn yr hwn a ddanvonawdd ef .
43:6:030:0	Dywedesont gan hyny wrthaw , Pa ’r arwydd gan hyny a wnei di , val ey gwelom , ac y’th’ credom ? pa beth wyt’ yn ei weithredu ?
43:6:031:0	Ein ni a vwytesont y Manna yn y diffeithvvch , megis y mae yn scrivenedic , Bara o’r nef a roes ef yddwynt yw vwyta .
43:6:032:0	Yno y dyvawt yr Iesu wrthwynt , Yn wir , yn wir y dywedaf ychwy , Nyd Moysen a roes y‐chwi ybara hwnw o’r nef , eithyr y Tat meuvi ysy yn rhoddi y‐chwy y gwir vara o’r nef .
43:6:033:0	Can ys bara Duw y dyw’r hwn ’sy yn descend o’r nef , ac yn rhoddy bywyt i’r byt .
43:6:034:0	Yno y dywedesont wrthaw , Arglwydd , byth dyro i ni y bara hwn .
43:6:035:0	Dywedawð yr Iesu wrthynt , Mivi yw ’r bara ’r bywyt : yr vn a ddel ata vi , ny ’s newyna ddim , a’r vn a gred yno vi , ny sycheda byth .
43:6:036:0	Eithyr mi ddywedais ychwy , can ac ychwy vy‐gweled , ac ny chredesoch .
43:6:037:0	Oll a’r y mae ’r Tat yn y roi y my , a ðaw ataf : a’ hwn ’sy yn dyuot ataf , ny’s bwriaf allan .
43:6:038:0	Can ys descenais o’r nef , nyd i wneythu ’r vy ’wyllys i , eithyr ewyllys yr vn am danvonoð i .
43:6:039:0	A’ hyn yw ’wyllys y Tat yr hwn a’m danvonawð i , na bo o’r oll a roddes ef i mi , golli o hanof ðim , eithyr ei gyvodi drachefyn yn y dydd dywethaf .
43:6:040:0	A’ hyn yw ’wyllys yr hwn a’m danvonawdd i , bod y bawp dyn a’ra wyl y Map , ac a gred yndaw , gahel bywyt tragyvythawl : a’ mi y cyfodaf ef y vynydd yn y dydd dywethaf .
43:6:041:0	Yno y murmuresont yr Iudaeon wrthaw , o bleit dywedyt o hanaw , Mivi yw’r bara , a ddescendas o’r nef .
43:6:042:0	A’ dywedyt a wnaethant , Anyd hwn yw Iesu map Ioseph , yr hwn a adwaenom ni y dat a y vam ? pa vodd gan hyny a dywait ef , mai O’r nef y descendais ?
43:6:043:0	Yno atep o’r Ieshu a’ dywedyt wrthynt , Na vurmurwch yn eich plith .
43:6:044:0	Ny aill nep ddyvot ata vi , o ddyeithr ir Tat , yr hwn am danvonawdd i , y dynnu ef : ac mi y cyfodaf ef y vyny yn y dydd dywethaf .
43:6:045:0	Y mae yn escrivenedic yn y Prophwyti , Ac wy a vyddant oll dyscedic y gan Dduw . Pawp dyn gan hyny a’r a glybu , y gan Tat , ac a ddyscawdd , a ddaw at y‐vi .
43:6:046:0	Nyd erwydd gweled o nep y Tat , anyd yr vn y ’sydd o Dduw , ys ef a welawdd y Tat .
43:6:047:0	Yn wir , yn wir y dywedaf y chwi , Yr vn a gred yno vi , mae yddaw vuchedd dragyvythawl .
43:6:048:0	Mivi yw ’r bara ’r vuchedd .
43:6:049:0	Eich tadae chvvi a vwytesont y Manna yn y diffeithvvch , a’ marw a wnaethont .
43:6:050:0	Hwn yw ’r bara sy yn descēd o’r nef , yd pan yw i’r neb a vwytao o hanaw , na bo marw .
43:6:051:0	Ys mi yw ’r bara bywiol , yr hwn a ðescendais o’r nef : a’s bwyty nebun o’r bara hwn e vydd byw byth : a’r bara a roddwy vi , vy‐cnawd yw , yr hwn a roddwy vi tros vywyt y byt .
43:6:052:0	Yno yr ymrysonent yr Iuddeon a ei gylydd , gan ddywedyt , Pa vodd y gaill hwn roddi i ni y gnawd yvv vwyta ?
43:6:053:0	Yno y dyvawt yr Iesu wrth‐wynt , Yn wir , yn wir y dywedaf y‐chwi , A ny vwytewch’ gnawt y Map y dyn , ac yfet ei waet , nyd oes y chwy vywyt ynoch .
43:6:054:0	Pwy pynac a vwytao vy‐cnawd i , ac a yfo vy‐gwaet , y mae iddaw vywyt tragyvythawl , a’ mi y cyfoda ef y vyny yn y dydd dyweddaf .
43:6:055:0	Can ys vy‐cnawd i y sydd wir vwyt , a’m gwaed i ’sy wir ddiawt .
43:6:056:0	Hwn a vwyty vy‐cnawd , ac a yf vy‐gwaed , a dric yno vi , a mi yndo ef .
43:6:057:0	Mal yd anvonawð vi y byw Dat , velly y byw vi trwy y Tat , a’ hwn a’m bwyty i , byw vyð yntef trywo vi .
43:6:058:0	Hwn yw ’r bara a ðescennodd o’r nef : nyd val y bwytaodd ych tadae chwi y manna , a’ marw o hanynt . Yr vn a vwyty o’r bara hwn , a vydd byw byth .
43:6:059:0	Y pethe hyn a ddyvot ef yn y Synagog , gan y dyscu hvvy yn‐Capernaum .
43:6:060:0	Llawer gan hyny o ey ddiscipulon ( wrth glybot hyn ) a ddywedent , Calet yw’r ymadrodd hyn : pwy a aill ei glybot ?
43:6:061:0	Eithyr yr Iesu yn gwybot yndo ef bot ei ddiscipulon yn murmuro wrth hyn , a ðyvot wrthynt , A ydyw hyn ych rhwystro chwi ?
43:6:062:0	Beth pe’s gwelech Vap y dyn yn escend i’r lle’r oedd ef gynt .
43:6:063:0	Yr Yspryt yw’r peth a vywha : ny lesa ’r cnawt ddim : y geiriae ydd wy vi yn ei ymadrodd wrthych yspryt a’ bywyt ynt .
43:6:064:0	Eithyr y mae ’rei o hanoch ny chredāt : can ys‐gwyðiat yr Iesu o’r dechreuat , pa ’rei oeddent a’r ny chredent , a’ pha‐vn y bradychei ef .
43:6:065:0	Ac ef a ddyvawt , Am hyny y dywedais wrthych , na aill nep ddyvot ata vi , any’s rhoðir ydd‐aw y gan vy‐Tat .
43:6:066:0	O’r pryd hyny allan yr ymadawodd llawer o ei ddiscipulon , ac ny rodiesont mwy y gyd ac ef .
43:6:067:0	Yno y dyuot yr Iesu wrth y dauddec , A wyllysw‐chwithev hefyt vyned ymaith ?
43:6:068:0	Yno ydd atepawdd Simon Petr yddaw , Arglwydd , at pwy ’r awn ? Y mae genyt ’airiae buchedd tragyvythawl :
43:6:069:0	ac ydd ym ni yn credu ac yn gwybot may ti yw’r Christ y Map Duw byw .
43:6:070:0	Yr Iesu ei hatepoð , Anyd mi ach detholais chwi ddauddec , ac o hanoch y mae vn yn ddiavol ?
43:6:071:0	Ac ef ddywedei hyny am Iudas Iscariot ’ap Simon : can ys hwn oedd ai vryd ar y vradychu ef , ac efe yn vn o’r deuddec .
