43:9:001:1	Pen . ix .
43:9:002:1	Am yr vn a anet yn ddall . Coffess y mabddall . I ba ryw ddaillion y dyry Christ yddynt welet .
43:9:001:0	AR Iesu yn myned heibio , ef a ganvu ddyn dall o y ’enedigaeth .
43:9:002:0	A’ gofyn iddaw o ei ddiscipulon , gan ddywedyt , Athro , pwy ’n a bechawð , ai hwn ai rieni , pan enit ef yn ddall ?
43:9:003:0	Atep o’r Iesu , ac ny pechawdd hwn , na ei rieni , eithyr er bod dangos gweithredoedd Duw arno ef .
43:9:004:0	Raid i mi weithiaw gweithredoedd yr hwn a’m danvonawdd i , tra vo hi yn ddydd : y mae’r nos yn dyvot pryd na aill neb weithiaw .
43:9:005:0	Tra vyddwyf yn y byt , goleuni wyf i’r byt .
43:9:006:0	Pan ddywedodd ef val hyn , y poyrodd ef ar y ðaiar , ac y gwnaeth ef briðgyst o’r poer , ac a irawð y priðgyst ar lygaid y dall ,
43:9:007:0	ac a ðyvot wrthaw , Cerdda , ymolch yn y llyn Siloam ( ’sef a ddeonglir yn Anvonedic . ) Ef aeth ymaith gan hyny , ac a ymolchawdd ac a ddaeth drachefn yn gweled .
43:9:008:0	Yno ’r cymydogion a’r ei y gwelsent ef or blaen pan vysei ef yn ddall , a ddywedesont , A nyd hwn yw ’r vn a eisteddei ac a gardotei ?
43:9:009:0	R’ei a ddywedent , Ys hwn yw ef : ereill y ddywedynt , Y mae yn gyffelyp yddaw . Yntef a ddyvawt , Mivi yw ef .
43:9:010:0	Can hyny y dywedent wrthaw . Py weð ynte ydd agorwyt dy lygait ?
43:9:011:0	Ef a atepawdd , ac a ddyvot , Yr dvn a elwir Iesu , a wnaeth gistbridd , ac a irawdd vy llygait , ac a ddyvawt wrthyf . Cerdda y lyn Siloam , ac ymolch . Ac y aethym ac a ymolchais , ac a gefais vy‐golwc .
43:9:012:0	Yno y dywedesont wrthaw , P’le mae ef ? Ef a ddyuot , Ny wn i .
43:9:013:0	VVy dduscont at y Pharisaieit hwnvv y vesei gynt yn ddall .
43:9:014:0	A’r dydd Sabbath ydoedd hi , pan wnaethoeddoedd yr Iesu y priddgist , ac ydd a goroedd y lygait ef .
43:9:015:0	Yno trachefyn yr ymofynnei ’r Pharisaieit hefyt ac ef , pa vodd y cawsei ef ei olwc . Ac ef a ddyvawt wrthynt . Ef a ddodes briddgist ar vy llygaid , ac mi a ymolcheis , a’ mi gwelaf .
43:9:016:0	Yno y dywedynt yr ei or Pharisaieit , Nid hanyw ’r dyn hwn o Dduw , can na chaidw ef y dydd Sabbath . Ereill a ddywedynt . Pa vodd y gaill dyn ac ef yn pechaturus , wneythu’r cyfryw wyrthiae ? Ac ydd oedd ancydvot yn y plith wy .
43:9:017:0	Yno y dywedent wrth y dall drachefyn , Py beth a ddywedy di am danaw ef , can iddaw agori dy lygait ? Ac ef a ddyvawt , Mai Prophwyt yw ef .
43:9:018:0	Yno ny chredawdd yr Iuddaeon am danaw ( y vot ef yn ddall , a ’chael ei ’olwc nes yddynt ’alw am rieni yr vn a gawsei ei ’olwc .
43:9:019:0	A’ govynesont y ðynt gan ðywedyt , A‐y hwn yw ych map chwi , yr vn a ðywedw‐chwi ddaruot y eni yn ddall ? Pa wedd gan hyny y gwyl ef yr awrhon ?
43:9:020:0	Atep oei rieni ef yddynt , a’ dywedyt , Ys gwyðam may hwn ytyw ein map ni , a’ ei eni yn ddall :
43:9:021:0	and trwy pa vodd y gwyl ef yr awrhon , ny’s gwyddam : ai pwy ’n a agorawdd y lygait ef , ny’s gwyddam ni : y mae ef o oedran : govynnwch yddaw : ef a etyp drostaw ehun .
43:9:022:0	Y geiriæ hyn a ddyvawt y rieni ef , can yddynt vot yn ofni yr Iuddaion : o bleid e ddaroedd ir Iuddaeon ddarparu eisioes a’s coffessei nebun mai efe ytoedd y Christ , bot y escommuno ef allan or Synagog .
43:9:023:0	Am hynny y dywedesei y rieni ef , Y mae ef o oedran : gofynnwch yddaw .
43:9:024:0	Yno eilwaith y galwesont ar y dyn a vesei yn ddall , ac wy ddywedesont wrthaw , Dyro ’ogoniant y Dduw : cans gwyddam ni vot y dyn hwn yn pechatur .
43:9:025:0	Yno ydd atepawdd ef ac y dyvawt , A ytyw ef yn pechatur anyd yvv , ny’s gwn i : vn peth awn i , vy‐bot i yn ddall , ac yrowon yn gwelet .
43:9:026:0	Yno y dywedesont wrthaw drachefyn , Pa beth a wnaeth e y‐ty ? pa vodd ydd agoroedd ef dy lygait ?
43:9:027:0	Ef atepawdd yddwynt , Dywedas y‐chwy eisius , ac ny chlywech : paam yr ewyllyswch ei glywet drachefyn ? a ewyllysw‐chwi hefyt vot yn ðiscipulon iddaw ef ?
43:9:028:0	Yno y rhoeson senn yddaw , ac y dywedesont , Bydd di ddiscipul yddo : ydd ym ni yn ddiscipulon i Voysen .
43:9:029:0	Nini a wyddam ymddiddam o Dduw a Moysen : a’r dyn hwn ny wyddam o b’le mae ef .
43:9:030:0	Y dyn a atepawdd ac a ddyvawt wrthwynt , Diau vot hyn yn ryvedd , can na wyddo‐chwi o b’le y mae ef , ac eto ef a agores vy llygait i .
43:9:031:0	A’ gwyddam na chlyw Dew bechaturieit : eithyr a’s bydd vn yn aðolwr Duw , ac yn gwneythu ’r y wyllys ef , hwn a erglyw ef .
43:9:032:0	Er ioed ny chlyspwyt agori o neb lygait vn a’ enit yn ðall .
43:9:033:0	Pe na bysei y gvvr hwn o Dduw , ny allesei ef wneuthu ’r dim .
43:9:034:0	Atepesont , a’ dywedesōt wrthaw , Ym‐pechotae ith anet ti yn ollawl , a’ thi a’n dyscy ni ? Ac vvy y bwrieson ef allan .
43:9:035:0	Yr Iesu a glypu ddarvot yddynt y vwrw ef allan : a’ gwedy yddaw y gahel ef , y dyvawt wrthaw , A yw ti yn credu ym‐Mab Duw ?
43:9:036:0	Yntef a atepawdd ac a ddyvot , Pwy ’n yw ef , Arglwydd , val y credwyf ynddaw ?
43:9:037:0	A’r Iesu a ddyvawt wrthaw , A’ thi y gweleist ef , a’ hwnw ydyw ’sydd yn ymddiðan a thi .
43:9:038:0	Yno y ’syganei yntef , Arglwyð , Ydd wyf yn credu . A y aðoli ef a wnaeth .
43:9:039:0	A’r Iesu a ðyvot , I varnv y deuthy‐mi ir byd hwn , y’n y bo i’r ei ny welant , gael gwelet : ac ir ei a welant , vot yn ddeillion .
43:9:040:0	A’r ei o’r Pharisaieit ar oeð gyd ac ef , a glywsant y petheu hyn , ac a ddywedesont wrthaw , A ydym nine ddeillion hefyt ?
43:9:041:0	A’r Iesu a ddyvot , wrthynt , Pe deillion vyddech , ny byddei y‐chwy bechot : and yr owrhon y dywedwch , Yð ym yn gwelet : can hyny y mae eich pechot yn aros .
