44:16:001:1	Pen . xvj .
44:16:002:1	Gwedy enwaedy o Paul ar Timotheus , ei cymerth y gyd ac ef . Bot yr Yspryt yn ei galw hwy or naill wlad ir llall . Bot ymchwelyt Lydia ir ffydd . Paul ac Silas yn‐carchar yn ymchoelyt y goarcheidwad ir ffydd . Ac yn cahel ei gellwngval Ruueinuieit .
44:16:001:0	YNo y daeth ef i Derbe ac i Listra : ac wele , ydd oedd ynaw nep discipul aei enw Timotheus , map i wraic oedd Iuðewes ac yn credy , aei dat ytoedd Groegwr .
44:16:002:0	I hwn ydd oedd y broder oedd yn Lystra ac Iconium , yn rhoi gair da .
44:16:003:0	Ac am hyny Paul a vynnei iddaw vyned ymaith canthaw , ac ei cymerth ac ei enwaedawdd , o bleit yr Iuddaeon y oedd yn y lleoedd hyny : can ys gwyddynt pawp , vot ei dat ef yn groecwr :
44:16:004:0	Ac mal ydd oeddent yn ymddeith trwy yr dinasoedd , wy roesont atwynt yr yr athronddysce y ei gadw , y ddaroeð y ordeiniaw gan yr Apostolon ar Henafeit , y oedd yn‐Caerusalem .
44:16:005:0	Ac velly y cadarnheit yr Ecclesidd yn y ffyð , ac yr ampleynt o riuedi beunydd .
44:16:006:0	Ac wedy yddwynt tramwy dros Phrygia , a’ gorwlad Galacia , ei goharddwyt gan yr Yspryt glan rac precethy ’r gair yn Asia .
44:16:007:0	Yno yd aethant y Mysya , ac a geisiasant vyned i Bithynia : anid na ddyoddefawdd yr Yspryt yddwynt .
44:16:008:0	Ac am hyny mynet a wnaethant trwy Mysia , ac a ddaethant y wared y Troas ,
44:16:009:0	lle ymðāgoses gweledigaeth i Paul y nos . Bot gwr yno yn sefyl’ o Macedonia , ac yn gweddiaw arnaw , gan ddywedyt , Dyred y Macedonia , a’ chymporth ni .
44:16:010:0	A’ gwedy gwelet o hanaw y weledigaeth , yn y van yr ymparatoesam i vynet i Macedonia , gan ein bot yn ddiogel mae yr Arglwydd a’n galwesei y precethy ’r Euangel yddwynt vvy .
44:16:011:0	Yno mordwyaw a wnaetham o Troas , ac vniongyrch dyvot i Samothracia , a’ thranoeth i Neapolis ,
44:16:012:0	ac o yno y Philippi yr hon ysy ddinas pennaf ym parthae Macedonia , ae thrigianwyr a hanoeðynt o Ruuain , ac yn y dinas hono y buam yn aros niuer o ddiðieu .
44:16:013:0	Ac ar y dydd Sabbath , ydd aetham allan o’r dinas gar llaw avon , lle byddit gynefin a gweddiaw : ac eisteðesam y lavvr , ac ymðinasam a’r gwrageð , a ðaethesent yn‐cyt .
44:16:014:0	A’ rryw wreic y elwit Lydia , erwerthai burpur , o ðinas y Thyatiriait , yr hon a ddolei Ddew , a wrandawodd arnam : yr hon a egorodd yr Arglwydd hei chalon , i ystyriaw ar y pethae a adroddit gan Paul .
44:16:015:0	A’ gwedy y batyðio hi , ai thuylvvyth , ydd ervyniawdd y ni , gan ddywedyt , A’s barnesoch vy‐vot i yn ffyddlawn ir Arglwydd , dewch y mewn im tuy , ac aroswch yno : a hi a’n cympellawdd .
44:16:016:0	Ac ef a ’orucpwyt , a nyni yn mynet i weddiaw , bot i nebun vachcennes ac yði yspryt dewindabeth , gyhwrdd a ni , yr hon a barei elw mawr ydd ei hargswyddi wrth ddewiniaw .
44:16:017:0	Hon a ddylynei ar ol Paul a’ nineu , ac a lefei gan ddywedyt , Y dynion hyn yw gweision y Dew goruchaf , yr ei ys y’n dangos yni fforð yr iechyt .
44:16:018:0	A ’hynn a wnaeth hi lawer dydd : eithyr Paul yn poenedic ganthaw hyn , a’ ledymchwelodd ac a ddyvot wrch yr yspryt , Gorchymynaf yty yn Enw Iesu Christ vynet allau o hanei . Ac ef a ddaeth al’an yr awr hono .
44:16:019:0	Pellach pan welas hi arglwyddi vyned ymaith gobeith y elw hwy , dalha Paul a’ Sylas a wnaethant , a’ ei llusco ir varchnatva at y Raclawieit ,
44:16:020:0	a’y harwein hwy at y llywiawdwyr , gan ddywedyt , Y mae yr dynion hynn ac wynt yn Iuddaeon , yn cyntyrfy ein dinas ac yn precethy moesae ,
44:16:021:0	a’r nyd cyfreithlawn y ni ei derbyn , na ei cadw , a’ nyni yn Runveinieit .
44:16:022:0	A’r tyrfa a gydgodes yn y h’erbyn hwy , a’r llywyawdwyr a rwygesont h’ei dillat , ac a ’orchymynesont ei curaw‐a‐gwiail .
44:16:023:0	Ac wedy dody llawer gwialennot yddwynt , wy ei tavlesont i garchar , gan ’orchymyn i geidwat y carchar y cadw wy yn ddiescaelus .
44:16:024:0	Yr hwn pan derbyniawð gyfryw ’orchymyn , y bwriodd hwy ir carchar canolaf , ac a rwymodd ei traed yn y cyffion .
44:16:025:0	Ac am haner nos y gweddiawdd Paul a’ Sylas , ac y can‐molasant Ddew : a’r carcharorion y clywsant wy .
44:16:026:0	Ac yn ddysyfyt y bu daiar‐gryn mawr , yd yn y yscytwyt dysailiae yr carchar : ac yn ebrwydd yr agores yr oll ddrysae , a’ Rwymae pawp a ryddhawyt .
44:16:027:0	Yno goarcheidwat y carchar wedy dihuno , pan ganvu ddrws y carchar yn agoret , a dynnawdd ei gleddyf allan , ac a vynnesei ei lað ehun , gan dybieit cilio o’r carcharorion .
44:16:028:0	Ac Paul a lefawdd a ei lawnllef , gan ddywedyt , Na wna ddim drwc yty hun : can ys ydd ym ni yma oll .
44:16:029:0	Yno y galwoð ef am ’olaeni , ac y rruthiawdd y mewn ac yd aeth yn echrynedic , ac y dygwyddawdd y lawr geyr‐bron Paul ac Silas ,
44:16:030:0	ac y duc wy allan , ac a ddyvot , Arglwyði , pab beth ’sydd rait ymy ei wneythy’r , y vot yn gatwedic ?
44:16:031:0	Ac wynte a ddywetsant , Cred yn yr Arglwydd Iesu Christ a’ chatwedic vyddy , ti ath tuylwyth .
44:16:032:0	Ac wy a precethesont yddaw ’air yr Arglwydd , ac i pawp oedd yn ei duy .
44:16:033:0	Ac yno ef ei cymerawð hwy yr awr hono o’r nos , ac a ’olchawdd ei cleisiae , ac y batyddiwyt ef a’ ei oll bewchenogaeth ebohir .
44:16:034:0	Ac wedy iðo y dwyn hwy yew duy , e ’osodes vort geyr ei bron , ac a vu lawen ganthaw y vot ef a’ ei duylu yn credy yn‐Dew .
44:16:035:0	Ac wedy iddi ddyddhay , ydd anvones y llywiawdwyr , y caisiait , gan dywedyt , Gellyngwch ymaith y dynion hynny .
44:16:036:0	Yno y managawdd ceidwat y carchar yr ymadraddion hynn i Paul , gan ddyvvedyt , Y llywyawdwyr a ddāvonesont ich gellwng : yn awr am hyny tynnwch ymaith , ac ewch yn heddwch .
