44:3:001:1	Pen . iij .
44:3:002:1	Cahel o’r efrydd veddu ar ei draet . Petr yn precethu Christ ir popul .
44:3:001:0	PEtr ac Ioan aethant ynghyt ir Templ , ar y nawvet awr y gweddiavv .
44:3:002:0	A’ rryw wr yr hwn oedd yn efrydd o groth ei vam , a ddugit , yr vn a ðodent beunydd wrth porth y Tēpl , y elwit y porth Prydverth , y’ofyn eleesendot gan yr ei y elent y mewn ir Templ .
44:3:003:0	A’ phan weloð ef Petr ac Ioan , ar vynet ir Templ , e ddeisyfawdd gahel eleesen .
44:3:004:0	Ac Petr yn dal selw arnaw , y gyd ac Ioan , a ddyvot , Edrych arnam .
44:3:005:0	Ac ef a ddahawdd arnwynt , gan obeithiaw derbyn ryw beth ganthynt .
44:3:006:0	Yno y dyvot Petr , Ariāt ac aur nid oes genyf , and y cyfryw beth y’syð genyf , hyny a rof yty : Yn Enw yr Iesu Christ o Nazaret , cyvod a’ rhodia .
44:3:007:0	Ac ef ei cymerth erbyn ei ddehaulaw , ac ei cyvodes y vynydd , ac yn ebrwydd y cyfnerthwyt ei draet a’ ei ffere .
44:3:008:0	A’ neitiaw o honaw i vynydd , sefyll a’ rrodiaw a’ mynet i mewn gyd ac wynt i’r Templ , gan rodiaw , a’ neitiaw a’ moli Dew .
44:3:009:0	A’r oll popul y gwelawð ef yn rhodiaw , ac yn molianny Dew .
44:3:010:0	Ac ydd oeddent yn ei adnabot , may ef e ytoedd yr hwn oedd yn eistedd y ’ovyn eleesen wrth borth Prydverth y Templ : a ryveddy a sanny a wnaethant wrth y peth , a ddarvesei iddaw .
44:3:011:0	Ac mal ydd oedd yr efrydd yr hwn a iachesit , yn attal Petr ac Ioan , y rhedawdd yr oll popul yn sannedic attwynt ir porth , y elwit porth Selef .
44:3:012:0	A’ phan welawdd Petr hyn , ydd atebawdd wrth y popul , Ha wyr yr Israelieit , paam ydd ych yn rryueddu wrth hynn ? neu paam ydd ych yn hylltremio arnam ni , mal pe o’n meddiant ein hunain n’ai o’n dwywolder y gwnaethē ir gvvr hwn gerddet ?
44:3:013:0	DEVV Abraham , ac Isaac , ac Iaco , DEVV ein tadae a gogoneddawdd ei Vap Iesu , yr hwn a vradycheso‐chwi , ac a wadesoch yn‐gwydd Pilatus , gwedy daroedd iðaw ef ei varny y ei ellwng e yn rrydd .
44:3:014:0	Eithyr chwi a ymwadasoch a’r sanct a’r cyfiawn , ac archosoch cael rroddi ’r llawrydd‐celain y chwy ,
44:3:015:0	ac a laddesoch Arglwydd y bywyt , yr hwn a gyvodes Dew o veirw , i ba vn ydd ym ni yn testion .
44:3:016:0	A’ y Enw a iachaodd ef y gvvr hwn , yr vn a welwch ac ’adwaenwch , trwy ffydd yn y Enw ef : a’r ffydd ys y trwyddaw ef , a roddes yr iachawrwydd hwn yn eich gwydd chwi oll .
44:3:017:0	Ac yn awr vroder , y gwn mae trwy anwybot ei gwnaethoch , mal y gvvnaeth hefyd eich pendevigion .
44:3:018:0	Eithr y pethae hynny ar y ragvanagawð Dew trwy enae ei oll Prophwyti , bot i Christ ddyoðef , y gyflawnawdd ef val hyn .
44:3:019:0	Gwellewch eich buchedd am hyny , ac ymchwelwch , y n y ddileer eich pechatae , pan ddel amsere yr gorphwys o ’olwc yr Arglwydd ,
44:3:020:0	ac ef a ddenfyn Iesu Christ , yr hwn a rag pregethwyt ychwy ,
44:3:021:0	yr vn vydd dir ir nef ei dderbyn , yd yr amser yr adverer yr oll bethae , ry ddywesei Dew trwy enae ei oll sainct Prophwyti er yn oes oesoedd .
44:3:022:0	Can ys Moysen a ddyvot wrth y tadae , Yr Arglwydd eich Dew a gyvyd y chwy Prophwyt , ys ef oeich broder eich vnain yn gyffelyp i mi : ys gwrandewch arnaw ym‐pop peth bynac , a ddyweto wrthych .
44:3:023:0	Can ys e ðervyð , pwy bynac ny wrandaw ar y Prophwyt hwnw , Y destrywer ef o plith y popul .
44:3:024:0	A’ hefyt yr oll Prophwyti o Samuel , ac o hyny rac llaw , cynniuer ac a gympwllesont , a racvanegesont eisioes am y dyddiae hynn .
44:3:025:0	Chwychvvy ydych plant y Prophwyti , a’r dygymmod , yr hwn a wnaeth Dew wrth ein tadae , gan ddywedyt wrth Abraham , Ac yn dy had ti y bendithir oll tuylwythae yr ddaiar .
44:3:026:0	Yn gyntaf y chwi pan gyvodes Dew i vynydd ei Vap Iesu , a’ei ddanvon ef y eich bedithiaw , gan ymchwelyt pop vn o honoch y wrth eich enwireddae .
