44:6:001:1	Pen . vj .
44:6:002:1	Saith Daiacon a ordeinir yn yr Eccleis . Radae a’ gwyrthiae Stephan , yr hwn a gyhuddesant wy yngham , ac yn ddiachos .
44:6:001:0	AC yn y dyddiae hynny , val y tyvei niveiri’r’discipulon , e godes murmur gan y Groegieit yn erbyn yr Hebrewyr , can ys tremegy y gwrageð‐gweðwon hwy yn y gwenidogaeth beunyddawl .
44:6:002:0	Yno yr dauddec a alwasont y lliaws discipulon yn‐cyd , ac a ddywetsont , Nid yw cymmesur gady o hanam gair Dew a’ gwasadaethy yr bordae .
44:6:003:0	Ac am hyny vroder , edrychwch yn eich plith am seith‐wyr da ei gair , ac yn gyflawn o’r Yspryt glan , ac o ðoethinep , yr ei a ’osotom yddyn y gorchwyl hwn .
44:6:004:0	A’ nine a ymrown yn ’oystat i weddiavv , ac y arweiny y gair .
44:6:005:0	Ac boddlawn vu gan yr oll lliaws yr amadrodd hynny . Ac wy a ddetholesant Stephan gwr yn llawn o ffydd ac or Yspryt glan , ac Philip , ac Prochorus , ac Nicanor , ac Timon , ac Parmenas , ac Nicolas y proselyt o Antiocheia ,
44:6:006:0	yr ei ’n a osodent wy geyr bron yr Apostolon : ac wynt a weddiasont , ac a ddodesont ei dwylaw arnaddvvynt .
44:6:007:0	A’ gair Dew a dyvodd , ac a liosocawdd niuer y discipulon yn‐Caerusalem yn ddirvawr , a’ thorfa vawr o’r Offeirait a vvyddesont ir ffydd .
44:6:008:0	Ac Stepha nyn llawn o ffyð a’ nerth , a wnaeth rvveddodae mowrion a’ gwyrthiae ymplith y popul .
44:6:009:0	Yno y cyvodes ’r ei o’r Synagog a elwir Libertinieit , a’ Cyreniait ac o Alexandria , ac or ei o Cilicia , ac o Asia , ac a ddadleysant ac Stephan :
44:6:010:0	ac ny allent wrthnepy y doethinep , a’r Yspryt y gan yr hwn ydd oedd ef yn ymadrodd .
44:6:011:0	Yno y gesodesont wyr , y ddywedent , Ni y clywsam ef yn llavaru cabl‐airiae yn erbyn Moysen , a’ Dew .
44:6:012:0	Ac val hynn y cyffroesant vvy y plwyf a’r Henafieit , a’r Gwyr‐llen : ac a ruthrasont iddaw , ac a ymaflasont ynto , ac ei ducesant at a Cycor ,
44:6:013:0	ac a ’osodesont destion gauoc , yr ei a ddywedesont , Y dyn hwn ny phait a llavaru cabl‐airiae yn erbyn y lle sanctaidd hwn , a’r Ddeddyf .
44:6:014:0	Can ys clywsam ef yn dywedyt , y byð ir Iesu hwn o Nazaret ddestrywio y lle hwn , ac ysmuto ’r cynneddfeu , y roddes Moysen y nyni .
44:6:015:0	Ac val ydd oedd yr oll r’ei y eisteddent yn y Cycgor , yn edrych yn graph arnaw , y gwelent ei wynep val petei wynep Angel .
