45:14:001:1	Pen . xiiij .
45:14:002:1	Ny ddyleit diystyru y gwan . Ny ddyly neb rwystro cydwybot arall , Anyd cyunal o bob vn y gylydd mewn cariat perfaith a’ ffydd .
45:14:001:0	YR vn ys ydd wan o ffydd , derbyniwch atoch , ac nyd i ymrysonion dadleuae .
45:14:002:0	Vn a gred y gall ef vwyta pop peth : ac vn arall , rhwn ’sy wan ei ffydd , a vwyty lyseuae .
45:14:003:0	Na thremyget hwn ’sy yn bwyta yr hwn nyd yw yn bwyta : ac na varnet yr vn ny vwyty , yr vn a vwyty . Can ys Duw y derbiniawð ef .
45:14:004:0	Pwy yw ti yr hwn a verny yn euoc was gvvr arall ? Y mae ef yn sefyll : nei yn cwympo yw arglwydd y hun : ac ef a gynhelir : can ys dichon Duw beri iddo sefyll .
45:14:005:0	Ryw vn a varn bot dydd uchlaw dydd , ac vn arall a varu bop dydd yn o’gyfuvvch : bit pop vn yn gwbl ddilys yn ei veddwl .
45:14:006:0	Yr hwn a ystyria ddydd , ei hystyria ir Arglwydd : a’r hwn nyd ystyr ddydd , nyd ystyr ir Arglwydd : yr hwn a vwyty , a vwyty ir Arglwydd : can y vot yn diolvvch y Dduw : a’r hwn ny vwyty , ny vwyty ir Arglwyð , ac a ddiolch y Dduw .
45:14:007:0	Can nad byw yr vn o hanom yddo ehun , ac nyd marw yr vn yddo y hun .
45:14:008:0	Can ys ai byw vyddom , byw vyddom ir Arglwydd : ai meirw vyddom , meirw vyddom ir Arglwydd : pa vn bynac gan hyny a wnelom ai byw ai marw , yr Arglwydd a’n pieu .
45:14:009:0	Can ys er mwyn hyn y’bu varw Christ , ac yr adcyvodes , ac y bu vyw drachefn , val y byddei Arglwydd ar veirw a’ byw .
45:14:010:0	A’ phaam y berny di ar dy vrawt ? neu paam y tremygy di dy vrawt ? can ys ymddangoswn oll geyr bron brawdle Christ .
45:14:011:0	O bleit scrinedic yw , Ys byw vi medd yr Arglwyð , a’ phob glin a ymestwng i mi , a’ phob tavot a gyffessa i Dduw .
45:14:012:0	Velly ynte pop vn o hanom a rydd gyfrif am dano y hun y Dduw .
45:14:013:0	Na bo i ni gan hyny varnu pawp ar e gylydd mwyach : anyd bot yn hytrach i chwi varnu yn‐cylch hyn , na ðoto nep yw vrawt achos tramcwyð , nei gwymp .
45:14:014:0	Mi wn , ac yn mae yn ddilys genyf trwy’r Arglwydd Iesu , nad oes dim yn aflan o hano y hunan : anyd ir vn ’sy yn tybieit vot dim yn aflan , yddaw ef y mae yn aflan .
45:14:015:0	Eithyr a’s dy vrawt a dristaa o bleit y bwyt , nyt wyt yr owhon yn rhodio erwydd cariat perffeith : na choll ef ath vwyt , yr hwn y bu varw Christ drosto
45:14:016:0	Na pherwch ’oganu eich braint .
45:14:017:0	Can nad yw teyrnas Duw na bwyt , na diot , anyd cyfiawnder , a’ thangneddyf , a’ gorvoledd yn yr Yspryt glan .
45:14:018:0	Can ys pwy pynac yn yr ei hynn a wasanaetha Christ , ’sy gymradwy gan Dduw , a chanmoladwy gan ddynion .
45:14:019:0	Velly dylynwn ni y petheu ’sydd o bleit tangneðyf , a’r petheu ’sy y ni y adeilat y gylydd .
45:14:020:0	Na ddinistr waith Duw er mwyn bwyt : diau yvv bot pop peth yn yn ’lan : eithyr drwc yvv ir dyn a vwyty drwy drancwydd .
45:14:021:0	Da yvv na vwytaer cic , ac nad yfer gwin , na dim , drwy ’r hyn y tramcwydda dy vrawt , ai y rhwystrir , ai y gwanheir .
45:14:022:0	A oes ffydd genyti ? bid hi gyd a thi tyhun geyr bron Duw : gwyn y vyd yr vn ny’s barn y hunan yn yr hyn y mae ef yn ymarddel .
45:14:023:0	Can ys yr vn a betrusa , a’s bwyty , y mae yn varnedic , can nad yw ef yn bvvyta o ffydd : a’ pha beth bynac , nyd yw o ffyð , pechat yw .
