46:2:001:1	Pen ij .
46:2:002:1	Y mae ef yn rhoi yn lle esempl y
46:2:003:1	*
46:2:004:1	wedd , vodd
46:2:005:1	ðull ef ar precethu , yr hyn oedd ar ol ffurf yr Euangel , yr hon oedd yn ddirmygus ac yn guddiedic i’r dyn cnawddol . A’ thrachefn yn anrydeddus ac yn amlwc ir sprydol .
46:2:001:0	AC mivi , vroder , pan ddaethym atoch , ny ddeuthym a’ ragoriaeth ymadrodd , neu ddoethinep , gan venegy ywch’ destoliaeth Duw .
46:2:002:0	Cā na thybiais i vot yn wiw gwybot dim yn eich plith , o ddieithyr Iesu Christ , ac yntef wedy ei grogi .
46:2:003:0	Ac ydd oeddwn yn eich plith yn‐gwendit , ac yn ofn , ac yn‐echryn mawr .
46:2:004:0	Ac nyd oedd vy araith a’m preceth yn sefyll yn‐geirae denu doethinep dynawl , anyd yn eglur ddangosiat yr Yspryt , a’ nerth ,
46:2:005:0	val na byddei eich ffydd yn‐doethinep dynion , anyd yn nerth Duw .
46:2:006:0	A’ doethinep a ddywedwn ym‐plith yr ei perfeith : nyd doethinep y byt hwn , na doethinep tywysogion y byd hwn , yr ei a ddervydd am danynt .
46:2:007:0	Eithyr nyni a adroddwn ddoethinep Duw y sy yn‐dirgelvvch , sef y doethinep oedd guddiedic , ac a racdervynawdd Duw cyn yr oesoeð , i’n gogoniant ni .
46:2:008:0	Yr hwn ddoethinep ny’s adnabu nep o dywysogion y byt hwn : can ys pe’s adwaenesent , ny chrogesont wy Arglwydd y gogoniant .
46:2:009:0	Eithyr megis y mae yn scrivenedic , Y petheu ny welas llygat , ac ny chlywoð clust , ac ny’s daeth y mewn calō dyn , ynt , a baratoawð Duw ir ei y carant ef .
46:2:010:0	A’ Duw y datgyddiawdd hwy y ni gan y Yspryt ef : can ys yr Yspryt a chwilia bop peth , a’ phetheu dyfnion Duw .
46:2:011:0	Can ys pa ddyn a edwyn betheu dyn , dyeithr yspryt dyn , yr hwn ’sy ynddo ef ? ac velly petheu Duw nyd edwyn nebun , anyd Yspryt Duw .
46:2:012:0	A’ nyni ny dderbyniesam , yspryt y byt anyd yr Yspryt , ysydd o Dduw , val yr adnabyddem y petheu a roddwyt y‐ni y gan Dduw .
46:2:013:0	Yr hyn betheu hefyt a ymadroddwn , nyd yn y geiriae ’ðengys doethinep dynol , anyd yr ei a ðengys yr Yspryt glan , gan gyffelypu petheu ysprytol y betheu ysprytol .
46:2:014:0	Eithyr y dyn anianol ny chynwys betheu ’sy o Yspryt Duw : can ys ynfydrwyð ynt ganto ef : ac ny ðychon ef eu hadnabot , can ys yn ysprytol eu dosperthir .
46:2:015:0	Eithr yr hwn ’sy sprytol , a wyr varnu pop peth : ac yntef ny vernir y gan nebun .
46:2:016:0	Can ys pwy a wybu veddwl yr Arglwydd , val y gallei y gygori ef ? anyd y mae genym ni’ veddwl Christ .
