46:5:001:1	Pen . v .
46:5:002:1	Mae ef en ceryddu yn dost ei yscaelusdra hwy yn cospi yr hwn a wneithei
46:5:003:1	*
46:5:004:1	incest , ’
46:5:005:1	sef godinep o vewn y graddeu goharddedic
46:5:006:1	dra lloscrach , Gan vynnu yddynt y escommuno ef . Erchi aruer purdap . Ac ymogelyd enwiredd .
46:5:001:0	E Glywir yn ollawl vot godinep yn eich plith , a’ chyfryw ’odinep ac na henwir vnwaith ym‐plith y Cenetloeddd , sef cymeryd o vn wreic ei dat .
46:5:002:0	Ac ydd yw‐chwi yn ymchyddo , ac yn gynt paam na thristaech , y’n y thynnit ymaith o’ch plith yr vn a wnaethoedd y weithred hon .
46:5:003:0	Can ys myvi yn ddiau val yddwyf yn absen yn y corph , wyf yn bresēnol yn yr yspryt , a vernais eisioes megis pe byddwn presentol , pan yvv am yr hwn a wnaeth y peth hyn , gwedy y’wch ymgynnull ynghyt ,
46:5:004:0	a’m yspryt i , yn Enw yr Arglwydd Iesu Christ , bot meddaf am y cyfryw , gan veddiant ein Arglwyð Iesu Christ ,
46:5:005:0	y roddi i Satan , er dinistr y cnawt , val yr iachaer yr yspryt yn‐dydd yr Arglwyð Iesu .
46:5:006:0	Nyd yw dda eich ymhoffedd : any wyddoch y leveinia ychydic levein yr oll does ?
46:5:007:0	Gan hynny certhwch yn ’lan yr hen levein , val y byddoch chvvi toes newydd , val ydd ych ddileveinllyt : can ys Christ ein Pasc a aberthwyt trosom .
46:5:008:0	Am hyny cadwn wyl , nyd a’r hen levein , nac yn levein drigioni ac anwiredd : eithyr a deleveinllyt vara purdap a’ gwirionedd .
46:5:009:0	Mi scrivenais atoch mewn epistol , na bei ywch ddim cydgymddeithas a godinebwyr ,
46:5:010:0	ac nyd yn ollawl a godinebwyr y byt hwn , neu a’r cupyddion , neu a chribdeilwyr , neu a delw addolwyr : o bleit a’s amgen rhait ywch vynet al’ā o’r byt .
46:5:011:0	Eithr yn awr y scrivenais atoch’ , na bo ywch gydgymdeithas : a’s oes neb a elwir yn vrawt , yn ’odinebwr , neu yn cupydd neu yn ddelw‐addolwr , neu yn gablwr , neu vn meddw , neu yn gribddeilwr , y gyd a’r cyfryw vn na vwytewch .
46:5:012:0	Can ys beth ’sy i mi a wnelwyf ar varnu hefyt yr ei sy o ddy allan ? anyd yw‐chwi yn barnu yr ei ’sy oddy vewn ?
46:5:013:0	and mae Duw yn barnu yr ei ’sy oddy allan . Bwriwch ymaith gan hyny och plith yr yscelerddyn hwnw :
