47:1:001:1	Pen . j .
47:1:002:1	Datcan y mae ef vaint y budd a ddaw ir ffyddlonieit ywrth ei cystuddedic dravaelon . A’ rhac yddyn vwrw yn yscavnder meddwl arnaw , ddarvod iddo oedi ei ddyvodiad yn erbyn ei addewid , y mae ef yn provi ei ddwysfryd ai ddianwadalwch , yn gystal gan ei burdep yn precethu , a’ hefyt gan ddiysmudedic wirionedd yr Euangel . Yr hon wirionedd a ddysylir ac a’rwndwelir a’r Christ , ac a inselir yn ein calonae gan yr Yspryt glan .
47:1:001:0	PAul Apostol Iesu Christ trwy ewyllys Duw , a’n brawd Timotheus , at Eccles Duw , ys ydd yn Corinthus y gyd a’r oll Sainctæ , yr ei ’sydd yn Achaia :
47:1:002:0	Rat vo gyd a chwi , a’ thāgneðyf y gan Duw ein Tat , a’ chan yr Arglwydd Iesu Christ .
47:1:003:0	Bēdigedic yvv Duw ’sef Tat Arglwydd Iesu Christ , Tat y trugareddae , a’ Duw yr oll ddiddanwch ,
47:1:004:0	yr hwn a’n diðana ni yn ein ol’ ’orthrymder , val y gallom ðiðanu yr ei ’sy mewn dim gorthrymder , trwy ’r diddanwch in diddenir ninheu gan Dduw .
47:1:005:0	Can ys megis yr amlheir dyoddefiadae Christ ynom , velly yr amlheir ein diddanwch ni trwy Christ .
47:1:006:0	A’ phwy vn bynac ai in gorthrymer , er diddanwch ac iechedvvrieth y chwi ydyvv , yr hon a weithir gan ymaros yn yr vn ryw ddyoddefiadae , yr ei ddym ni hefyd yn y dyoddef : ai diddaner ni , er diddanwch ac iechedvvrieth y chwi ydyvv .
47:1:007:0	Ac y mae ein gobeith yn ffyrf am danoch , can y ni wybot megis ac ydd ych’ yn gyfranocion o’r dyoddefiadae , velly y byddvvch hefyt gyfranoc o’r diddanwch .
47:1:008:0	Can ys vroder , ny vynē ywch’ anwybot am ein gorthrymdr , y vu i ni yn yr Asia , sef val y pwyswyt arnam yn anveidrawl dros ben ein gallu , megis ydd oeddem‐mewn‐trachyfing-gyngor , ac am yr einioes .
47:1:009:0	Do , ni a dderbyniesam varn angeu ynam , val na ’obeithem ynam ein hunain , anyd yn‐Duw , yr hwn a gyvyd y meirw .
47:1:010:0	Yr hwn a’n gwaredawdd ni ywrth gyfryw ddirvawr angeu , ac ’sy yn ein gwaredu : yn yr hwn y gobeithiwn , in gwareda rhac llaw ,
47:1:011:0	a’s chvvychwi a gydweithiwch yn‐gweddi trosam , pan yw tros y dawn a roddet y ni er mvvyn llawer , bod roi diolvvch gan lawer dyn y trosam .
47:1:012:0	Can ys ein gorvoledd ni yw hyn , sef testiolaeth ein cydwybot , can ys yn symlder a’ duwiol burdep , ac nyd yn‐doethinep cnawdawl , anyd gan rat Duw y bu i ni ymgydtro yn y byt , ac yn ben ddivaddef tu ac ato‐chwi .
47:1:013:0	Can nad ym yn scrivennu amgenach betheu atoch’ , nac y ddarllenwch , neu ar ydd ych yn ei cydnabot , ac a ’obeithaf y cydnabyddwch yd y dywedd .
47:1:014:0	Sef megis y cydnabuoch ni o ran , ein bot yn orvoledd ychwi , megis ac ydd yw chwithe i ninheu , yn‐dydd yr Arglwydd Iesu .
47:1:015:0	Ac yn y gobaith hyn ydd oedd im bryd i ddyvot atoch y tro cyntaf , val y caffech ddau rat ,
47:1:016:0	a’ myned hebo‐chwi i Macedonia , a’ dyvot drachefn o Macedonia atoch , a’ chael vy hebrwng genwch tua Iudaia .
47:1:017:0	Can hyny pan oeddwn yn amcanu val hyn , a arverwn i o yscavnder ? neu wyfi yn amcanu y petheu ’r wy ’n amcanu , erwdd y cnawd , val y byddei gyd a myvi , Do , do , ac Na ddo , na ddo .
47:1:018:0	Sef ys ffyddlon yw Duw , na bu ein gair tu ac atoch , Do , ac Na ddo .
47:1:019:0	Can ys Map Duw Iesu Christ yr hwn a precethwyt yn eich plith chvvi genym ni , ’sef myvi , a’ Siluanus a’ Thimotheus , nyd ytoedd , Do , ac Na ðo : eithyr yndo ef , Do y doedd .
47:1:020:0	Can ys oll addewidion Duw yndo ef ynt Do , ac ynt yndaw ef Amen , er gogoniant Duw trwyddom ni .
47:1:021:0	A’ Duw yw ’r hwn a’n cadarna ni y gyd a chwi yn‐Christ , ac a’n enneinioð ni .
47:1:022:0	Yr hwn hefyt a’r inseliawð , ac a roes ernes yr Yspryt yn ein calonau .
47:1:023:0	Ac ydd wy vi yn galw Duw yn test i’m enait , may i’ch arbed chwi , na ddaethym i yd hynn i Corinthus .
47:1:024:0	Nyd can eyn bot yn arglwyðiaw ar eich ffyð chvvi , anyd ein bot yn ganhorthwywyr ich llawenyð : can ys gan ffydd y sefwch .
