47:4:001:1	Pen . iiij .
47:4:002:1	Mae ef yn datcan ei ddiyscaelusrwydd ai dalgrynrwydd yn ei swydd . A’r hyn oedd ei ’elynion yn ei gymryd yn ðielw iddo , sef , y
47:4:003:1	4 : 0
47:4:004:1	‡
47:4:005:1	groes
47:4:006:1	groc a’r travaelion yr ei y mae ef ei goðef , a droes ynteu yn ’elw mawr yddaw . Can ddangos pa vudd a ddaw o hyny .
47:4:001:0	AM hyny , can vot i ni y gweinidogeth hynn , megis y cawsam drugaredd , nyd ym ni yn llaesu :
47:4:002:0	eithr ymwrthot a wnaetham a gorchuddiau coegedd , ac nyd rhodiaw ydd ym yn hoccedus , ac nyd ym yn camdraethu gair Duw : eithr can eglurhau y gwirionedd ydd ym yn ymbrifio wrth cydwybot pop dyn yn‐golwc Duw .
47:4:003:0	Ac ad yw ein Euangel yn guddiedic , ir ei a gyfergollwyt , y mae hi yn guddiedic .
47:4:004:0	Ym‐pa ’rei Duw y byt hwn a ddallawdd y meddyliae , ’sef ir anffyddlonion , rac towynnu yddynt llewyrch y gogoneddus Euangel Christ , rhwn yw delw Dduw .
47:4:005:0	Can nad ym yn ymprecethu ein hunain , anyd Christ Iesu yr Arglwydd , a’ ninheu yn weision ywch er mwyn Iesu .
47:4:006:0	Can ys Duw’rhwn a ’orchymynnawð ir golauni lewyrchu allan o dywyllwch yvv ef yr hwn a lewyrchawdd yn ein calonae , y roddi golauni’r gwybodaeth y gogoniant Duw yn wynep Iesu Christ .
47:4:007:0	Eithr y tresawr hwn ’sy genym mewn llestri pridd , val y byddei arðerchowgrwyð y meðiant hwnw o Duw , ac nyd o hanō ni .
47:4:008:0	Yð ys in gorthrymu o bop parth , er hyny nyd ym mewn cyfyngder : ydd ym mewn cyfing gyngor , er hyny nyd ym yn ðigyngor .
47:4:009:0	Ydd ys yn ein ymlid , and ny’n gedir eb navvdd : ydd ym wedy ein tavlu y lawr , eithr ny’n collir .
47:4:010:0	Ym pop lle ydd ym yn arwedd o y amgylch yn ein corph varwoleth yr Arglwyð Iesu , val yr eglurer hefyt vywyt Iesu yn ein corphe .
47:4:011:0	Can ys ny ni ’rei sydd yn vyw , a roðir yn wastat y angeu er mwyn Iesu , val yr eglurhaer hefyt vywyt Iesu yn ein marwol gnawd .
47:4:012:0	Ac velly angeu a weithia ynam ni , a’ bywyt yno‐chwi .
47:4:013:0	A chan vot i ni yr vn Yspryt ffyð , erwydd y mae yn scrifenedic , Credais , ac am hyny y llavarais , ac ydd ym ninheu yn credu , ac am hynny y llavarwn ,
47:4:014:0	can wybot y bydd y hwn a gyfododd yr Arglwydd Iesu , eyn cyfodi ninheu hefyt trwy Iesu , ac a’n gosyd ni y gyd a chwi .
47:4:015:0	Cā ys pop peth oll ys yd er eich mwyn chwi val yr amylhao yr helaethaf rat gan ddiolchiat llaweroedd er gogoniat y Dduw .
47:4:016:0	Am hyny nyd ym ni yn ymellwng , eithyr cyd llygrer ein dyn o ddyallan , er hyny y dyn o ddymewn a adnewyðir beunydd .
47:4:017:0	O bleit yscavnder ein gorthrymder rhwn ny phara ddim hayachen , a bair y ni dra arðerchawc a’ thragyvythawl bwys o ogoniant ,
47:4:018:0	pryd nad edrychom ar y petheu hyn a welir , anyd ar y petheu , ny welir ddim hanynt : can ys y petheu a welir , ’sy dros amser : a’r petheu ny welir , ’sy tragyvythawl .
