52:4:001:1	Pen . iiij .
52:4:002:1	Y mae ef yn ei hannoc i sancteiddrwydd , Gwiriondep , Cariat Llavur , A’ chymmetroli galar a’ geirad am y meirw , Gan ddosparthu dywedd y cyuodedigaeth .
52:4:001:0	AC eb law hyny ys atolygwn ywch , vroder , ac a ervyniwn yn yr Arglwydd Iesu ar ymchwanegu vwy vwy , megis yd erbyniesoch y cenym po’dd y dylech rotio , a’ boddhau Duw .
52:4:002:0	Can ys gwyddoch pa ’orchmynion a roesam y’wch y gan yr Arglwydd Iesu .
52:4:003:0	O bleit hyn yw ’wyllys Duw , ’sef eich sancteiðiat chwi , ac ymgynnal o hanoch rrac ffornicrwyð
52:4:004:0	a’ gwybot o bop vn o hanoch p’odd y meddianna ei lestr yn sancteidrwydd ac anrydedd ,
52:4:005:0	ac nyd yn gwyyn trachwant , megis y Cenetloeð yr ei nyd adwaenant Dduw .
52:4:006:0	Na bo i nep ’orthrymu na thwyllo ei vrawt ym‐masnach : can ys dialwr yw’r Arglwydd am bop cyfryw betheu , megis ac y rac ddywedesam y’wch , ac y testiasam .
52:4:007:0	Can na’s galwodd Duw nyni y aflendit , yn amyn i sancteiddrwydd .
52:4:008:0	Can hynuy y nep a escaeluso y petheu hyn , nyd dyn y mae yn ei escaeluso , ’n amyn Duw , ’rhwn ac a roddes ywch ei Yspryt glan .
52:4:009:0	A’ thu ac at am vrawdgarwch nyd rait y chwy scrivennu o hanof atoch : can ys ich dyscwyt‐gan-Dduw y garu eu gylydd .
52:4:010:0	Sef ydd ych yn gwneuthur hyn i bawp o’r vrodur , yr ei ’sy trwy oll Macedonia : ac adolwyn ywch , vroder , ar ragori o hanoch vwyvwy ,
52:4:011:0	a’ rhoi eich bryd ar vot yn llonydd , a’ gwneuthur y petheu sy y’ddwch eichunain , a’ gweithiaw a’ch dwylo eich vnain , megis y gorchymynesam y‐chwy ,
52:4:012:0	val yr ymddugoch yn sybervv tu ac at yr ei ’sydd oddy allan , ac na bo dim yn eisieu ychwy .
52:4:013:0	Nyd wyllyswn , vroder , eich bot yn anwybot am yr ei ’sydd yn hunaw , val na chymroch‐drymder , megis ac y gvvna eraill yr ei nyd oes ganthynt ddim gobaith .
52:4:014:0	O bleit a’s credwn varw o Iesu , ai adgynodi , ys velly yr ein a hunesant yn Iesu , a ðwc Duw y gyd ac ef .
52:4:015:0	Can ys hyn a ddywedwn wrthych yn‐gair yr Arglwydd , na bydd i ni yr ei ’sy yn vyw , ac yym yn aros yn‐duodiat yr Arglwydd , ragvlaenu ysawl a hunesant .
52:4:016:0	Can ys‐yntef yr Arglwydd a ddescend o’r nef gyd a gawr , ac a llef yr Archangel , ac ac vtcorn Duw : a’r meirw in‐Christ a gyuodāt yn gyntaf .
52:4:017:0	Yno ninheu yr ei byw ac ’sy yn aros , a gymmerir yny man gyd ac wynt yn yr wybrenneu , y gyfarfod ar Arglwyð yn yr awyr : ac velly yn’oystatol y gyd ar Arglwyð y byddwn .
52:4:018:0	Can hyny , conffortwch eu gylydd a’r ymadroddion hyn .
