54:4:001:1	Pen . iiij .
54:4:002:1	Dyscu yddo y mae ef pa ddysc ddylei gilio rragddo , A’ pha vn ei ddylyn , Ac ym‐pa ’orchwyl y dlyei ef ymarver yn vngwaith .
54:4:001:0	AR Yspryt syn doydyt yn eglur , ir ymedy rrai yn yr amseroedd diwaytha or ffydd , yr ystyrio ysprydoedd cyfeiliornus , a’ dysceidiaythay cethreuliaid ,
54:4:002:0	yn dywedyt celwydd trwy druth , rrain sy ai cydwybod wedi i llosci gan‐hayarn‐brwd ,
54:4:003:0	yn gwahardd priodas , ac yn erchi , ymattal oddiwrth fwydydd , rrain a creawdd Duw yw mwynhau trwy talu‐diolch ir ffyddloniaid , ac irhai a edoynant y gwirionedd .
54:4:004:0	Cans pa beth bynac a creawdd Duw , da ydiw : ac nidoes dim yw wrthod , os cymerir trwy talu‐diolch .
54:4:005:0	Herwydd i santeiddir trwy ’air Duw , a gweddi .
54:4:006:0	O dygi di ar gof ir brodyr y pethau hyn , ys da wasnaythwr fyði i Iesu Christ , rrwn ith fagwyd mewn geiriau’r ffydd , ac athrawaeth da , rrwn a ddylynaist yn astud .
54:4:007:0	Eithr gad heibio anlan , a gwraichiaidd chwedlae , ac ymarfer di dyhun i dduwiol aeth .
54:4:008:0	Can ys ymarfer corphorawl ychydig a proffittia : eithr dywolieth proffidiol yw i pob peth , ac addewid iddaw or bowyd presennawl , ac or hwn a ddaw rrac llavv .
54:4:009:0	Y gair hwn sy wir , ac ym‐pob moð y haydday cymeriad .
54:4:010:0	Cans am hynny i ddym yn poeni ac y cael eyn dirmygy , herwydd yn bod yn gvvir obeitho ar Dduw byw , rrwn ydiw caidwad oll ddynion , yn enwedig y ffyddloniaid .
54:4:011:0	Y pethau hynn gorchymyn di a dysc‐yddynt .
54:4:012:0	Na ðiystyred neb dy ifiengtid ti , eithr bydd ir hai a gretton yn siampl , ar ’air , ar ymddygiad , ar gariad , ar yspryt , ar ffydd , a’ phurdeb .
54:4:013:0	Hyd oni ddelwyfi , ymosod i ddarllein , i gyngor , ac i athrawaeth .
54:4:014:0	Nac ysceulusa y rrodd sydd ynotti , rron a rodded i ti i proffedoliaythy gā osodiad dwylo yr Henafiaeth .
54:4:015:0	Arfera y pethau hynn , ac ymddyro yddynt , mal i gallo dy lysaad ti fod yn eglur ym‐plith pawb .
54:4:016:0	Gwilia arnat tyhun , ac ar athrawaeth : parhaa yn hynn : can ys o gwnei di hyn , ti ath cedwi dy hun , ar rei a wrandawo arnat .
