54:6:001:1	Pen vj .
54:6:002:1	Dywti gwasanaeth ddynion tu ac at ei perchen , Yn erbyn yr ei nys
54:6:003:1	*
54:6:004:1	boddlonir
54:6:005:1	dygonir a gair Duw . Am wir dduwoldep , a’ boddlondep meðwl , Yn erbyn cupyðdot . Rhoi gorchymyn ar Timotheus .
54:6:001:0	CYnifer ac y’sydd o wasnaythwyr tann yr iau , barnant eu meistredd yn teilwng o bob anrrydedd , rrag cablu enw Duw ay addysc .
54:6:002:0	A’ rrei ’sy a meistred vðynt yn credu , na dystyrant hwynt , herwydd i bod yn vrodyr , eithr yn hytrach i gwasneuthu , ir mwyn i bod yn credu , ac yn garedigion , ac yn gyfrānoc or twrn da . Dysc y pethau hyn , a’ chynghora .
54:6:003:0	Od oes yn dyscu yn amgenach , ac nad yw yn cyttuno ac iachus eirie eyn Arglwydd Iesu Christ , ac ir addysc , ’sy ar ol duwioliaeth ,
54:6:004:0	chwyddo i may heb wybod dim , eithr amhwyllo ynghylch questiwnay a dadl‐geiriau , or hyn i mac cenvigen , ymryson , ymsenneu , tybieu drwc .
54:6:005:0	Ofer ddadlay dynion llygredig ey meddwl , wedy cyfergolli y gwir centhynt , yn tybiaid taw elw yw duwioliaeth , ymochel oddiwrth y cyfryw .
54:6:006:0	Elw mawr eusus yw duwiolieth , drwy ymvodloni o ðyn a’r hyn vo cātho .
54:6:007:0	Can ys ni ddygasom ni ddim ir byd , a’ diogel yw ni allwn ddwyn dim ymaith .
54:6:008:0	Am hynny o cawn ymborth a dillad , ymfodlonwn ar hynny .
54:6:009:0	Eithr yr ei a fynnent ymgwaythogi , a gwympant i profedigaeth , ac i vagle , ac i lawer o drachwantay ffolion a’ niweidus , rrain syn boddi dynion i golledigaeth ac i ddistriw .
54:6:010:0	Can ys chwant‐mwnws yw gwreiddin pob drwg . Yr hein tra oyddynt rrei yn i chwenychu , hwy a wyrasont or ffydd , ag ay trychasont ey hunain tryvvodd a llawer o govidie .
54:6:011:0	Eithr ti gwr i Dduw , gochel y pethay hyn , a’ dilid ar ol cyfiawnder , duwiolaeth , ffydd , cariad , ymynedd , a’ lledneisrwydd .
54:6:012:0	Ymladd ymladdiad gorchestol y ffydd : cymer afael ar y bowyd tragwyddawl , ir hwn hefyd ith alwyd , ac ir ymaðewaist ymaddawiad da gar bron llawer o dystion .
54:6:013:0	Dy ddirofyn i ddwy gar bron Duw , syn bywhau pop peth , a gar bron Iesu Christ , rrwn tan Pontius Pylatus a dystiodd cyffes pybur ,
54:6:014:0	cadw o honot y gorchymmyn hvvn yn ddiflot , ac yn ddifai hyd ymddangosiad eyn Arglwydd Iesu Christ ,
54:6:015:0	rrwn yn y dyledus amser a ddengys ef , rrwn sy fendigedig ac vnic pennaeth , Brenin y Brenhinoedd , ac Arglwydd yr Arglwydd ,
54:6:016:0	Ir hwn yn vnic i may difarwoldeb , ac yn trigo yn y goleuni diymgyrch , rrwn irioed nis gweles vn dyn , ac nis dichin i weled , ir hwn i bo anrrydedd a’ gallu yn dragwyddawl , Amen .
54:6:017:0	Yr hei sy oludawc yn y byd yma gorchymmyn vddynt , na boont rryfygus eu meddwl , ac na rothon ei , gobaith mewn golud anwadal , eithyr mewn Duw byw , ( rhwn syn rroi i ni pop peth yn ddigonawl yw mwynhau )
54:6:018:0	ar wneuthyd o honyn ddayoni , ac ymgyvoethogi o weithredoedd da , ac yn hawdd canthyn roi , ac yn havvdd i cydfod ,
54:6:019:0	yn storio yðynt i hunain sail da rag llaw , mal i gallont gavayly y bowydd tragwyddol .
54:6:020:0	O Timotheus , cadw a roed attat , gan ochel aniwaraidd ofersoniadwy , a gwrth‐osodiaday cam‐enwedig celfyddyd ,
54:6:021:0	rron rrai yn ymaddaw a hi , a gam wyrasont or ffydd . Gras gida thi , Amen . Yr Epistl gynta i Tymotheus , a yscrifennwyd o laodiceia , rron yw penn dynas Phrygia Pacatiana .
