58:9:001:1	Pen . ix .
58:9:002:1	1 P’odd y dylëir ceremoniae ac ebyrth y Ddeddyf , 11 Can dra gyvytholdap a’ pherffeithrwy ddaberth Christ .
58:9:001:0	AM hynny yn wir rydoedd hevyd ir Testament cynta deddfawl grevydd , a’ chyssegrfa bydawl .
58:9:002:0	O blegid y Tabernacl oedd wedi y gwneuthyd y gyntaf , yn yr hwn y roedd y canwyllbren , a’r bordd , ar bara dangos , rhvvn dabernacl a elwid y lle sanctaidd .
58:9:003:0	Yn ol yr ail llen yr oedd y Tabernacl , ’rhwn a elwid y santeiddiaf oll ,
58:9:004:0	Llei roedd y senser aur , ac arch y Testament wedi y goreuro oi hamgylch , yn yr hon yr oedd y krochan aur ar manna yntho , a’ gwialen Aaron , rron a vlagurasei , a thablay y Testament .
58:9:005:0	Ac uwch yr arch y Cherubym gogoneddus , yn kysgodi y drigareddva : am yr rrain ni dawn ni yn awr i son am danyn bob vn or neiltu .
58:9:006:0	Wedi gosod yr rrain mewn ordr y sut yma , ir Tabernacl cynta yn wir y rai bop amser yr effeiriad , sy yn gwasneuthu yr creuydd .
58:9:007:0	Ir ail yn wir y rai vnwaith bob blwyddyn yr archeffeiriad yn vnig , nid heb waed rrwn a offrymmay ef trosto y hun , a thros anwybodaethe y bobl .
58:9:008:0	Yr ysbryd glan yn arddangos hyn , nad oedd y ffordd ir cyssegrfa yn egored etto , tra vyddai y Tabernacl cynta yn sevyll ,
58:9:009:0	Rrwn ydoedd ffygur tros yr amser kydrychol , yn yr hwn ir offrymmid rrodion ac aberthau rrai ni allen lanhau , ar ran cydwybod , yr hwn a wasnaythe’r-crefydd ,
58:9:010:0	Rrwn oedd wedy y ’osod yn vnic mewn bwydydd a diodydd , ac amryw drochiaday , a Deddfay cnowdol , hyd oni ddele amser y dywygiad . Yr Epistol y v . Sul yn y Grawys .
58:9:011:0	Eythyr Christ yn dyfod yn archeffeiriad y dayoni rrag llaw , trwy dabernacl fwy a’ pherffeithiach , nid o waith dvvy llaw , sef yw hynny nid or edeiladeth yma ,
58:9:012:0	Nid chwaith trwy waed geifr a lloiau : eithr trwy y waed y hun i raeth ef vn waith y mewn ir cyssegrfa , ac a gavas ’ollyngdod tragywyddol yni .
58:9:013:0	O blegid os gwaed teirw , a’ geifr a lludw heffr , wedi y danu ar y llygredigion , a deilynga ar ran puredd y knawd ,
58:9:014:0	O ba vaint mwy , y pura gwaed Christ , rrwn trwy yr Ysbryd tragowydd ay offrymmawdd ef y hun yn ddifai y Ddyw , ych cydwybod chwi , oddiwrth veirwon weithredoedd , y wasneuthu Dyw byw ?
58:9:015:0	Ac am hynny y may ef yn gyfrwngwr , y Testamēt newydd , megis trwy farfolaeth rron oedd ir gollyngdod y camweddau oeddent tan y Testament cyntaf , y derbyniay yr rrai oeð wedi eu galw , addewid yr etyveddieth tragwyddawl . Yr Epistol ar ddie merchur cyn y Pasc .
58:9:016:0	O blegid lle bo Testament , rraid yw digwyddo marfolaeth y testamentwr .
58:9:017:0	Can ys or meirw y cayff y testament eu ’rymm : achos ni does nerth yntho tra vo byw y testamentwr .
58:9:018:0	Ac wrth hynn ni chysegrywdd y cyntaf heb waed .
58:9:019:0	Can ys pan ddarffai i Voyses draythur gorchymyn y gyd achlan ir holl bobl , wrth y gyfraith , ef gymerai waed lloiau a’ geifr , cyd a gwlan pwrpwlac ysop , ac ai taynellei ar y llyfr , a’r bobl oll ,
58:9:020:0	Gan ddoydyd , hwn yw gwaed y Testament , rrwn a orchmynawdd Dyw y chwi .
58:9:021:0	Heb law hynny , taynellu hevyd awnay ef y Tabernacl a holl llestri’r gwasanaeth a gwaed .
58:9:022:0	A’ phob peth gan mwyaf ar ol y gyfraith trwy waed y purir hvvynt , ac heb ollwng gwaed nid oes maddeuant .
58:9:023:0	Am hynny angenrreidiol ydoedd y bortreiadau y pethau sy yn y nefoed gael y puro ar pethau hyn : y pethau nefawl y hunain a burit ac aberthay gwell nor rrain .
58:9:024:0	Can ys nid ir cyssegrfa o waith llaw ir aeth Christ y mewn , rrwn sydd bortreiad ir gwir cyssegr : eithr ef aeth ir nefoedd y ymddangos yn awr yn golwc Dyw trosom ni ,
58:9:025:0	Ac nid yw offrymu y hun yn fynych , mal y may yr archeffeiriad yn myned y mewn ir cyssegrfa bob blwyddyn a chantho waed dierth .
58:9:026:0	( O blegid velly y biase raid iddo ddiodde yn fynych o ddechreuad y byd ) eythr yn awr vnwaiih yn diwedd y byd ir ymddangoses ef y ddiflannu pechod trwy y aberthu y hunan .
58:9:027:0	Ac megis ac y gosoded hyn y ddynion farw vnwaith , ac yn ol hynny bot barn ,
58:9:028:0	Velly Christ hevyd a aberthwyt vnwaith y doddi pechodeu llawer , yr ail waith heb ddim pechod ir ymddengis ef ir rrai sy yn y ddiscwyl , ir iechaid yddynt .
