40:2:001:1	East, Gwats'an Tr'igiinjil
40:2:001:0	Jesus, Bethlehem kwaiik'it, aiizhit gwizhit vagoodlit, ąįįt'ee Judea nahkat gwizhit goo'aii. King Herod, izhit dąį' zhat nahkat gwats'ą' k'eedeegwaadhat nilii gwiizhit, dinjii goonzhįį nilii nąįį East gwats'an Jerusalem kwaiik'it gwachoo k'eegiidal.  
40:2:002:0	Są' zhat dha'aii ąįį geenjit ch'agoahkat, “Ąįį tr'iinin tsal, Jews nąįį eenjit King heelyaa goo'aii, vagoodlit adaajii? Nijin East gwats'an khaneech'ii'ak dąį' va-są' tr'ąąh'in ts'ą' vats'a' khadigireheejyaa geenjit dzaa gwats'ą' tr'ahaajil t'igwii'in.” ginyąą. 
40:2:003:0	Nijin King Herod gwiitth'ak dąį' łyaa vatthąį' iizųų goodlit, Jerusalem gwizhit dinjii nąįį datthak chan gootthąį' iizųų goodlit. 
40:2:004:0	Herod, giinkhih kįh dilk'ii nąįį, ts'ą' Law eech'ǫąąhtan nąįį datthak khaihłan niinlii ts'ą' goovahkat, “Nijin gwa'an Messiah vigweheelyaa goo'aii?” goovahnyąą. 
40:2:005:0	“Judea nahkat gwizhit kwaiik'it Bethlehem,” giiyahnyąą. Jii t'ee deenaadąį' gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii dagwaantł'oo t'igwinyąą, 
40:2:006:0	‘Kwaiik'it Bethlehem, ąįį Judah nahkat gwizhit goo'aii,Judah nahkat gwizhit kwaiik'it gwachoo gwintsii veegoo'aii inlii t'oonchy'aa.Nats'an dinjii khaihkwaii nilii tr'iheehaa ts'ą' shigii Israel gwich'in nąįį ts'ą' k'eedeegwahaadhat t'inchy'aa.’” 
40:2:007:0	Ąįįtł'ęę Herod, dinjii goonzhįį East gwats'an adaa nąįį aanaii ahnyąą ts'ą' gweentak hee goovahkat, nijin dąį' zhit są' gaah'ya' geenjit. 
40:2:008:0	Ąįįtł'ęę t'ee Bethlehem gwats'ą', gooveehił'e' ts'ą' t'agoovahnyąą, “Bethlehem gwats'ą' hohjyaa ts'ą' zhat tr'iinin tsal gwinzii vankǫǫhtii, ąįįtł'ęę vagoh'ąįį ji' shaaneegoondak, ąįįts'ą' shįį chan vats'a' hihshyaa ts'ą' vats'a' khadigihihjyaa.” 
40:2:009-010:0	Ąįįts'ą' t'ee gahaajil, geedaa gwiizhit są' gwehkįį East gaah'in chy'ah chan hee khaneegaa'in, nijin są' gaah'in dąį' łahchy'aa goovaa shroonchy'aa, ts'ą' nijin tr'iinin tsal t'inchy'aa łąą są' dha'aii naanaii. 
40:2:011:0	Zheh nihdeegiinjil ts'ą' nijin Mary ts'ą' tr'iinin tsal haa gaah'in, dąį' k'iizhak nikiigwigwiintthaii ts'ą' khadigigiinjii. K'eiich'i' giiyeenjit khaiinlii, gold, (gwanzhįh tr'ahk'an dąį' gwinzii vagwaatsan) frankincense, ąįįts'ą' gwanzhįh chų' gwinzii vagwaatsan myrrh haa datthak giiyantł'eiinlii.  
40:2:002:1	Jesus ts'ą' Viyehghan Nąįį Haa Gweentak Egypt gwats'ą' Gahaajil
40:2:012:0	Ch'izhii tąįį goo'aii gwats'an, daganahkat gwits'eegahoojil, Vit'eegwijyąhchy'aa gineegiinlyaa k'iighai', Herod vits'eehohjyaa shrǫ' goovahnyąą. 
40:2:013:0	Daganahkat gwits'ee gahoojil ąįįtł'ęę Vit'eegwijyąhchy'aa vizheekat gwich'in, Joseph gineiinlyaa zhit vigwiilkįį ts'ą' jyaa yahnyąą, “Herod, it'ee zhit tr'iinin tsal keegwahąąh'yaa t'inchy'aa, yęhdaa tr'igwihee'yaa geenjit, juk zhat khakeena'ąįį ts'ą' nigii, na'at haa datthak Egypt gwats'ą' hohjyaa, dahthee oonaa neekhwajyaa, nakhwahaihjyaa gwats'ą' datthak zhat dook'įį,” goovahnyąą. 
40:2:014:0	Joseph khakee'ąįį ts'ą' tr'iinin tsal, ts'ą' vahan haa zhat khaa, tǫǫ goo'aii gwiizhit, Egypt gwats'ą' goovahaadlii.  
40:2:003:1	Bethlehem gwizhit, Tr'iinin Tsal Nąįį Datthak Giinghan
40:2:015:0	Ąįįts'ą' Egypt gwigwich'įį, dahthee Herod niheedhaa gwats'ą' datthak.Jii t'ee K'eegwaadhat deenyąą ąįį yeenii Vit'eegwijyąhchy'aa Eenjit Ginkhii geegwaandak gwik'it łi'deegwidlii goodlit geenjit jyaa diinyą', “Shigii, Egypt gwats'an tr'ineeheedyaa geenjit aanaii vaihnyąą.” nyąą. 
40:2:016:0	Nijin Herod zhit dinjii East gwats'an geedaa nąįį giininjigweelzhii łee gwiky'aanjik dąį' łahchy'aa vik'įį goodlit. Bethlehem gwizhit ts'ą' zhit kwaiik'it geelin goodlii zhit datthak tr'iinin tsyaa tsal 2 years old gwats'ą' zhat nilii datthak ęhdaa tr'igwigwehee'aa geenjit jyaa nyąą. Dinjii goonzhįį nąįį 2 years gwahaadhat dąį' jii są' gaah'ya' giiyaagwildak geh'an t'iizhik. 
40:2:017:0	Jyąhts'ą' geh'an Vit'eegwijyąhchy'aa Eenjit Ginkhii Jeremiah deenyąą chy'ah gwik'it łi'deegwidlii goodlit. 
40:2:004:1	Egypt gwats'an K'ineegiidal
40:2:018:0	“Ramah kwaiik'it gwizhit k'eegwiichy'aa t'igwii'in gwigwiitth'ak,gwint'aii tr'igwigwidii ts'ą' tr'itree gwigwiitth'ak,Rachel digii nąįį eenjit gwintł'oo itree,ts'ą' khanarahaayu' geenjit gaa gwiizųų,vigii nąįį ęhdaa tr'igwigwiin'ąįį geh'an.” 
40:2:019:0	King Herod niindhat, ąįįtł'ęę K'eegwaadhat vizheekat gwich'in, Joseph giineiinlyaa zhit ts'ą' niinzhii ts'ą' 
40:2:020:0	jyaa yahnyąą, “Khakeena'ąįį ts'ą' nanahkat Israel, gwits'eehindii, zhit juu tr'iinin ęhdaa tr'igwihee'aa gwik'eegwandaii chy'aa niindhat t'oonchy'aa.” yahnyąą. 
40:2:021:0	Ąįįts'ą' t'ee Joseph khakee'ąįį, ts'ą' zhit tr'iinin ts'ą' vahan haa Israel nahkat gwits'ee goovahaadlii. 
40:2:022:0	Dinjii Archeleus, diti' Herod deek'it, Judea nahkat gwats'ą' k'eedeegwaadhat dhidlit, Joseph giky'aanjik dąį' zhat gwits'ee heedyaa geenjit naajat, ąįįts'ą' gineiinlyaa zhit deehee'yaa varahnyąą, ąįį gwik'it t'iizhik, ąįįts'ą' Galilee nahkat ąįį gwats'ą' haazhii, 
40:2:023:0	ts'ą' kwaiik'it Nazareth gwizhit gweheechy'aa eenjit gwinzii gwiłtsąįį. Ąįį geh'an zhit Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį deeginyąą gwik'it łi'deegwidlii goodlit. Nazareth gwats'an t'inchy'aa geh'an, “Nazarene oohaazhyaa.”
