41:5:001:1	Jesus , Dinjii Vizhit Ch'anky'aa Iizųų Lęįį Tr'iinlii
41:5:001:0	Ąįįtł'ęę van ndųhts'ąįį Gerasa nahkat ąįį zhit k'eegiidal .
41:5:002:0	Nijin Jesus , tr'ihchoh zhit gwats'an deiinzhii dąį' dinjii vizhit ch'anky'aa iizųų ąįį , kii ch'a'an zhit tth'an k'it goodlii gwats'an khaiinzhii ts'ą' yats'ą' tr'iinzhii ,
41:5:003:0	ąįį tth'an k'it gwa'an gwitee gwich'įį ts'ą' juu nąįį datthak ch'iitsii tły'ah haa dineegiiyahchaa googaa khyų' giiyųųntą' .
41:5:004:0	Deegwahtł'oo giiyanli' , ts'ą' giikwai' haa ch'iitsii tły'ah haa dineegiiyahchal , googaa nihk'it ch'iitsii tły'ah łahnaii gwats'an tr'inidik . It'ee shrit nint'aii ts'ąįį k'iizhak giiyahoontą' geenjit gaa gwagwantrii .
41:5:005:0	Tǫǫ ts'ą' drin haa tth'ank'it gwitee , ts'ą' taih tee haa gwa'an neehihdik ts'ą' azhral ts'ą' kii haa datthąį' khadant'ii .
41:5:006:0	Nijin shriit'ąhthee ahaa gwiizhit , Jesus neeł'in dąį' yats'ą' hilgik ts'ą' yats'ą' nikiigwiintthaii ,
41:5:007:0	ts'ą' gwint'aii azhral ts'ą' jyaa nyąą , “ Jesus , Vit'eegwijyąhchy'aa Jiintsii , Vidinji' inlii , deeshahah'yaa eenjit t'ini'in ? Vit'eegwijyąhchy'aa vik'iighai' nadach'ooshakwat t'inyąą khaiinjich'ashǫhthat shrǫ' ! ”
41:5:008:0	Ąįį jyaa nyąą geh'an Jesus jii jyaa nyąą , “ Ch'anky'aa iizųų , jii dinjii vizhit gwats'an khaiinkhaii . ” yahnyąą .
41:5:009:0	Jesus yuahkat , “ Noozhri' doozhii ? ” Ąįį dinjii yidii ginkhe' , “ Shoozhri' Legion ( niveet'ah'in lęįį ) oaazhii , it'ee shrit tr'iinlęįį ts'ąįį jyąhts'ą' diinoozhri' t'oonchy'aa ! ”
41:5:010:0	Ąįį dinjii vizhit ch'anky'aa iizųų kwaii , Jesus ts'ą' gwintł'oo ch'oodigiikwat , “ Dzaa nahkat gwats'an gihłeediihoiinlyaa shrǫ' ! ” yahnyąą .
41:5:011:0	Izhik geeghaih gwa'an taih khyųų pig lęįį kwaii ch'a'aa .
41:5:012:0	Ąįįts'ą' zhit ch'anky'aa iizųų nąįį Jesus eech'oodigiikwat ts'ą' t'iginyąą , “ Pig kwaii ts'ą' tr'iheedaa ts'ą' goozhit direheedhaa . ” ginyąą .
41:5:013:0	Ąįį gwik'it t'igiizhik goots'an gwiłtsąįį , ąįį dinjii ts'an tr'ineegiijil ts'ą' pig kwaii zhit digiindhat . Ąįį pigs naatł'ii 2 , 000 aanchy'aa kwaii datthak taihdik gwats'an van zhit oondaa gahaajil ts'ą' teenagahoonii .
41:5:014:0	Ąįį pigs k'ąąhtii nąįį datthak gihłeegalgihiljil ts'ą' zhat kwaiik'it gwatsal gwitee gwich'įį nąįį ts'ą' zhat gwa'an juu gwanzhįh nahshii gwich'įį nąįį datthak haa gwagwaandak , ts'ą' dinjii nąįį deegwiizhik t'igwinyąą li' geenjit gwagwahąąh'yaa gwats'an gahaajil .
41:5:015:0	Zhat gwa'an dinjii nąįį datthak Jesus ts'ą' gahaajil , ąįį dinjii vizhit ch'anky'aa iizųų lęįį yizhit t'inchy'aa chy'ah , giiyąąh'in , akhai' veenjit gwinzii ts'ą' gwinzii chan niinjich'adhat ts'ą' zhat dhidii , ts'ą' gwach'aa naazhii . Dinjii nąįį datthak gwagwah'in dąį' gąąnjat nagaanaii .
41:5:016:0	Dinjii datthak gwehkįį deegwiizhik gwagwąąh'ya' nąįį , dinjii zhat nijyaa nąįį datthak zhit dinjii ts'ą' pigs haa deegiizhik goovaagwagwaandak .
41:5:017:0	Ąįįts'ą' zhat dinjii nąįį datthak Jesus diinahkat gihłeehindii agahnyąą .
41:5:018:0	It'ee Jesus tr'ihchoh zhit neehidii gwiizhit , ąįį dinjii vizhit ch'anky'aa iizųų tr'iniinlii chy'ah yach'adookwat ts'ą' jyaa nyąą , “ Naa neeshozhi' ” yahnyąą .
41:5:019:0	Gaa Jesus jyaa yahnyąą , “ Nakwaa ! Nizheh gwits'ee hindii ts'ą' nizheh k'ąą nąįį K'eegwaadhat deegwahtł'oo neeshraahchy'aa noonyąą ts'ą' neenjit deezhik datthak goovaagwandak . ”
41:5:002:1	Dinjii Jairus Vigii Nich'it Tsal ąįįts'ą' Tr'injaa Juu Jesus Vagwach'aa Kat Naanjik
41:5:020:0	Ąįįts'ą' , ąįį dinjii Decapolis nahkat gwitee haazhii ts'ą' Jesus yeenjit deezhik datthak geegwaandak . Juu yiitth'ak nąįį datthak łahchy'aa gooveenjit geegagoolii kwaa t'igwiizhik .
41:5:021:0	Nijin Jesus , van ndųhts'ąįį gwits'ee hoozhii dąį' aiizhit van vee gwa'an , dinjii lęįį nąįį yeelin łeeljil .
41:5:022:0	Ąįįtł'ęę nijin Jews' tr'igiinkhii zheh gwizhit gwats'ą' k'eedeegwaadhat ch'ihłee Jairus oozhii zhat k'idik dąį' , Jesus neeł'in gwagwahkhan , yakwai' eeghaii nikiigwiintthaii ts'ą' ,
41:5:023:0	Jesus ts'ą' ch'oodiikwat haa yuahkat , “ Shigii nich'it tsal gwint'aii iłts'ik , Ąįį vakat nahaandal ts'ą' veenjit gwinzii neegwahahtsyaa geenjit shaa hinkhaii ! ” yahnyąą .
41:5:024:0	Ąįįts'ą' Jesus yaa haazhii , dinjii lęįį vaa adaa ts'ąįį nihłehjuk datthak an giiyahtrak .
41:5:025:0	Gootee tr'injaa ch'ihłak niighyuk ( 12 years ) datthak gwintł'oo , dah vats'an an ilii haa khaiinjich'iighit .
41:5:026:0	Dinjii iłts'ik shrinilik nilii nąįį ts'ą' łyaa dalaraa datthak an iłtsąįį , gaa giiyeenjit gwinzii neegwąhtsii kwaa , ąįįts'ą' gwandaa veenjit gwiizųų gwilii .
41:5:027:0	Jesus , eenjit gwiitth'ak ts'ą' dinjii lęįį łeeljil tee gwats'an yant'ii niinzhii ,
41:5:028:0	“ Vagwach'aa kat naaljik ji' gaa sheenjit gwinzii neegweheelyaa gwizhrįh . ” adaa nyąą .
41:5:029:0	Ąįįts'ą' yi'ik kat naanjik , gwagwahkhan vadaa an ilii kwaa nagwaanąįį , veenjit gwinzii neegahoodlit łee dizhit gwats'an idiky'aanjik .
41:5:030:0	Gwagwahkhan dinjii gwanlii tee Jesus vat'aii kwaa nagwaanąįį . Giky'aanjik gwagwahkhan łihts'eediil'ee ts'ą' ch'oahkat , “ Juu shagwach'aa kat naanjik ? ”
41:5:031:0	“ Dinjii neelin gwanlii gwiizhit jaghaii juu nakat naanjik , diinyąą ts'ą' ch'oahkat ? ” vitsyaa nąįį giiyahnyąą .
41:5:032:0	Googaa nihk'it Jesus juu t'iizhik li' geenjit gootee gwąąh'in .
41:5:033:0	Nijin tr'injaa vats'a' deegwiizhit gwiky'aanjik dąį' , najat haa daatrat gwiizhit gaa Jesus eeninzhii ts'ą' , yikwaiichan nikiigwiintthaii ts'ą' łi'deegwidlii haa deegwiizhii datthak yaagwaandak .
41:5:034:0	“ Shichi' , nigwik'iinjigwiighit k'iighai' neenjit gwinzii neegahoodlit ąįįts'ą' nidivee gwiizųų datthak gwinzii neegahoodlit , shigii tsinehdan haa oo'an neehiindii , ” Jesus , yahnyąą .
41:5:035:0	Tth'aii hee ginkhii gwiizhit , Jairus vizheh gwats'ąnh dinjii lat nąįį k'eegiidal ts'ą' Jairus jyaa agahnyąą , “ Nigii nich'it tsal ch'adąį' hee niindhat t'oonchy'aa . Jaghaii ąįį geech'ǫąąhtan vaandeegwiin'ąįį ? ”
41:5:036:0	Gaa Jesus , deeginyąą zhyaa gwiitth'ak ts'ą' Jairus ąįį t'ahnyąą , “ Nanjat kwaa ts'ą' gwik'injiinghit gwizhrįh t'inchy'aa ! ” yahnyąą .
41:5:037:0	Ąįįtł'ęę , Peter , James ts'ą' vachaa John nąįį zhrįh giiyaaheedaa gwiłtsąįį .
41:5:038:0	Nijin Jairus vizheh k'eegiidal dąį' zhat dinjii nąįį gitree , ts'ą' tree'yaa dha'aii gwiizhit gwinzii goovaa goo'aii kwaa , Jesus goovah'in ,
41:5:039:0	ąįįts'ą' nijin nihdeiinzhii dąį' t'agavahnyąą , “ Jaghaii nakhwaa gwinzii goo'aii kwaa , ts'ą' ohtree ? Jii nich'it tsal niindhat kwaa gąą zhyaa dhichįį t'inchy'aa . ” gavahnyąą .
41:5:040:0	Ąįįts'ą' , ąįį zhit zhat , Jesus deenyąą eenjit giiyeedlaa . Ąįįts'ą' datthak cheegoovahaadlii , ts'ą' zhit nich'it tsal , viti' ts'ą' vahan , ts'ą' ditsyaa tik nąįį zhrįh dahaa nihdeiinlii . Ąįįts'ą' nijin nich'it tsal gilt'aii gwats'ą' haazhii ts'ą' ,
41:5:041:0	yanli' oonjik ts'ą' t'iiyahnyąą , “ Talitha Koum ! ” ( Jii t'ee “ Nich'it tsal khakeena'ąįį naihnyąą ! ” gwinyąą t'igwinyąą . )
41:5:042:0	Zhat gwagwahkhan ndak needhijin ts'ą' zhat gwa'an neehidik . ( 12 years old nilii jyaa digwiizhit dąį' . ) Zhat łyaa datthak goovaa nindal gwaazhit .
41:5:043:0	Gaa Jesus t'agavahnyąą , “ Łyaa zhyaa ch'ihłak gaa haa goondak shrǫ' ! Shih yihee'aa , ji' vantł'ohtsit , ” gavahnyąą .
