41:6:001:1	Jesus , Nazareth Kwaiik'it gwizhit Giitr'ii'ee
41:6:001:0	Jesus , ąįį zhit gihłeehoozhii ts'ą' dakwaiik'it gwits'eehoozhii , ts'ą' vitsyaa nąįį yaahaajil .
41:6:002:0	Nijin Neeraazhii Drin zhit nigwiindhat dąį' , Jews tr'igiinkhii zheh gwizhit geech'ǫąąhtan . Dinjii lęįį nąįį giiyiitth'ak dąį' , gooveenjit łyaa geegwaroolii kwaa t'igwinyąą ts'ą' t'iginyąą , “ Nijin gwats'an jii kwaii datthak goonjik t'inyąą ? Jidii gwizhįh dee vantł'eetr'in'ąįį t'inyąą ? Nats'ahts'ą' gwigweech'in t'ii'in t'ii'in ?
41:6:003:0	Dinjii dachan haa gwahtsii nilii ts'ą' Mary vidinji' nilii lee t'inchy'aa ? Ąįįts'ą' James , Joseph , Judas , ts'ą' Simon , nąįį haa datthak oondee nilii lee t'inchy'aa ? Vijuu nąįį chan dzaa gwa'an gwigwich'įį ? ” giiyahnyąą . Jyaa ginyąą ts'ą' giit'injyah'ee ts'ą' giits'į' t'inchy'aa .
41:6:004:0	Jesus t'agoovahnyąą , “ Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii nąįį t'ee nijuk datthak giiyihił'ee gaa danahkat gwizhit valak nilii nąįį , ts'ą' goozhehk'aa nilii nąįį giihił'e' kwaa , gaa ch'adanh gwa'an datthak giihił'ee t'igiinchy'aa . ”
41:6:005:0	Ąįį kwaiik'it gwizhit dinjii nitsya' nąįį zhrįh kat naanjik ts'ą' gooveenjit gwinzii neegahoodlit , gaa giik'injiighit kwaa geh'an gwigwee'in gwinlęįį gootee t'ee'ya' kwaa .
41:6:002:1	Jesus , Ditsyaa 12 Nąįį Nihky'aa Hił'e'
41:6:006:0	Jesus łyaa geegoolii kwaa veenjit t'oonchy'aa , gwik'injigwiighit gii'įį kwaa geh'an . Ąįįtł'ęę Jesus , zhat gwa'an kwaiik'it gwatsal gwitee haazhii ts'ą' Gwandak Nizįį geech'ǫąąhtan .
41:6:007:0	Jesus ditsyaa 12 nąįį khaihłan niinlii ts'ą' neekwaii ginlii ts'ą' nihky'aa goovihił'e' ts'ą' juu vizhit ch'anky'aa iizųų nąįį ts'ą' tr'igiheendal geenjit t'aih goots'an iłtsąįį .
41:6:008:0	Jii łyaa gwik'it t'akhwa'yaa t'anakhwaihnyąą goovahnyąą , “ Nihky'aa hohdaa geenjit , t'oh , ohtsuu , shih , ts'ą' laraa dhah zhit laraa ch'ihłak neehoozhik shrǫ' ,
41:6:009:0	gaa kwaiitryah ts'ą' gweezhak ik noozhii ąįį zhrįh haa hohdaa yuu . ”
41:6:010:0	Ąįįts'ą' chan t'agoovahnyąą , “ Nijin zheh gohch'įį gwizhit gwizhrįh gohch'įį , dahthee gihłeekhwadaa gwats'ą' datthak .
41:6:011:0	Nijin kwaiik'it k'eekhwadal ji' ąįį dinjii nąįį nakhweenjit shoo ginlii kwaa ts'ą' nakhwagoołk'įį kwaa ji' gihłeekhwajyaa ts'ą' nakhwakwai' kat łųh nǫhghat , jyąhts'ą' gwik'iighai' zhit dinjii nąįį gwiizųų t'igiizhit łee gaageheendaii eenjit . ”
41:6:012:0	Ąįįts'ą' t'ee vitsyaa nąįį gahaajil ts'ą' Gwandak Nizįį eech'agǫąąhtan ts'ą' nakhwatr'agwaanduu gwats'an łihts'eedǫǫ'ee googahnyąą .
41:6:003:1	John , Chųų Gwats'an Ąhtsii Geełkhwąįį Dąį'
41:6:013:0	Ch'anky'aa iizųų nilii lęįį nąįį dinjii zhit gwats'an chagahaadlii , ts'ą' iłts'ik lęįį nąįį gaa kat olive ghwai' haa googahtłee , ąįį gwik'iighai' gooveenjit gwinzii neegahoodlit .
41:6:014:0	Izhit zhat dąį' k'eedeegwaadhat choh ( King ) Herod Antipas , jii kwaii eenjit datthak gwiitth'ak , Jesus vagwandak , ąįįts'ą' nats'ahts'ą' dee'ya' datthak , nijuk datthak giiyeeginkhii geh'an . Dinjii lat nąįį , “ John , chųų gwats'an ąhtsii , niindhat gwats'an khakee'ąįį geh'an gwigwee'in geenjit vat'aii gwanlii t'ii'in . ” giiyahnyąą .
41:6:015:0	Goolat nąįį chan googaa nihk'it Elijah Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii t'inchy'aa , ąįįts'ą' ch'izhii nąįį chan yeenaa dąį' gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii ch'ihłak , t'inchy'aa . ” ginyąą .
41:6:016:0	Nijin Herod gwiitth'ak dąį' jyaa nyąą , “ John chųų gwats'an ąhtsii , viki' k'eech'iit'uu gaa neegwiindaii lee t'inchy'aa ! ” goovahnyąą .
41:6:017:0	Herod , dachaa Philip , ąįį va'at Herodias noonjik ąįį jyaa yahnyąą , ąįį geh'an John digiłchaa ts'ą' zheegwaazhrąįį nigiiyąąhchįį gwiłtsąįį .
41:6:018:0	John , chųų gwats'an ąhtsii , ąįį Herod łyaa gwintł'oo khandeegwii'ąįį , “ Nachaa , va'at noodhinjik , ąįį dii-Law łaahnaii t'ini'in ! ” yahnyąą .
41:6:019:0	Ąįį geh'an , Herodias yits'į' t'inchy'aa ts'ą' yęhdaa tr'agoo'aa gwizhrįh yiindhan gaa , khyų' gwik'it t'ii'in .
41:6:020:0	Herod , łyaa John gwiizųų vats'a' t'igweheenjyaa gwits'į' vak'ąąhtii , dinjii nizįį ts'ą' shroodiinyąą nilii yaandaii ts'ą' łahchy'aa yaanjat . Ts'ą' nijin yiitth'ak dąį' łyaa deehee'yaa gaandaii kwaa gaa yuułk'įį geet'indhan .
41:6:021:0	Herodias , John ęhdaa tr'igwihee'aa eenjit vaa gwik'it nagwaanąįį . Herod vagoodlit drin nigwiindhat , ts'ą' vitsyaa kįh dilk'ii nąįį , ts'ą' niveet'ah'in kįh dilk'ii nąįį ts'ą' Galilee nahkat gwats'an kįh giilk'ii nąįį datthak haa ch'ara'aa gwahtsii .
41:6:022:0	Herodias vigii nich'it nihdeiinzhii ts'ą' gooveenjit ch'ildzyaa . Herod ąįįts'ą' zhit juu gooveenjit ch'a'aa gwahtsii , datthak łyaa gwintł'oo shoo iłtsąįį , ts'ąįį King ąįį nich'it t'ahnyąą , “ Jidii shi'įį datthak tee jidii niindhan ? Jidii nindhan datthak nats'an hałtsyaa !
41:6:023:0	Łahchy'aa łi'deegwidlii zhit jidii indhan , nats'an hałtsyaa t'ihnyąą , jidii datthak ts'ą' k'eedeegwaldhat , ąįį teetł'an ji' gaa nats'an hałtsyaa t'ihnyąą ! ” yahnyąą .
41:6:024:0	Ąįįts'ą' t'ee nich'it cheehoozhii ts'ą' dahan oahkat , “ Jidii geenjit ch'oohałkat ? ” dahan ahnyąą . “ Juk zhat John chųų gwats'an ąhtsii ąįį viki' , nihthan diinyąą ! ” vahan yahnyąą .
41:6:025:0	Ąįį nich'it , zhat gwagwahkhan oo'an neehoozhii ts'ą' King , t'ahnyąą . “ Dzaa , juk zhat , John chųų gwats'an ąhtsii , viki' k'ik kat deedhin'ąįį ts'ą' shantł'eiin'ąįį ! ” yahnyąą .
41:6:026:0	Jii deeyahnyąą , King łyaa , geenjit gwintł'oo tr'igwidii , gaa juu nąįį yaa ( potlatch ) ch'a'aa ąhtsii , nąįį andah diginjik gwintł'eiin'ąįį ts'ą' duuyeh deenyąą diginjik akhoonyąą gaandaii ,
41:6:027:0	ts'ą' niveet'ah'in jyaa dahnyąą , juk zhat oo'an hiinkhaii ts'ą' John , viki' oo'ee niin'ąįį . Ąįįts'ą' t'ee niveet'ah'in , zheh gwaazhrąįį gwats'ą' haazhii ts'ą' John viki' k'eech'iint'uu .
41:6:028:0	Ąįįtł'ęę k'ik kat deeyaa'aii ts'ą' nich'it antł'eeyin'ąįį , ts'ą' adan chan dahan antł'eeyiin'ąįį .
41:6:004:1	Jesus , 5 , 000 Nąįį Ach'ah'al
41:6:029:0	Nijin John vitsyaa gwigwiitth'ak dąį' , gwats'ą' gahaajil ts'ą' giich'ichį' goonjik ts'ą' gihłeegahoojil ts'ą' giinąąhjik .
41:6:030:0	Ąįį Tr'ihił'e' nąįį oo'ee neegeejil dąį' nats'ahts'ą' geech'ǫąąhtan , ts'ą' deegee'ya' datthak Jesus haa googwaandak .
