42:2:001:1	Jesus Vagoodlit Dąį'
42:2:001:0	Izhit zhat dąį' k'eedeegwaadhat ch'andaa veegoo'aii Caesar Augustus oaazhii , Rome nahkat datthak gwats'ą' k'eedeegwaadhat . Izhit gwizhit dinjii datthak ts'ą' ginkhe' . Datthak gooteegwagwaanchy'aa ts'ą' goovoozhri' tr'ihideentł'oo , dinjii tr'iheechyaa eenjit .
42:2:002:0	Ch'adanh nahkat Rome gwats'ą' k'eegwaadhat Syria goaazhii dinjii Quirinius oaazhii kįh k'eegwaadhat nilii dąį' , tr'ookit dinjii tr'eechyaa gwaląįį gwiindhat .
42:2:003:0	Goovoozhri' tr'ihideentł'oo eenjit dinjii nąįį tthak daganahkat gwits'eegahoojil .
42:2:004:0	Joseph , Galilee nahkat gwizhit kwaiik'it Nazareth gwats'an Judea nahkat gwizhit Bethlehem kwaiik'it gwats'ą' haazhii . Bethlehem ąįį yeenii King David vakwaiik'it googwahnyąą . Joseph , King David ts'an deedhaa , geh'an Bethlehem gwits'ee hoozhii .
42:2:005:0	Joseph , Mary haa goovoozhri' tr'ihideentł'oo eenjit zhat gwats'ą' gahaa'oo . “ Nihłarooheendal , ” nihłagaiinyą' . Mary nahgwan tr'iinin hee'yaa goo'aii .
42:2:006:0	Bethlehem gaadii gwiizhit vitr'iinin gweheelyaa nigwiindhat .
42:2:002:1	Divii K'ąąhtii Nąįį Zheekat Gwich'in Nąįį haa
42:2:007:0	Chyaatsal nilii vagoodlit , gwehkįį tth'aii tr'iinin di'įį kwaa . Gwach'aa ninjyaa yinǫǫłjik . Ąįįts'ą' aak'ii ch'a'aa dehk'it gwizhit heechyaa eenjit niyąąhchįį . Zheh gwirich'įį datthak gwizhit dinjii gwanlii ts'ą' giveenjit dehk'it gwakwaa , ąįį geh'an aak'ii zheh gwizhit gwigwich'įį .
42:2:008:0	Zhat khaa divii k'ąąhtii nąįį geeghaih gwa'an digidivii k'eegąąhtii .
42:2:009:0	Khan hee Vit'eegwijyąhchy'aa zheekat gwich'in goots'ą' nadhat . Ąįįts'ą' K'eegwaadhat vich'eegwąhndit haa giveelin datthak ch'aadrii . Łyaa datthak gihilghaa ,
42:2:010:0	Gaa zheekat gwich'in goots'ą' khaginkhee . “ Noojat kwaa . Gwandak nizįį nakhwaa gwahaaldak eenjit shi'in . Shroonchy'aa dinjii datthak eenjit gweheelyaa .
42:2:011:0	Juk khaa David vakwaiik'it dinjii nakhwatr'agwaanduu gwats'an neenakhwahahshii vagoodlit , K'eegwaadhat Christ nilii .
42:2:012:0	Aak'ii ch'a'aa dehk'it gwizhit dhichįį , gwach'aa ninjyaa vanoanjik ts'ą' jii kwaii k'iighai' vaakhwandaii . ” goovahnyąą .
42:2:013:0	Jyaa dinyąą gwiizhit khan hee zheekat gwich'in lęįį veeghaii niilzhii nagwaanąįį . Ch'ilik haa Vit'eegwijyąhchy'aa deegihiił'ee ,
42:2:014:0	“ Vit'eegwijyąhchy'aa zheekat gwizhit tr'ihił'ee ts'ą' mahsį' ! Nankat gwizhit dinjii shoo yahtsii nąįį tee tsinehdan gweheelyaa ! ” ginyąą ch'igidlii haa .
42:2:015:0	Ąįįtł'ęę zheekat gwich'in nąįį datthak zheekat gwits'eegahoojil . Divii k'ąąhtii nąįį zheekat gwich'in goołeehoojil tł'ęę nihłaa giginkhii . “ Jii t'igwiizhik K'eegwaadhat deegwiizhik diihaa gwaandak t'igwiizhik , Bethlehem gwats'ą' tr'ahoojyaa ts'ą' deegwiizhik t'igwinyąą gwarǫh'ya' , ” nihłagaanyąą .
42:2:016:0	Khan zhat gwats'ą' gahaajil , tr'iinin kagantii ąįįts'ą' giigwąh'ąįį . Aak'ii ch'a'aa dehk'it gwizhit dhichįį . Mary Joseph haa yeeghaii dhidii .
42:2:017:0	Nijin divii k'ąąhtii nąįį tr'iinin tsal gąąh'in dąį' Mary , Joseph haa zheekat gwich'in tr'iinin tsal eenjit goohaagwaandak geegwaandak .
42:2:018:0	Juu giviitth'ak nąįį datthak łyaa jyaa t'igweheenjyaa giindhan kwaa .
42:2:019:0	Jii datthak Mary ganaandaii ąįįts'ą' khit gwintł'oo gininjich'ahthat . Ąįįtł'ęę chan dinjii lęįį nąįį haa googwaandak .
42:2:003:1	Jesus Giiyoozhri' Iłtsąįį .
42:2:020:0	Ąįįtł'ęę divii k'ąąhtii nąįį nijin gwats'an gahaajil gwits'eegahoojil . Jidii goots'ą' t'igwiizhik ąįį geenjit K'eegwaadhat deegihiił'ee , ch'ilik haa neegeedaa . Nats'ahts'ą' zheekat gwich'in deegweheenjyaa goovahnyąą datthak gwik'it t'igwiizhik .
42:2:004:1	Tr'iinin Jesus Kharigidiinjii Zhee Gwachoo Nigiiyiłchįį
42:2:021:0	Drin nihk'iidǫǫ zhit gwiindhat dąį' it'ee tr'iinin ( tsyaa tsal ) vadhah gihłeegahaht'al nigwiindhat . Jesus giiyuuzhri' iłtsąįį , ąįįt'ee dahan zhit heedyaa gwats'ą' dąį' hee zheekat gwich'in yuuzhri' iłtsąįį .
42:2:022:0	Niighyuk Shroodiinyąą drin gwiinli' ąįį ęhdaa tr'igwiindhat dąį' Dęhtły'aa Choh kat Moses va-law zhit deegwehee'yaa goo'aii gwinyąą , izhit geenjit Mary , Joseph haa oodak Jerusalem gwats'ą' Jesus gihiłchįį , K'eegwaadhat intł'eegiihahchyaa eenjit .
42:2:023:0	Izhit t'ee K'eegwaadhat va-law zhit geenjit gwadanakhwatł'oo , “ Tsyaa tsal tr'ookit vigwilik t'ee K'eegwaadhat ts'ą' narahahchyaa goo'aii . ”
42:2:024:0	Ąįįts'ą' chan dove akwat pigeon dziitsal neekwaii haa gwintł'eegaanjik , ąįįt'ee K'eegwaadhat va-law zhit jyaa deegwehee'yaa goo'aii geh'an .
