43:12:001:1	Mary , Jesus , Gwanzhįh Gwinzii Vagwaatsan Chų' Yakat T'inlik
43:12:001:0	Passover gwats'ą' drin nihk'iitik gwiizhit Jesus , Bethany kwaiik'it gwats'ą' haazhii , izhit Jesus Lazarus niindhat dąį' ineegwahdaii ąįį zhat gwich'įį .
43:12:002:0	Izhit giiyeenjit vikeech'iłchy'aa , ts'ą' Martha yeenach'aahtsit , izhit zhat Lazarus vakat ch'ara'aa ts'ą' yaa dhidii .
43:12:003:0	Ąįįts'ą' Mary ąįį gwanzhįh gwinzii vagwaatsan chų' oonjik ts'ą' Jesus vakwai' kat t'inlik ąįįtł'ęę dikiighai' haa yach'ahjii ąįį yihił'ee geh'an t'iiyah'in . Ąįį vichų' zheh gwizhit datthak neech'iinthaii .
43:12:004:0	Jesus vitsyaa ch'ihłak , Judas Iscariot oaazhii ąįįt'ee gwintł'eeyahahchyaa ąįį jyaa nyąą ,
43:12:005:0	“ Jaghaii jii gwanzhįh chų' $300 . Denarius vit'ii hohłii kwaa ts'ą' neeshraahchy'aa nąįį antł'ohłii kwaa ? ”
43:12:006:0	Neeshraahchy'aa nąįį eenjit niinjich'adhat kwaa gaa ch'an'įį nilii t'inyąą . Laraa dhah neeha'ak ts'ą' yats'an ch'an'įį t'inyąą .
43:12:007:0	Gaa Jesus jyaa nyąą , “ Mary vihłeehiindii ! Shireheetsii drin ji' eenjit yit'eehaahchy'aa t'iiyah'in vaanigwiin'ąįį kwaa !
43:12:002:1	Lazarus Tr'ookhwaa Giindhan
43:12:008:0	Gweedhaa datthak neeshraahchy'aa nąįį gweheelyaa , gaa shįį ąįį khit geenjit nakhwaa hihdyaa kwaa . ”
43:12:009:0	Jews lęįį nąįį Jesus Bethany dhidii gwinyąą gwigwiitth'ak ts'ą' zhat gwats'ą' gahaajil . Jesus eenjit gwizhrįh kwaa gaa Lazarus chan , ąįįt'ee Jesus yineegwahdaii reh .
43:12:010:0	Ąįįts'ą' giinkhih kįh dilk'ii nąįį Lazarus chan gahaahkhwaa eenjit gwigwiłtsąįį .
43:12:003:1	Jesus , Jerusalem Nihdeehahkhaii
43:12:011:0	Deezhik veh'an Jews kįh dilk'ii nąįį akhagoonyąą ts'ą' dinjii lęįį nąįį teehaajil geh'an Jesus k'injigiighit .
43:12:012:0	Ąįįtł'ęę gęhdaa drin dinjii lęįį nąįį Jesus Jerusalem gwats'ą' ahaa gwinyąą gwigwiitth'ak eenjit zhat Passover giilk'ii .
43:12:013:0	Ąįįts'ą' t'ee ts'iivii Palm ąįį vachan kwaii goonjik ts'ą' giidivee haajil , gazhral ts'ą' jyaa ginyąą “ Hosanna ! Juu K'eegwaadhat voozhri' zhit ahaa ąįį Vit'eegwijyąhchy'aa vaa oolį' ! Israel gwi-King Vit'eegwijyąhchy'aa vaa oolį' ! ”
43:12:014:0	Jesus łąįį choh tsal ( Donkey ) agwąh'ąįį kat daandii , Dęhtły'aa Choh zhit jyaa deegwiinyą' gwik'it :
43:12:015:0	“ Zion kwaiik'it gwachoo gwich'in nąįį , noojat shrǫ' ! Et'ee nakhwa-King nakhwats'ą' ahaa , łąįį choh tsal ( Donkey ) kat doodii . ”
43:12:016:0	Vitsyaa nąįį deegwinyąą t'igwinyąą gaagiindaii kwaa . Gaa nijin Jesus neegwiindaii dąį' Vit'eegwijyąhchy'aa vich'eegwąhndit yintł'eiin'ąįį Dęhtły'aa Choh kat jyaa deegwinyąą , ąįįts'ą' giiyeenjit jyaa diizhik gineegaanjik .
43:12:017:0	Lazarus tth'ank'it gwizhit gwats'an Jesus yineegwahdaii dąį' juu andah t'iizhik nąįį deezhik geegoogwaandak .
43:12:018:0	Ąįį geenjit t'ee giits'ą' haajil gwitr'it geegwaroolii kwaa t'iizhik giiyeegwiitth'ak .
43:12:004:1	Greek Gwich'in Nąįį Jesus Tr'ǫǫh'ya' Giiyuunyąą
43:12:019:0	Ąįįts'ą' t'ee Pharisee nąįį jyaa nihłagaanyąą , “ Gooh'in , łyaa gaayiich'arahtsii kwaa ! Gooh'in , jii nahkat datthak giitąįį hijyaa ! ”
43:12:020:0	Juu Jerusalem gwizhit Passover gwats'ą' haajil ts'ą' khadigigeheejyaa eenjit nąįį tee gwa'an Greek nąįį dilk'ii .
43:12:021:0	Philip ts'ą' ( Bethsaida kwaiik'it Galilee nahkat gwats'an ahaa ) nigiinjil ts'ą' jyaa giiyahnyąą , “ Jesus tr'ǫǫh'ya' tr'oonyaa . ”
43:12:022:0	Philip ąįį Andrew ts'ą' haazhii , ts'ą' nihłaa Jesus ts'ą' gahaa'oo ts'ą' Jesus haa googwaandak .
43:12:023:0	Jesus jyaa goovahnyąą , “ Et'ee juk Gwidinji' vich'eegwąhndit vintł'eerehee'aa .
43:12:024:0	Łi'didlii haa nakhwaagwahaldak ! Tł'ooli' tsal naadhak ts'ą' nan zhyaadhak ąįįtł'ęę an ilik gwik'it neet'eehaldhak ts'ą' nihihthaa , an dhidlit ji' , tł'ooli' lęįį vats'an haahshii .
43:12:025:0	Juu dagwandaii zhrįh hił'ee ji' , an heelyaa . Juu dagwandaii hił'ee kwaa ji' khit geenjit gwandaii hee'yaa .
43:12:005:1	Jesus Tr'ahaahkhwaa Geeginkhii
43:12:026:0	Juu sheenjit gwitr'it t'agoh'ya' niindhan ji' shatąįį heekhaa gwizhrįh , shitsyaa heelyaa ts'ą' nijin dhidii shaa heedyaa eenjit . Shiti' , juu shaa t'inchy'aa hił'ee t'inchy'aa . ”
43:12:027:0	“ Et'ee łyaa shidrii zhit tr'igwidii dha'aii gaa reh deehihjyaa gǫ' ? ‘Shiti' , jii kwaii shats'ą' t'agǫǫ'ya' shrǫ' ! ’ Gaa ąįį geenjit dząą gwats'ą' hoiizhii , khaiinjich'ashahadhat gwahaał'yaa eenjit .
