43:2:001:1	Cana gwizhit Nihłeegwarahchįį
43:2:001:0	Galilee nahkat gwizhit Cana kwaiik'it goo'aii , zhat Jesus vahan dhidii , izhit drin tik gwiindhat ąįįtł'ęę zhat nihłeegwirihiłchįį .
43:2:002:0	Ąįįts'ą' Jesus chan ts'ą' ditsyaa nąįį haa geedan chan zhat nihłeegwirihiłchįį aanaii googahnyąą ts'ą' gwats'ą' gahaajil .
43:2:003:0	Nijin jak chų' datthak geenį' dąį' , Jesus vahan t'iiyahnyąą , “ Jak chų' gavaanaanįį . ”
43:2:004:0	“ Ni'ęę , jyaa dini'in shahaiinjyaa kwaa goo'aii t'oonchy'aa . Zhat tth'aii shaa nigwiighit kwaa . ” Jesus yahnyąą .
43:2:005:0	Jesus vahan ąįį juu zhat yeenjit tr'agwah'in nąįį jyaa ahnyąą , “ Deenakhwahnyąą gwik'it t'akhwa'in . ”
43:2:006:0	Izhit geeghaih chųų eenjit kii tyah choh nihk'iitik dhidlii , ( ch'ihłak gaa 20 akwat 30 gallon ootą' ) . Jews nąįį shragoodiinyąą neegeheelyaa eenjit dik'eech'agahtryaa geenjit .
43:2:007:0	Jesus ąįį juu zhat gwitr'it t'agwah'in nąįį t'ahnyąą , “ Jii tyah kwaii chųų vizhit deedoohjyaa . ” Chųų vizhit deedąą'ąį' giiyiłtsąįį .
43:2:008:0	Ąįįtł'ęę jyaa gavahnyąą , “ Et'ee valat khanohjyaa ts'ą' zhit juu gach'ah'aa ąįį vats'ą' hohkaii . ” Giits'ą' yahaakaii ,
43:2:009:0	ts'ą' yaalaii , ąįį chųų t'ee jak chų' dhidlit . Ąįį jak chų' nijin gwats'an t'inchy'aa yaandaii kwaa gaa zhit juu yeetr'agwah'in nąįį gaagiindaii .
43:2:010:0	Ąįį juu veegwarąhchįį jyaa ahnyąą , “ Lęįį nąįį jak chų' ch'andaa nizįį tr'ookit gagahnįį ąįį datthak giinjik ąįįtł'ęę jak chų' daatł'oo kwaa gagahnįį . Gaa nan ąįį ndaagwąą'ąį' dohju' hee jak chų' nizįį juk gąhnįį . ”
43:2:002:1	Jesus , Kharigidiinjii Zheh Gwachoh gwats'ą' Haazhii .
43:2:011:0	Jesus jii tr'ookit gwitr'it gwihil'ee t'iizhik Cana kwaiik'it , Galilee nahkat gwizhit . Izhit t'ee dich'eegwahdrii gwizhrįh nigwiin'ąįį , ts'ą' vitsyaa nąįį giik'iinjiighit .
43:2:012:0	Jii jyaa digwiizhik ąįįtł'ęę Jesus , dahan ditsyaa dachaa nąįį haa Capernaum kwaiik'it gwats'ą' gahaajil ts'ą' zhat drin nitsya' gaak'į' .
43:2:013:0	It'ee khaiinjii Jews nąįį eenjit Passover nigwiindhat ąįįts'ą' Jesus Jerusalem gwats'ą' haazhii .
43:2:014:0	Kharigidiinjii zheh gwachoh gookwantee nihdeegweedii gwizhit dinjii nąįį aak'ii , divii chan ts'ą' chiitsal kwaii t'įį laraa gihilii gwąąh'in , ąįįts'ą' zhit juu ch'adanh gwalaraa ookwat nąįį chan vakaii'aa , ts'ą' dilk'ii nah'in .
43:2:015:0	Ąįįts'ą' zhat gwa'an tły'ah haa viitrii iłtsąįį haa Kharigidiinjii Zheh Gwachoh gwizhit gwats'an divii , aak'ii haa cheehaanzhit ; ąįį ch'adanh gwalaraa ookwat nąįį vakaii'aa ts'ą' giilk'ii izhit vakaii'aa khatąąnahjil ts'ą' goolaraa datthak neiinjil .
43:2:016:0	Ąįį juu dziitsal dove laraa t'įį hilii nąįį jyaa ahnyąą , “ Juk zhat cheegavahohłii ! Jii Shiti' vizheh ch'ookwat zheh goo'įį kwaa ! ”
43:2:017:0	Vitsyaa nąįį Dęhtły'aa Choh kat jii , jyaa digwinyąą gineegaandaii , “ Nizheh gwachoh łyaa tr'ihkhit geenjit yinjiihooł'ee ts'ą' ąįį geenjit shrii tr'igwirehee'aa ! ” gwinyąą .
43:2:018:0	Izhit zhat Jews kįh dilk'ii nąįį jii giiyųąhkat , “ Vit'eegwijyąhchy'aa vats'an ni'in ji' , diinandah geegwaroolii kwaa t'ini'in lee . ”
43:2:019:0	Jesus jyaa gavahnyąą , “ Jii kharigidiinjii zheh an goodlit ji' drin tik ts'ą' ndak nineegwahałtsyaa . ”
43:2:020:0	“ Drin tik ąįįtł'ęę ndak nineegwahahtsyaa ? Jii Kharigidiinjii Zheh Gwachoh łyaa 46 years gwahaadhat ąįįtł'ęę dohju' hee gęhdaa tr'igiinjik t'oonchy'aa ? ” giiyahnyąą .
43:2:021:0	Gaa Jesus ąįį zhit kharigidiinjii zheh geeginkhii dąį' adan ideeginkhii t'inyąą .
43:2:022:0	Nijin niindhat ąįįtł'ęę vineegwiindaii dąį' vitsyaa nąįį jii deenyąą chy'aa giinaandaii . Jesus deiinyą' akwat Dęhtły'aa Choh kat deegwinyąą datthak gwik'iinjigiighit gaadlit .
43:2:023:0	Passover ch'ara'aa gwizhit ( Jesus Jerusalem dhidii ) gweedhaa dąį' , geegwaroolii kwaa gwinlęįį t'iizhik giiyąąh'ya' ts'ą' giik'iinjiighit .
43:2:024:0	Gaa Jesus gootr'oahnyąą , dinjii datthak goovaandaii geh'an .
43:2:025:0	Dinjii eevaaragwaandak gwat'aahchy'aa kwaa ch'adąį' hee goodrii zhit t'oonchy'aa gavaandaii .
