44:14:001:1	Nijin Paul ts'ą' Barnabas Haa Iconium Gaadii Dąį'
44:14:001:0	Nijin Iconium kwaiik'it k'eegii'oo dąį' , nats'ąą kwaiik'it Antioch deegwiizhik ąįį chan gwik'it t'igwiizhik . Paul ts'ą' Barnabas haa Jews tr'igiinkhii zheh gwats'ą' gahaa'oo . Zhat Jews lęįį nąįį ts'ą' Jews nilįį kwaa lęįį nąįį Gwandak Nizįį eech'oogwahtan , ts'ą' lęįį nąįį Jesus k'injigiighit gaadlit .
44:14:002:0	Gąą Jews Jesus k'injigiighit nilįį kwaa nąįį Jews nilįį kwaa nąįį Jesus k'injigiighit nąįį eenjit gwiizųų ninjich'igiheedhat googiłtsąįį .
44:14:003:0	Łyaa ninghyuk Paul ts'ą' Barnabas haa zhat t'iginchy'aa . Gąąnjat kwaa haa K'eegwaadhat Jesus eegwagwaandak . Gwigwee'in ts'ą' nindal gwaahchy'aa t'igihee'yaa eenjit t'aih goots'an iłtsąįį . Jyąhts'ą' dinjii nąįį gaageheendaii eenjit Vit'eegwijyąhchy'aa khit Paul ts'ą' Barnabas haa shoo nilįį , giich'eegoonzhrįį łi'deegwidlii nilįį eegwagwahaandak eenjit .
44:14:004:0	Gąą ąįį kwaiik'it gwachoh gwizhit dinjii datthak nihk'it ninjich'agadhat kwaa . Goolat nąįį Jews nąįį ts'ąįį niilzhii . Ąįįts'ą' goolat nąįį Paul ts'ą' Barnabas haa ts'ąįį nigiilzhii .
44:14:005:0	Ąįįtł'ęę Jews nąįį , k'eedeegwaadhat nilįį nąįį , Jews nilįį kwaa nąįį haa nihłaa gwinzii gwigwiltsąįį . Paul ts'ą' Barnabas haa khaiinjich'agoorohthat googoonyąą ąįįts'ą' kii haa goorookit giindhan .
44:14:006:0	Gąą nijin Paul ts'ą' Barnabas haa gwigwiitth'ak dąį' , zhat khan gihłeegahoo'oo . Ąįįts'ą' Lycaonia nahkat gwizhit , Lystra kwaiik'it , ts'ą' Derbe kwaiik'it , ąįįts'ą' zhat kwaiik'it goodlii gwa'an k'eegaa'oo .
44:14:002:1	Nijin Paul ts'ą' Barnabas Lystra Kwaiik'it Gaadii Dąį'
44:14:007:0	Izhik zhat gwa'an Gwandak Nizįį eenjit dinjii haa gwagwaandak .
44:14:008:0	Lystra kwaiik'it gwizhit dinjii vagoodlit dąį' gwats'an neehidik kwaa nilįį dhidii , vatth'an ts'ik ahchįį nilįį haa iłts'ik .
44:14:009:0	Paul ginkhii dąį' , zhat dhidii ts'ą' oołk'įį . Paul ąįį dinjii gwik'injiindhat ts'ą' Vit'eegwijyąhchy'aa khan shreeyeheelyaa yaandaii , Paul yindee ts'ą' gwinzii yąąh'in .
44:14:010:0	Ąįįtł'ęę yineeshraadiintrat , “ K'iidak nindhat , ts'ą' k'iidak k'igwąą'ee nindhat . ” Paul yahnyąą . Ąįįtł'ęę googwahkhan k'iidak k'igwąą'ee nadhat naanaii ts'ą' zhat gwa'an neehaatłat ts'ą' neehidik .
44:14:011:0	Nijin dinjii lęįį nąįį Paul ąįį dinjii eenjit jyaa dee'ya' googwąąh'in dąį' , Lycaonia gwich'in nąįį digiginjik ky'aa gwint'aii gazhral nagaanaii , “ Diivit'eegwijyąhchy'aa neekwąįį nąįį dinjii gaadlit . Ąįįts'ą' nankak oodaa diits'ą' nigiinjil ! ” ginyąą ts'ą' gazhral .
44:14:012:0	Barnabas ąįį goovit'eegwijyąhchy'aa Zeus oozhii ky'aa giiyoozhrii . Paul chan goovit'eegwijyąhchy'aa ch'ihłee Hermes oozhii ky'aa giiyoozhrii , Hermes gwintł'oo ginkhii , k'it t'inyąą geh'an .
44:14:013:0	Kwaiik'it khaiinjii angwąą'ąį' gwa'an kharigidiinjii zheh gwigwił'ąįį , ąįį gwizhit goovit'eegwijyąhchy'aa Zeus oozhii ts'ą' khagigidiinjii . Izhik gwats'an ataiinjii ąhtsii aak'ii ch'izhir vighin ch'at'an nihłehts'į' t'inchy'aa haa łihts'eetły'aat'aii , nijin Paul ts'ą' Barnabas haa nagadhat gwats'ą' nagąąhchįį . Dinjii ąįįts'ą' ataiinjii ąhtsii nąįį haa , ąįį aak'ii giihaahkhwaa ąįįts'ą' Paul ts'ą' Barnabas haa eenjit ataiinjii giihahtsyaa , giindhan . “ Łyaa diivit'eegwijyąhchy'aa t'iginchy'aa ! ” googoonyąą geh'an .
44:14:014:0	Nijin Paul ts'ą' Barnabas deegihee'yaa t'igii'in gook'igaanjik dąį' , dagwagwach'aa' k'at t'igilch'aa , ts'ą' dinjii tł'an gazhral haa nihgaagik .
44:14:015:0	“ Jyaa dakhwa'in kwaa ! ” googahnyąą . “ Diikhwan t'ee nakhwak'it dzaa nankak gwidinjii tr'inlii t'oonchy'aa . Ąįįts'ą' jii gogoonlii kwaa t'akhwa'in . Ąįį gwik'it t'ahokhwa'yaa kwaa , ts'ą' Vit'eegwijyąhchy'aa khit gwandaii nilįį , ąįįtł'ęę gwahoolyaa geenjit Gwandak Nizįį eenakhwarahtan t'igwinyąą , Vit'eegwijyąhchy'aa zhee , nan , chųų choh datthak k'eegwiichy'aa gwinlęįį gwiłtsąįį .
44:14:016:0	Ninghit dąį' gwanaa nijin dinjii nąįį nats'ahts'ą' goiihndaii , yiindhan gwik'it gwagwandaii , googaa Vit'eegwijyąhchy'aa gogwąąhshii kwaa .
44:14:017:0	Gaa Vit'eegwijyąhchy'aa ąįį dinjii ts'ą' gwigweełkįį , k'eegwiichy'aa gwinzii t'ii'in geenjit , tsin chan diits'an ąhtsii . Nan kat gwanzhįh , tr'ihee'aa eenjit hąąhshii chan diineenjit gwiłtsąįį . Datthak chan shih lęįį diits'an ąhtsii . Ąįį tr'a'aa haa diidrii zhit shoo tr'inlii . ” Paul ts'ą' Barnabas haa googahnyąą .
44:14:018:0	Gąą nijin jyaa diginyąą dąį' googaa nihk'it aak'ii goots'ą' ataiinjii tr'ohtsyaa , giindhan . Łyaa khyų' gwik'it t'igii'in kwaa googahtsii .
44:14:019:0	Jews lat nąįį Pisidia nahkat gwizhit Antioch kwaiik'it gwachoh ts'ą' Iconium kwaiik'it haa gwats'an zhat dilk'ii , ąįį nąįį dinjii lęįį goots'ąįį niinjil . Paul kii haa gook'it ts'ą' gaa tr'igiiyąhdaii , ąįįtł'ęę kwaiik'it geh'at gwa'an chegiiyeenluu , niindhat giiyuunyąą geh'an zhat gwa'an akhagiiyuunyąą .
44:14:003:1	Paul ts'ą' Barnabas Haa Syria Nankak gwizhit Antioch Kwaiik'it Gwits'ee Goohoo'oo
44:14:020:0	Gąą juu Jesus k'injigiighit nąįį nijin t'inchy'aa izhik k'eegiidal ts'ą' giiyeelin neelzhii , gwiizhit ninehjin , ts'ą' k'iinjik kwaiik'it gwizhit nihdineezhii . Ąįįtł'ęę gęhdaa drin Barnabas haa Derbe kwaiik'it gwats'ą' gahaa'oo .
44:14:021:0	Paul ts'ą' Barnabas haa Derbe kwaiik'it gwizhit dinjii lęįį nąįį ts'ą' Gwandak Nizįį eech'oogwahtan , ts'ą' dinjii lęįį nąįį gwik'injigiighit gaadlit . Ąįįtł'ęę kwaiik'it Lystra , ts'ą' Iconium , ts'ą' Pisidia nahkat gwizhit Antioch kwaiik'it gwachoh gwits'ee gahaa'oo .
44:14:022:0	Łyaa juu Jesus k'injigiighit nąįį t'aih googwahtsii . “ Ts'ą' gweedhaa datthak gwik'injigiighit ji' , łyaa gwinzii . Gąą tr'ookit łyaa gwinlęįį khaiinjich'ihiidhat . Ąįįtł'ęę gwizhrįh , nijin Vit'eegwijyąhchy'aa k'eedeegwahaadhat tr'agwahaah'yaa . ” Paul ts'ą' Barnabas haa googahnyąą .
44:14:023:0	Ąįį gah an-nihłik kwaiik'it gwa'an tr'igiinkhii zheh gwizhit juu dinjii Jesus k'injiighit nąįį ch'anjaa k'eedeegwaadhat heelyaa nąįį agwagweełkįį . Łyaa gwint'aii khagigiheejyaa geenjit ch'ihłee adach'agaa'aa kwaa gwagwahtsii . Vit'eegwijyąhchy'aa antł'eegooginlii , łi'deegwidlii haa giit'injyahchy'aa geenjit .
44:14:024:0	Ąįįtł'ęę Pisidia nahkat gwa'an k'eegaa'oo . Ąįįtł'ęę Pamphylia nahkat k'eegii'oo .
44:14:025:0	Izhik Perga kwaiik'it gwachoh gwizhit chan Gwandak Nizįį eegwagwaandak . Ąįįtł'ęę Attalia kwaiik'it gwats'ą' gahaa'oo .
