52:1:001:1	Thessalonian Nąįį Nats'ahts'ą' Gwik'injigwiighit Zhit Gwigweheendaii
52:1:001:0	Shįį Paul ts'ą' Silas , Timothy nąįį haa Thessalonica kwaiik'it gwachoo gwizhit juu tr'igiinkhii zheh gwizhit gwik'injiighit nąįį nakhwats'ą' ch'adaraantł'oo . Nakhwan juu Vit'eegwijyąhchy'aa , Gwiti' , ts'ą' K'eegwaadhat Jesus Christ k'injiighit nąįį tsinehdan ts'ą' vich'eegoonzhrii haa nakhwats'an oolį' .
52:1:002:0	Gweedhaa datthak nakhweenjit khadigiriinjii ts'ą' Vit'eegwijyąhchy'aa mahsį' varahnyąą .
52:1:003:0	Nijin kharigidiinjii dąį' Vit'eegwijyąhchy'aa Gwiti' vats'a' nakhwaneegwaandaii , nats'ahts'ą' nakhwagwik'injigwiighit niint'aii oh'įį ts'ą' nakhwach'eet'igwiiniindhan zhit gwiint'aii gwitr'it t'agoh'in ts'ą' K'eegwaadhat Jesus Christ deehee'yaa nyąą ąįį gwik'it t'ihee'yaa vaakhwandaii ąįį gwint'aii gǫhtą' .
52:1:004:0	Diijyaa nąįį , Vit'eegwijyąhchy'aa nakhweet'iindhan gaagwiindaii , ąįį geh'an gwitee tr'anakhweiinlii vats'an hohłyaa geenjit .
52:1:005:0	Nijin Gwandak Nizįį nakhwantł'eeriin'ąįį dąį' ginjik zhrįh haa t'igwiizhik kwaa gaa , Vit'eegwijyąhchy'aa vat'aii ts'ą' Ch'anky'aa Shroodiinyąą zhit ts'ą' łi'didlii haa t'igwinyąą gaakhwandaii . Nijin nakhwaa t'igwinchy'aa dąį' nats'ąą gwarandaii diinoh'in ąįįt'ee gwahoh'yaa geenjit t'igwiizhit t'oonchy'aa .
52:1:006:0	Ąįįts'ą' K'eegwaadhat ts'ą' diikhwan haa diit'aii khadhoojil , Ch'anky'aa Shroodiinyąą ts'an Gwandak Nizįį ąįį deegwahtł'oo gwik'injiighit kwaa nąįį khaiinjich'anakhwagahkhit gaa nihk'it shoo ǫhłįį haa oodhoojik .
52:1:007:0	Ąįį gwik'it Macedonia ts'ą' Achaia ( Greece ) nahkat gwizhit gwik'injiighit nąįį nakhwak'it t'igihee'yaa jyaa dakhwazhit geh'an .
52:1:008:0	Macedonia ts'ą' Achaia nahkat gwa'an datthak nakhwats'an K'eegwaadhat Jesus Christ Vagwandak Nizįį giitth'ak , ąįį zhrįh nakhwaa gaa deegwahtł'oo Vit'eegwijyąhchy'aa vik'injuhkhit ąįį nahkat gweelin datthak gwigwiitth'ak ts'ą' gah geenjit t'igweheenjyaa gwakwaa .
52:1:009:0	Nakhweenaraajil dąį' izhit gwa'an dinjii nąįį datthak nats'ahts'ą' diik'oht'į' gwintł'oo geegiginkhii , ts'ą' nats'ahts'ą' ch'ik'itiltsį' k'injuhkhit gwats'ą' Vit'eegwijyąhchy'aa łi'didlii ts'ą' khit gwaandaii nilii k'injuhkhit dhoodlit chan gwintł'oo geegiginkhii .
52:1:010:0	Ąįįts'ą' Gwidinji' zheekat gwats'an nineeheedyaa geenjit nagwadhoo'in ąįį Gwidinji' t'ee Jesus niindhat gwats'ąnh chan Vit'eegwijyąhchy'aa yineegwiłdaii ts'ą' vik'iighai' ch'aroahkat drin zhit ji' Vit'eegwijyąhchy'aa zhyaants'įį gwarahąąh'yaa kwaa .
