54:4:001:1	Oots'it Haa , Geech'ǫąąhtan Nąįį
54:4:001:0	Khaiinkǫǫ drin zhit ji' , dinjii lat nąįį gwik'iinjigiighit ąįįtł'ęę akhagagooheenjyaa gwinyąą ąįįt'ee Ch'anky'aa Shroodiinyąą gwinzii gwizhrįh nigwiin'ąįį ts'ą' geeginkhe' . Ch'anky'aa oots'it ąįį zhit neegeheedaa ts'ą' ch'anky'aa iizųų ąįį k'iinjigiheedhaa .
54:4:002:0	Gwik'iinjiighit adaa'įį ts'ą' oots'it nąįį ts'an tr'idigweheedhaa , ąįįts'ą' gooyinji' iłchįį , ch'iitsii niindhaa haa dhik'in gwik'it .
54:4:003:0	Ąįį k'it t'inchy'aa dinjii veegwarąhchįį chan ts'ą' shih lat tr'ihee'aa gwiizųų ginyąą . Gaa Vit'eegwijyąhchy'aa shih tr'ihee'aa eenjit yiłtsąįį , yak'aa khadigeedi' ts'ą' yeenjit mahsį' diinyą' , ąįį juu gwik'iinjigweeghit di'įį ts'ą' łi'didlii haandaii nąįį yihee'aa eenjit .
54:4:004:0	Jidii Vit'eegwijyąhchy'aa yiłtsąįį datthak nizįį , ch'ihłak gaa duuyeh itr'igwii'ee , gaa datthak geenjit mahsį' gweheenjyaa ts'ą' khadigireheejyaa .
54:4:002:1	Christ Jesus Vitsyaa Nizįį
54:4:005:0	Vit'eegwijyąhchy'aa viginjik chan ts'ą' khadigiriinjii haa nihłaa shroodiinyąą ilik .
54:4:006:0	Nachaa nąįį jii deeni'in naihnyąą datthak gwik'it t'ini'in ji' łyaa Christ Jesus vitsyaa nizįį hinlyaa , gwik'iinjigwiighit ginjik eenjit adagwan'ee ts'ą' Gwandak Nizįį chan khit ts'ą' gwinzii eech'ǫąąhtan gwantą' gwik'it .
54:4:007:0	Gaa Vit'eegwijyąhchy'aa vinehts'į' gwandak ginilih kwaa kwaii ts'į' adak'ǫǫntii . Vit'eegwijyąhchy'aa vik'it gwihiindaii ąįį khit gwik'it t'iinchy'aa .
54:4:008:0	Gwitr'it haa nat'aii gwahtsii ąįį gwinzii gaa Vit'eegwijyąhchy'aa doo'ya' diinoonyąą ąįį gwik'it t'igwii'in ąįįt'ee łyaa khit ts'ą' gwinzii , ąįįt'ee juk gwarandaii akwat yeendaa gwireheendaii gwizhit deeshi'yaa nyąą gwik'it t'iizhik .
54:4:009:0	Jii jyaa digwinyąą t'ee łyaa łi'deegwidlii vik'injireheedaa goo'aii ts'ą' vit'injigwarahaahchy'aa .
54:4:010:0	Ąįį geh'an t'ee gwitr'it gogwantrii datthak geenjit gwat'aii gwitr'it t'agwarah'in . Vit'eegwijyąhchy'aa khit gwandaii deehee'yaa nyąą ąįį gwik'it t'ihee'yaa ąįį gwaroontą' , ąįįt'ee dinjii datthak nahshii . Ąįį juu yit'injyaahchy'aa nąįį ch'andaa gwik'iinjiighit .
54:4:011:0	Jii kwaii jyaa dohnyąą ts'ą' veech'ǫąąhtan .
54:4:012:0	K'eejit inlii geenjit nich'itsaroo'e' shrǫ' , gaa nats'ąą ginkhii , deeni'in , nich'eet'igwiniindhan , nigwik'iinjigwiighit akwat nigwitr'it gwiizųų gwakwaa kwaii haa datthak gwik'iinjiighit nąįį nik'it giheedaa eenjit geegoovąąhtan .
54:4:013:0	K'ineehihdik gwats'ą' tr'igiinkhii zheh gwizhit k'iinaa Dęhtły'aa Choh kat ginkhii ąįį nihk'it ginkhii inlii ts'ą' geech'ǫąąhtan .
54:4:014:0	Ch'anjaa gwik'injiighit kįh dilk'ii nąįį tr'igiinkhii zheh gwizhit nakat nagaanjik dąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii Nąįį ąįį Vit'eegwijyąhchy'aa vik'iighai' nintł'eegwin'ąįį łyaa vat'ąąhchy'aa .
54:4:015:0	Gwintł'oo jii kwaii datthak khit ts'ą' t'ini'in ts'ą' juu nąįį datthak gwinzii naageheendaii eenjit .
54:4:016:0	Adak'ąąntii ts'ą' jidii eenjit geech'ǫąąhtan ąįį gwinzii gwak'ąąhtii . Khit ts'ą' jii kwaii datthak t'ini'in , jyaa deeni'in ji' neehįįnzhii ts'ą' juu noołk'įį nąįį datthak chan neeheezhii t'oonchy'aa .
