66:14:001:1	Divii Gii ts'ą' Dinjii Yik'injiighit Nąįį
66:14:001:0	Ąįįtł'ęę chan gwał'ya' akhai' Mount Zion kat Divii Gii tsal nadhat nał'in ; dinjii 144 , 000 aanchy'aa nąįį goovants'at kat voozhri' ts'ą' Viti' voozhri' haa danakhwatł'oo nąįį yaaneelzhii .
66:14:002:0	ts'ą' zheekat gwats'an gwideezhuh dihtth'ak ddhah ts'an chųų gwint'aii haiinlaii k'it hahchik , nahtan gwint'aii hahchik k'it hahchik . Dinjii nąįį , harps haa ch'ilik gahtsii k'it t'igwinyąą .
66:14:003:0	Dinjii 144 , 000 nąįį , Vit'eegwijyąhchy'aa ts'ą' gwandaii dǫǫ ( 4 ) Vit'eegwijyąhchy'aa iłtsąįį kwaii , ts'ą' ch'anjaa kįh dilk'ii 24 nąįį k'eedeegwaadhat ts'ą' yakat doodii ęhdaa nigeelzhii . Jii dinjii 144 , 000 nąįį ch'ilik k'eejit igiilii , geedan zhrįh giiyaandaii reh . Dzaa nankat gwidinji' tee gwats'an geedan zhrįh Vit'eegwijyąhchy'aa gooveenjit goiinkwat t'iginchy'aa .
66:14:004:0	Jii dinjii nąįį t'ee tr'injaa haa gaachįį kwaa ts'ą' shroodiinyąą ginlii ; ch'ihłok gaa tr'injaa haa ginchi' kwaa . Divii gii nijuk ahaa gwizhrįh tąįį neegihiidal . Jii dinjii nąįį tee gwats'an Vit'eegwijyąhchy'aa goovoonjik , ts'ą' geedan t'ee tr'ookit Vit'eegwijyąhchy'aa ts'ą' Divii Gii haa ts'an giheelyaa . Gwanzhįh tr'ookit tr'eełshįį khaihłan niriinlii ts'ą' Vit'eegwijyąhchy'aa vats'a' ataiinjii tr'iłtsąįį k'it t'iginchy'aa .
66:14:002:1	Zheekat Gwich'in tik ( 3 ) Nąįį .
66:14:005:0	Ch'ihłok gaa goots'it ts'ą' goovaagwiindaii kwaa ; łyaa zhyaa gootr'agwaanduu gwakwaa t'iginchy'aa .
66:14:006:0	Ąįįtł'ęę chan hee ch'izhii zheekat gwich'in oodak zheetii neehiniit'ee nał'in , dzaa nankat gwidinji' nihłehjuk t'iichy'aa nąįį datthak , nahkat gwidinji' , ts'ą' dinjii neezheeneedijii ts'ą' ginjik nihłehjuk t'iichy'aa nąįį datthak ts'ą' Gwandak Nizįį ndaanąą'ąį' kwaa eegwagwahaandak geenjit .
66:14:007:0	Gwideezhuh zhit gwint'aii jyaa nyąą ; “ Vit'eegwijyąhchy'aa deehoh'ee ts'ą' jiintsii geenjit deehoh'ee ! It'ee dinjii nąįį oohaahkat geenjit nigwiindhat . Juu zheezhit , nankat , chųų choo , ts'ą' nan zhit gwats'an chųų khaiinlaii gwałtsąįį ąįį deekhadhoo'ee ! ”
66:14:008:0	Jii zheekat gwich'in second ( 2nd ) ąįį tr'ookit zheekat gwich'in tąįį ahaa ts'ą' jyaa nyąą ; “ It'ee tr'injaa neet'aanąįį ! Babylon kwaiik'it gwachoo gwiintsii it'ee needagwaanaii ! Dinjii nąįį datthak giijak chų' dinįį ąhtsii : ąįį tr'injaa vik'it ch'igiinįį dąį' tr'agwaanduu deegoo'ya' giindhan datthak gwik'it t'igii'in ! ”
66:14:009:0	Zheekat Gwich'in third ( 3rd ) ąįį zhit vęhdaa neekwaii nąįį tąįį ahaa ts'ą' gwint'aii jyaa nyąą ; “ Zhit juu nin iizųų ch'atthąįįn choh deehił'ee ts'ą' yik'itiltsį' chan hił'ee ts'ą' dagants'at akwat daganli' kat ch'atthąįįn k'it gwakhwagwat nąįį ,
66:14:010:0	geedan t'ee Vit'eegwijyąhchy'aa khaiinjich'agoohahthat , łyaa gwintł'oo zhyaants'įį gwik'it . Juu jyaa diizhit nąįį datthak kǫ' ts'ą' sulfur zhit giheek'an haa gwintł'oo khaiinjich'igiheeghit ts'ą' zheekat gwich'in shroodiinyąą nąįį ts'ą' Divii Gii haa goovandah .
66:14:011:0	Kǫ' ts'an łat haa khaiinjich'igiighit ąįį khit ts'ą' khit geenjit k'iidak t'ii'in . Drin , tǫǫ haa juu nin iizųų ch'atthąįįn choh ts'ą' vik'itiltsį' hił'ee ts'ą' giiyoozhri' haa gookat gwahohgwat nąįį gooveenjit gideegehee'al gwakwaa . ”
66:14:012:0	Jii datthak jyaa digwinyąą t'igwinyąą , dinjii nąįį juu Vit'eegwijyąhchy'aa deegwehee'yaa goo'aii diinahnyąą ąįį gwik'it t'igwii'in ts'ą' tseenjyaa Jesus k'injiighit t'ee dinjii halchi' kwaa heelyaa gwizhrįh . Geedan t'ee Vit'eegwijyąhchy'aa vigii ginlii t'iginchy'aa .
66:14:003:1	Vit'eegwijyąhchy'aa Ch'oohahkat T'ee Gwanzhįh Khaihłan Nirilii K'it T'oonchy'aa
