66:3:001:1	Sardis Kwaiik'it Gwachoo Eenjit Danakhwatł'oo
66:3:001:0	“ Sardis kwaiik'it gwachoo gwizhit tr'igiinkhii zheh gwizheekat gwich'in eenjit danakhwatł'oo , Jii ginjik t'ee zhit juu Vit'eegwijyąhchy'aa vats'an ch'anky'aa 7 di'įį ts'ą' są' 7 ts'an t'inchy'aa . Deekhwa'in nakhwaashandaii ; łyaa shik'injuhkhit k'it t'akhwa'in gaa sheenjit gwitr'it t'agoh'in kwaa .
66:3:002:0	Khakeekhwa'ąįį ts'ą' nakhwagwik'injigwiighit an heelyaa gwehkįį niint'aii nohtsii . Ąįį deekhwa'ya' , Vit'eegwijyąhchy'aa vandee ts'ą' gęhdaa tr'oojik kwaa t'oonchy'aa .
66:3:003:0	Jidii geenakhwaroołtin ts'ą' gohtth'ak kwaii datthak gaanoondaii ; ąįį gwik'eegahohthat ts'ą' nakhwatr'agwaanduu ts'an an-needǫǫ'ee . Jii gwats'ą' khakeekhwa'ąįį kwaa ji' , dinjii ch'iheen'įį geenjit neech'ahaan'ik gwik'it nakhwaneech'ahal'yaa ts'ą' ąįį nijin ji' t'ishi'yaa gaakhwandaii kwaa t'oonchy'aa .
66:3:004:0	“ Gaa Sardis kwaiik'it gwachoo gwizhit , nakhwalat nąįį zhrįh nakhwagwach'aa daagąįį oh'įį , tr'agwaanduu nakhwagwitr'it gwanlii kwaa geh'an . Ąįį nakhwagwach'aa daagąįį haa shaa oh'al , jyaa dagwahtł'oo nakhweegoo'aii geh'an .
66:3:005:0	Zhit juu gwik'injiighit zhit gaiiyiigwiłtsąįį nąįį t'ee gwach'aa daagąįį shroodiinyąą nahaazhyaa , ts'ą' duuyeh dęhtły'aa zhit khit gwandaii ndaanąą'ąį' kwaa gihee'yaa geenjit goovoozhri' danakhwatł'oo ts'an goovoozhri' gihłeehih'ąįį . Shiti' ts'ą' vizheekat gwich'in nąįį andah shats'an giinlii goovahaihjyaa t'oonchy'aa .
66:3:002:1	Philadelphia Kwaiik'it Gwachoo Eenjit Danakhwatł'oo
66:3:006:0	“ Nakhwadzee gwanlii ji' jii Ch'anky'aa Shroodiinyąą ąįį tr'igiinkhii zheh nąįį dahnyąą gwadǫǫhk'ii ! ”
66:3:007:0	“ Philadelphia kwaiik'it gwachoo gwizhit tr'igiinkhii zheh gwizheekat gwich'in eenjit danakhwatł'oo : Jii ginjik t'ee zhit juu shroodiinyąą ts'ą' łi'didlii nilii ąįį vats'an t'inchy'aa . Yeenii King David vilidlii khalzhii , ts'ą' nijin gindeiinvyaa gich'idiintin ji' duuyeh ch'ihłee gaa anganahjii , ts'ą' nijin anganahjik ji' , duuyeh ch'ihłee gaa geech'adanchįį .
66:3:008:0	Deekhwa'in nakhwaashandaii ; t'aih natsal zhrįh akhwa'įį , jidii geenakhwaltan k'it gǫhdaii ts'ą' shaakhwandaii kwaa chan dohnyąą kwaa nakhwaashandaii . Gindeiinvyaa nakhwandah gehdeiintin , ąįį ch'ihłee gaa duuyeh anyinahjii reh .
66:3:009:0	Ch'oodǫǫhk'įį ! Ąįį dinjii lęįį khaihłok Satan eenjit gwitr'it t'agwagwah'in t'iginchy'aa . Goots'it haa Jews tr'inlii ginyąą gaa Jews ginlii kwaa t'iginyąą , nakhwats'ą' nagoohihłyaa ts'ą' nakhwakwaiichan nihkiinagwagwahah'aa goohałtsyaa . Datthak ts'ą' neet'iihthan gaageheendaii .
66:3:010:0	Deekhwa'in nakhwaihnyąą gwik'it t'akhwa'in geh'an jii gwigweheetrii nagwahaadhal ąįį gwits'į' nakhwak'eehaałtyaa . Jii t'ee dzaa nankat gwidinji' datthak gwahah'yaa , datr'agwaanduu ts'an łihts'eedagahaa'ee ji' geenjit .
66:3:011:0	“ Niighit kwaa nineehihdyaa t'oonchy'aa , ts'ą' nakhwagwik'injigwiighit gwint'aii ohtą' , nakhwagwik'injigwiighit zhit gaiiyiidhohtsąįį nakhwats'į' tr'ooheendal gwits'į' gwak'ǫǫhtii .
66:3:012:0	Juu gwik'injigwiighit zhit gaiiyiigwiłtsąįį nąįį Shivit'eegwijyąhchy'aa Vakharigidiinjii Zheh dachan ndak gootą' k'it t'igiinchy'aa goohałtsyaa ts'ą' duuyeh gihłeegihijyaa . Gookat Shivit'eegwijyąhchy'aa voozhri' dihihtł'oo ts'ą' Shivit'eegwijyąhchy'aa vakwaiik'it goozhri' chan gookat dihihtł'oo , ąįįt'ee Jerusalem kwaiik'it gwachoo k'eejit , jii t'ee zheekat gwats'an Shivit'eegwijyąhchy'aa vats'a' oodaa gweheenjyaa . Shoozhri' k'eejit chan gookat dihihtł'oo .
66:3:003:1	Laodicea Kwaiik'it Gwachoo Eenjit Danakhwatł'oo
66:3:013:0	“ Nakhwadzee gwanlii ji' , Ch'anky'aa Shroodiinyąą ąįį tr'igiinkhii zheh nąįį dahnyąą gwadǫǫhk'ii . ”
66:3:014:0	“ Laodicea kwaiik'it gwachoo gwizhit tr'igiinkhii zheh gwizheekat gwich'in eenjit danakhwatł'oo : Jii ginjik t'ee zhit juu tr'oozhrii ts'ą' Amen , gwik'it gooli' ! varahnyąą vats'an , juu khit ts'ą' łi'deegwidlii haa Vit'eegwijyąhchy'aa eegwaandak vik'iighai' Vit'eegwijyąhchy'aa jidii datthak gwiłtsąįį .
66:3:015:0	Deekhwazhit nakhwaa shandaii ; nink'oo akwat nindhaa ǫhłįį nakhwaashandaii . Ąįį gwik'it t'ohchy'aa kwaa ji' nihthan .
66:3:016:0	Gaa nink'oo akwat nindhaa ǫhłįį kwaa ts'ą' chųų ningyu' ąįį k'it t'ohchy'aa geh'an shighit gwats'an neenakhwahałzhrik t'oonchy'aa .
66:3:017:0	Nakhwalaraa gwanlii ts'ą' gwintsii sheegoo'aii haa gwinlęįį gwat'aałchy'aa kwaa dohnyąą , gaa nakhwaashroonchy'aa kwaa ts'ą' nakhwadiveegwiizųų ! Neeshroohchy'aa , nakhwagwach'aa kwaa ts'ą' nakhwaagweech'in kwaa ąįį gaakhwandaii kwaa .
66:3:018:0	Kii daatsik ( gold ) ch'andaa daatł'oo , kii shroodiinyąą nilii , ąįį shats'an ohkwat nakhwaihnyą' jaghaii ? Shįį Vit'eegwijyąhchy'aa shandee ts'ą' gwintsii nakhweegwehee'aa geenjit . Ts'ehdan dook'įį ąįį gwa'oozhii ts'į' gwach'aa daagąįį nahoozhyaa geenjit ohkwat . Gwahoh'yaa geenjit chan ch'oondąį' nakhwandee t'ireheelyaa ąįį ohkwat .
66:3:019:0	Juu gooveenjit ch'eet'igwiniindhan shi'įį nąįį gwiizųų t'igiizhit goovahaihjyaa ts'ą' goovahałtrii . Łi'deegwidlii ǫhłįį tł'ęę nakhwatr'agwaanduu ts'an łihts'eedǫǫ'ee .
66:3:020:0	Gindeiinvyaa ganleerahnaii ch'oodǫǫhk'įį ! Juu shideezhuh diitth'ak ts'ą' gehdeiintin ji' , vizheh nihdeehihshyaa ts'ą' vaa neech'ihih'aa , ts'ą' geedan chan shaa neech'igehee'aa t'oonchy'aa .
