12:11:001:1	Athaláíyah doo bidéét'i'ii yinant'áá nít'éé'
12:11:001:0	Áko Eihazáíyah bimá Athaláíyah biyáázh daaztsą́ągo yaa ákoniizį́į'go dah diiyá, áko aláahgo naat'áanii biye'ké ałtso íísdįįd. 
12:11:002:0	Nidi aláahgo naat'áanii Jóram yę́ę bitsi' Jiihósheba wolyéii Eihazáíyah bideezhí éí Eihazáíyah biye' Jó'ash aláahgo naat'áanii yę́ę biye'ké nidadootsiłii bitahdóó yił dah dii'áazhgo bí áádóó asdzání baa áhályánígíí nida'iilkáhí góne' Athaláíyah yits'ąą náhodees'į́į́', áko t'áadoo ho'diisyį́į da. 
12:11:003:0	Áko Bóhólníihii bikin bii' sohodizin góne' Jó'ash éí asdzání baa áhályánígíí bił naho'dinil'ingo hastą́ą́h nááhai. Áádóó Athaláíyah éí kéyah yii' kéédahat'íinii yinant'áá nít'éé'. 
12:11:004:0	Áádóó tsosts'id nááhaigo Jiihóíyada i'iis'a'go neeznádiin siláo áádóó siláo aa ádahalyáanii yinant'áhígíí hágo yidííniidgo Bóhólníihii bikin bii' sohodizinjį' baa daho'diisht'eezh, áádóó bee aha'deet'áanii bił ádajiilaago Bóhólníihii bikin bii' sohodizin góne' ádee hadahididziihgo ájiilaa, áko aláahgo naat'áanii biye' ííshjání ájiilaa. 
12:11:005:0	Áádóó áłah áyiilaaígíí yich'į' haadzíi'go ííłní, Díí kódadoohnííł; táa'go dah wohnéłígíí bitahdóó t'ááłá'ígo dah wohnéłígíí éí háá'áyį́į́h jį́į́ góne' nidaołnishígíí aláahgo naat'áanii bikin baa ádahołyą́ą doo; 
12:11:006:0	t'ááłá'ígo dah náánááh'néłígíí Ser yah a'atiingi baa ádahołyą́ą doo, índa t'ááłá'ígo dah náánáoh'néłígíí aa ádahalyánígíí bine'jígo yah a'atiinígíí baa ádahołyą́ą doo; kót'éego aláahgo naat'áanii bikin baa ádahołyą́ągo doo ahiih nídoołdas da. 
12:11:007:0	Nihí naakigo dah wohnéłígíí háá'áyį́į́h jį́į́ góne' doo nidaołnishígíí Bóhólníihii bikin bii' sohodizin góne' aláahgo naat'áanii baa ádahołyą́ą doo. 
12:11:008:0	Áádóó t'ááłá'í nohtínígo nihideezlaa' dah deínóhjáahgo aláahgo naat'áanii binídooht'ih; t'áá háiida nihíighah deeyáhígíí hodi'yoolyééł; aláahgo naat'áanii ch'ínádááhdóó yah anáhádáahgo baa ádahołyą́ą doo. 
12:11:009:0	Áko neeznádiingo siláo bindanit'a'í t'ááłá'í jinítínígo náá'iiłniihii Jiihóíyada yee ho'níłnii'ígíí t'áá ałtso bik'ehgo ádadziidzaago hasiláo háá'áyį́į́h jį́į́ góne' dadeeshnishígíí áádóó nidahashnishígíí éí t'áá yił náá'iiłniihii Jiihóíyada yaa yíkai. 
12:11:010:0	Áádóó aláahgo naat'áanii David yę́ę tsiidétáán áádóó naagé bee hólǫ́ǫ́ nít'éé' yę́ę Bóhólníihii bikin bii' sohodizin góne' sinilígíí náá'iiłniihii éí neeznádiingo siláo bindanit'a'í yeinínil. 
12:11:011:0	Áko siláo t'ááłá'í nítínígo bideezla' dah deíjáahgo aláahgo naat'áanii binaagóó kin bii' sohodizin bíighahgi nish'náádóó nishtł'ajígo nineel'áníjį' bikáá' náá'iiniihí yíighahgi naazį́. 
12:11:012:0	Áádóó aláahgo naat'áanii biye' bił ch'ízhní'áazhgo naat'á ch'ah bik'izhdíí'ą́ągo bee ak'e'ashchíinii bee bééhániihii baazhníłtsooz, áádóó ak'ah yik'i yadeiyiiziidgo dayíísį́į'go aláahgo naat'áanii ádahoolaa, áko ahídaakadgo ádaaní, Aláahgo naat'áanii as'ahgóó hináa le'. 
