15:7:001:1	Ézra bił naakaígíí Jerúsalemjį' yíkai
15:7:001:0	K'ad díí kódahóót'įįdóó bik'ijį' Pérzha dine'é aláahgo binanit'a'í Artazérksiiz nant'áago Ézra éí Siiréíyah biye' jílį́, éí Azaráíyah yę́ę biye', éí Hilkáíyah yę́ę biye', 
15:7:002:0	éí Shálam yę́ę biye', éí Zéídak yę́ę biye', éí Aháítab yę́ę biye', 
15:7:003:0	éí Amaráíyah yę́ę biye', éí Azaráíyah yę́ę biye', éí Miiréíyath yę́ę biye', 
15:7:004:0	éí Zeraháíyah yę́ę biye', éí Ázai yę́ę biye', éí Bákai yę́ę biye', 
15:7:005:0	éí Abíshuwa yę́ę biye', éí Fíniyas yę́ę biye', éí Eliyéízar yę́ę biye', éí Éran aláahgo náá'iiłniihii nilį́į́ nít'éé' yę́ę biye' jílį́. 
15:7:006:0	Díí Ézra éí Bábilan kin haal'áádóó dashdiiyá, áko Ízrel dine'é biBóhólníihii Diyin God éí Mózes bibee haz'áanii aidiní'áanii jiichįįhgo bínazh'niłtin nít'éé', áádóó t'áá jókeedígíí t'áá ałtso éí aláahgo naat'áanii haidii'aah, háálá haDiyin God Bóhólníihii hak'i dah doolnih. 
15:7:007:0	Aláahgo naat'áanii Artazérksiiz nant'áago tsosts'id náhááh góne', Ízrel dine'é ła' áádóó nááda'iiłniihii ła' áádóó Líívai dine'é ła' áádóó dahataałígíí áádóó dáń'dítį́hí yaa ádahalyáanii índa kin bii' sohodizin yindaal'a'ii Néthinim wolyéii Jerúsalem kin haal'áágóó eekai. 
15:7:008:0	Aláahgo naat'áanii nant'áago tsosts'id náhááh góne', ashdla' yiziłígíí binih Ézra éí Jerúsalemgi níyá. 
15:7:009:0	Jó, t'ááłá'í nídízííd binih ła'a jį́į́ góne' Bábilan kin haal'áádę́ę́' dashdiiyá áádóó haDiyin God ayóó ánóolningo hak'i dah doolnihígíí bik'ehgo ashdla' nídízííd binih ła'a jį́į́ góne' Jerúsalemgi jiníyá. 
15:7:010:0	Jó, Ézra éí Bóhólníihii bibee haz'áanii hájít'į́įgo áádóó bik'eh hojíł'į́įgo áádóó bee nahaz'áanii índa bik'eh hoogáałii Ízrel dine'é bitahgóó bee nazh'nitin doo biniyé hajéí bee háni' áhojiilaa. 
15:7:011:0	Ézra náá'iiłniihii índa bee haz'áanii yína'niłtinii, t'áá éí Bóhólníihii bibik'eh ó'oo'níiłii áádóó bibee nahaz'áanii Ízrel dine'é baa deet'áanii yíhooł'ą́ą'ii nilį́įgo aláahgo naat'áanii Artazérksiiz díí naaltsoos hainíłtsoozígíí át'é. 
15:7:012:0	Aláahgo naat'áanii danilíinii aláahgo yinant'áii Artazérksiiz wolyéii éí náá'iiłniihii Ézra t'áá éí yá'ąąshdę́ę́' Diyin God bibee haz'áanii yína'niłtinii nilíinii bich'į' hadółt'éego hózhǫ́ǫ le' índa náádaała' ałdó'. 
