19:147:001:1	Bóhólníihii éí Jerúsalem yik'ijidlíii baa ha'niih
19:147:001:0	Bóhólníihii baa dahohniih! Háálá nihiDiyin God baa dahwii'niihgo bich'į' dahwiitaałgo yá'át'ééh, háálá ayóó ánóolnin, áádóó haa ha'niihgo t'éiyá hweełt'é. 
19:147:002:0	Bóhólníihii éí Jerúsalem háididlééh; Ízrel dine'é ch'íneelkaadii áłah ánéídlééh. 
19:147:003:0	Diné t'áá íiyisí bijéí yínííł danilíinii hada'ólníigo áyósin, áádóó adadeezneh yę́ęgóó ałch'į' áńdeidle'. 
19:147:004:0	Sǫ' ánéelą́'ígíí yee nihoní'ą́; t'áá ałtso bízhi' dahólǫ́ǫgo yee dayózhí. 
19:147:005:0	NihiBóhólníihii ayóó át'éii nilį́, áádóó ayóó ábóodziilii nilį́; doo bóhonee'ą́ą́góó bił ééhózin. 
19:147:006:0	Bóhólníihii éí a'ohgo ádaat'éii chánah ánáyoodlííł; diné doo yá'ádaashóonii éí naa'ayiinííł. 
19:147:007:0	Ahééh danohsingo Bóhólníihii bich'į' dahohtaał; tsin tł'óół bąąh daneelzhee'go bee nida'a'néii bee bá nidaahnéego nihiDiyin God baa dahohniih! 
19:147:008:0	Yót'ááh hiníláii bich'ą́ą́h k'os nídiilkǫǫhgo ánáyiil'įįh; nahasdzáán bá níłtsą́ hasht'ééyiil'įįh; dziłgóó ch'il hááhinoot'į́įłgo áyósin. 
19:147:009:0	Naaldlooshii índa gáagii yáázh ádaaníinii bich'iyą' yich'į' kwííł'į́. 
19:147:010:0	Łį́į́' bidziilii éí doo yaa bił nihoozhǫǫh da, índa diné bits'íís bidziilii doo yaa bił nihoozhǫǫh da. 
19:147:011:0	Nidi Bóhólníihii dabidósinii, áádóó aa a'ááh nízinii bee bił chodahoo'íinii éí Bóhólníihii baa bił nihoozhǫǫh. 
19:147:012:0	Jerúsalem nílíinii, Bóhólníihii baa hóniih! Záíyan nílíinii, niDiyin God baa hóniih! 
19:147:013:0	Háálá nee dáń'da'ditį́į́h bich'ą́ą́h dah nídaatį́hígíí dabidziilgo áyósin; na'áłchíní ákóne' kééhat'íinii yik'ijidlí. 
19:147:014:0	Nihoodzoh biyi'jígo hasht'ehodít'éego áyósin; tł'oh naadą́ą́' agháago yá'ádaat'éehii lą'ígo ná áyósin. 
19:147:015:0	Nahasdzáán bikáa'jį' hahadziihgo haneeteehída bizaad bohoolnííł. 
19:147:016:0	Aghaałgaii nahalingo yas nihidégaigo ííł'į́; łeeshch'iih nahalingo dahts'os nihiyiiłkaad. 
19:147:017:0	Bááh bizéí ajiiłkaad nahalingo níló nihiyiiłkaad; deesk'aazgo ánáyiil'įįhgoshą' háí yii' sizį́įgo yíneel'ą́? 
19:147:018:0	Bizaad k'ehgo da'ayį́į́h; níyolgo ánáyiil'įįh, áko tó danílį́. 
19:147:019:0	Bizaad éí Jéíkab dine'é yił ííshjání ííł'į́; yee nihwiiz'áanii índa bik'eh hoogáałii Ízrel dine'é yee yił halne'. 
19:147:020:0	Náánáła' dine'é doo kót'éego yá ááníił da, éí bik' eh hoogáałii doo bił béédahózin da. Bóhólníihii baa dahohniih!
