19:58:001:1	Doo yá'ádaashóonii atídoolnííł bíká sohodizin
19:58:001:0	Ayóó át'éii danohłíinii, da' nihíísh t'áá aaníí t'áá ákogi át'éego hadahohdziih? Nihokáá' diné danohłíinii, da' t'áásh ákogi át'éego aa nídaaht'į́? 
19:58:002:0	Dooda, doo yá'áshóonii ayóó át'éego nihijéí biyi'di bee hadahoyooh'aah. Nihokáá'góó nihíla' bee doo chohoo'ínígi ádaaht'į́. 
19:58:003:0	Doo yá'ádaashóonii éí t'áá nidahachííhgóó yóó'ahikááh. T'áá nidahachííhdóó dabiyooch'íidgo ádił nida'iisííh. 
19:58:004:0	Tł'iish bik'aasda' nahalingo hwe'ánít'į́į́h dahólǫ́. Tł'iish jé'áhodilkałii nidahojílin. 
19:58:005:0	Tł'iish nidayiishǫǫhii t'áá íiyisí dayiichįįhgo tł'iish yich'į' dahataałgo hach'į' tł'iish jé'áhodilkałii nidahojílin. 
19:58:006:0	Diyin God nílíinii, éí bizéé' góne' biwoo' dahítííh! Bóhólníihii nílíinii, náshdóíyáázh bitsiijį' daditł'ooígíí biwoo' dadeeníinii bits'ą́ą́' dahítííh! 
19:58:007:0	Bíni'dii ałtso dadiyį́įhgo tó ałtso íína'ígíí nidahojílin le'. Azdoołkah biniyé be'ałtį́į́'tł'óól yiyiiłtaazgo bik'a' nidahaastǫ' nidahalin le'. 
19:58:008:0	Ch'osh tsiik'iya'ii'áhii diłhįhígi át'éego háni'dii doo hwéédahoozįįh da. Awéé' atsą́ háá'éelgo t'áadoo jį́honaa'éí yiyiiłtsánígíí nidahojílin le'. 
19:58:009:0	Ne'ásaa' bee íłbézhí t'áadoo daniidóhí ch'il deeníní biyaa hadíídeezígíí nahalingo t'áá dahináago Diyin God hashké nídzingo até'éł'íinii yee nahjį' kóhodoolííł. 
19:58:010:0	Diné t'áá ákogi ádaat'éii k'ééhodiidzaago yiyiiłtsą́ągo t'áá íiyisí bił hózhǫ́ǫ doo. Diné doo yá'ádaashóonii bidił bee hakee' táázdoogis. 
19:58:011:0	Áko diné ádaaníi doo, T'áá aaníí, diné t'áá ákogi ádaat'éii nályééh bá hólǫ́ǫ́ lá! T'áá aaníí, ni' bikáa'gi Diyin God ánihwii'aah lá!
