1:29:001:1	Jéíkab éí Réíchel áádóó Líyah bik'é Léíban yá naashnish
1:29:001:0	Áádóó Jéíkab dah náádiidzáago ha'a'aah biyaadi diné kéédahat'ínígíí bikéyahdi jiníyá. 
1:29:002:0	Áko hajííghal, nít'éé' jó'akon, halgaigi tó hahadleeh bíighahgi táa'go dibé dah danéelkaadgo shijéé'; éí tó hahadleehígi nída'adlį́į́h lá, áko tsé ayóó áníłtsogo tó hahadleeh bidáádiní'ą́. 
1:29:003:0	Ákwe'é tó hahadleeh tsé bidádiní'áanii nahgóó anídeiłmasgo ákwii dibé t'áá ałtso ahanináhinilka'ígíí nída'adlį́į́h, áádóó tsé t'áá si'ą́ yę́ęjį' anídeiłmas lá. 
1:29:004:0	Áko Jéíkab áháłní, Shik'isóó, háádę́ę'shą' ádaaht'į́? Áko ádaaní, Héírandę́ę́' ádeiit'į́. 
1:29:005:0	Áko ánáábizhdoo'niid, Da' nihíísh Néíhor binálí Léíban wolyéii béédahonohsin? Áko áhodííniid, Aoo', béédahoniilzin. 
1:29:006:0	Da' yá'át'éehgoósh kééhat'į́? Áko ádadííniid, Aoo', yá'át'éehgo kééhat'į́. Jó, aadę́ę́' bitsi' Réíchel anoołkał. 
1:29:007:0	Áko ázhdííniid, Áko lá t'ahdii nízaa'az'ą́ ni; da'alį́į́' ahandadínóolkałgo t'ah doo baa hoolzhíish da; dibé da'oodlą́ą'go índa nílááhgóó bíni' ninááda'ałchozh doo. 
1:29:008:0	Áko ádadííniid, Dooda; t'áá ałtso ahanda'niilka'go índa tsé éí tó hahadleeh bidádiní'ánígíí nahgóó anídeilmasgo, índa dibé nída'adlį́į́h. 
1:29:009:0	Áko t'ahdii bił ałch'į' yádajiłti'go Réíchel hazhé'é bilį́į́' jininíłkaad, háálá éí nazh'niłkaad. 
1:29:010:0	Ákódzaago Jéíkab hamá bínaaí Léíban bitsi' Réíchel áádóó hamá bínaaí Léíban bilį́į́' jiiłtsą́ągo baazhníyá, áko Jéíkab éí tséhígíí tó hahadleeh bidádiní'áanii nahgóó ayííł máazgo hamá bínaaí Léíban bilį́į́' da'oodlą́ą́'. 
