23:40:001:1	Bóhólníihii bizaad éí Záíyan bik'i dahata'
23:40:001:0	Shidine'é nihik'i dahata', nihik'i dahata' le', ní nihiDiyin God. 
23:40:002:0	Jerúsalem kin haal'á bik'i hółta'go yáníłti' áádóó yéego bich'į' ádíní, Nide áhoot'é yę́ę bíighah azlį́į́', índa doo ákwii íínít'įįdii nits'ánídeet'ą́, háálá nibąąhági át'éii biniinaa ahą́ą́h nániiláago Bóhólníihii atíniilaa, bidiní. 
23:40:003:0	Ła' hwiinéé' diits'a'go honoojíidi kójíníigo hojilne', Bóhólníihii bá honít'i'ii hasht'edaahłééh; honoojíidi nihiDiyin God bá k'éhézdongo atiin ádaahłééh. 
23:40:004:0	Dahoníteelgóó t'áá át'é wódahgo ádadoolnííł áádóó dził daní'áhígíí índa deílk'idii t'áá át'é wóyahgo ádadoolnííł, áko halgaigóó dahodiwolígíí ts'ídá k'ídahoneezláago áhodoolnííł, 
23:40:005:0	áko Bóhólníihii yee ayóó át'éii yit'íní dooleeł, áádóó nihokáá' dine'é t'áá ałtso t'áá ła' bizhi'ee dahwiidoołtsééł, háálá Bóhólníihii t'áá bí yee haadzíí'.  
23:40:006:0	Ła' hwiinéé' kóní, Yéego hadílgháásh. Nidi ádíshní, Ha'át'íísh baa dishwosh doo? Ats'íís nilíinii t'áá ałtso ch'ilgi át'é, áádóó yee nizhónígíí t'áá ałtso ch'ilátah hózhóonii nahalin; 
23:40:007:0	Diyin God yóó'ayí'iisxoołgo ch'il dahiniiłnééh áádóó ch'ilátah hózhóonii dahidiibééh; t'áá aaníí diné danilíinii ch'ilgi ádaat'é. 
23:40:008:0	Ch'il dahiniiłnééh áádóó ch'ilátah hózhóonii dahidiibééh, nidi nihiDiyin God bizaad éí hool'áágóó hólǫ́.  
23:40:009:0	Dził Záíyandi kéédahat'ínígíí bich'į' hane' yá'át'éehii baa hólne'ii nílíinii, dził aghánáhóó'áágóó hasínááh; Jerúsalemgi kéédahat'ínígíí bich'į' hane' yá'át'éehii baa hólne'ii nílíinii, yéego hadílgháásh; t'áadoo náníldzidí; yéego hadílgháásh; Júdahgi kin hadaas'áagi kéédahat'ínígíí, Shoo, nihiDiyin God danół'į́! bidiní. 
23:40:010:0	Jó, Bóhólníihii Diyin God ayóó ábóodziilgo doogááł, bibee adziilii bá nant'áa dooleeł; jó, yee k'éédidoo'níiłii bee hólǫ́, áádóó bich'į' nidoolyéełii bidáahgi hólǫ́. 
23:40:002:1	Ízrel dine'é biDiyin God doo bináłt'éhí da
23:40:011:0	Na'niłkaadii nahalingo bidibé ya'ałtso'; bigaan yee dibé yázhí áłah ánáyoodlííł, áádóó bijéíts'iin yíyółtą'go neiijaah, índa ádaałts'íísígíí bimá yił hazhó'ó yaa áhályą́. 
23:40:012:0	Háishą' bílák'eegi tónteel yí'nééł'ąądgo ánéelt'e'gi bił bééhózin, doodaii' háishą' yíládeests'ǫ́ǫ́d bee yádiłhił yí'nééł'ąądgo áníłtsogi bił bééhózin, doodaii' háishą' nihokáá' łeezh yiyííłta'go ánéelt'e'gi bił bééhózin, doodaii' háishą' dził áádóó deílk'idígíí dah deidiyiilo'go ádaníłdáasgi bił bééhózin? 
23:40:013:0	Háishą' Diyin God biNíłch'i Diyinii kónínééh, yidííniid, doodaii' kót'éego yiłníigo neineeztą́ą́'? 
23:40:014:0	Háishą' Diyin God, Haash yit'éego, hodííniid, doodaii' nazneeztą́ą́'; háishą' ánihwiit'aah áádóó ił ééhózin bee nazneeztą́ą́' índa ak'idi'yiitįįhgo ájiilaa? 
23:40:015:0	Jó, ał'ąą dine'é éí ásaa' biyi'dę́ę́' tó nidoolch'ą́lígíí nidahojílin, áádóó bee dah nídiidlohí bee łeezh dibahí t'įįhdígo dah hidiidlohígíigi át'éego haa nitsíkees; jó, łeezh áłch'į́į́dígo nízhdiijaa' nahalingo táyi'dę́ę́' kéyah hadaaz'áhígíí néididoojih. 
23:40:016:0	Dził Lébanan hoolyéii bitsin yíl'áhígíí ałtso adidoolk'ą́łígíí, doodaii' binaaldlooshii didlidgo náádahidoonihígíí bi'oh daneel'ą́. 
23:40:017:0	Binááł ał'ąą dine'é t'áá ádzíłtso t'áadoo dajílíní da; t'áadoo dajílínígóó índa t'áadoo nídazhdoodleełígóó haa nitsíkees. 
23:40:018:0	Ákoshą' Diyin God háí nahalin nínízin? Doodaii', ha'át'íishą' bił ahąąh nidíínił? 
23:40:019:0	Diné adiłhį́įhii éí e'elyaii ádeile', áádóó atsidii éí óola yik'ídeiłtih áádóó béésh łigaii yee béésh da'ahólzha'í ádeile'. 
23:40:020:0	Bahojoobá'íii díí e'elyaii neidiyoołnihgo doo yíneel'áanii éí tsin doo diłdzidii shóidoołt'eeł, áádóó iichįįhgo tsin neik'ęęhí éí tsin e'elyaii doo hidólnááł át'éégóó há íidoolííł biniyé hazhdínóotaał. 
23:40:021:0	Doósh nihił béédahózin da? Doósh dadoohts'a' da? Hodeeyáádóó wóshdę́ę́'ésh t'áadoo bee nihił dahóóne' da? Nahasdzáán bitsé siláii t'áadoo bik'ida'dootą́ą da? 
23:40:022:0	Nahasdzáán biláahdi aghánáhóó'áadi dah sidáii nilį́, áádóó binááł nihokáa'gi kéédahojit'íinii nahachagii nidahojílin; ata'naníbaalí nahalingo áádóó níbaal bii' hooghanígi át'éego yádiłhił yiníłbaal; 
23:40:023:0	éí nihokáá'góó naat'áanii índa ánihwii'aahii dajílíinii t'áadoo dajílínígóó áhodoolííł. 
23:40:024:0	T'óó k'edoolyáhígo ániid k'edoolyáago t'áadoo behétł'óól haleehí; yóó'ahódi'yoosxołgo nidahizhdoogą́ą́ł, índa nááts'ó'oołdísii éí ehégod naa náyooghasígi át'éego hoł yóó'ahodoogááł. 
23:40:025:0	Háishą' nahonishłingo índa háishą' bił ahąąh nishidíínił? ní Diyin nilíinii. 
23:40:026:0	Dego díghaałgo díí daat'íinii t'óó ahayóígíí háísh ádayiilaa? Yiyííłta'ígíí lą́ą, éí t'áá ałtso dabízhi' yee yózhí; bibee adziilii ayóó át'éego índa ayóó ábóodziilgo bąą t'ááłá'í nidi doo bá hályáah da. 
23:40:027:0	Jéíkab nílíinii, ha'át'éegoshą' ádíní? Ízrel nílíinii, ha'át'éegoshą' kódíní, Shił áhoot'éii Diyin God bits'ąą néis'į́į́', áádóó bee shaa hwiidínóot'įįłii éí shiDiyin God doo yaa ná'áhodílt'į́į da? 
23:40:028:0	Da' doósh nił bééhózin da? Da' doósh dinits'a' da? Hool'áágóó Diyin God nilíinii, Bóhólníihii wolyéii, nahasdzáán t'áá át'é áyiilaii éí doo ch'ééh digháah da, índa doo nidi nídínídáah da? Bintsíkees doo bik'izhdootą́ą́' át'ée da. 
