24:28:001:1	Hananáíyah biyooch'íidgo hoolne'
24:28:001:0	T'áá éí yihahígíí binih Júdah dine'é aláahgo binanit'a'í Zedekáíyah aláahgo naat'áanii nilį́įgo t'óó hodeesá yę́ędą́ą́' éí dį́į́' náhááh góne' áádóó ashdla' nídízííd binih Ázar biye' Hananáíyah áhodoonííł yaa halne'ii nilíinii Gíbiyan kin haal'áádę́ę́' naagháago Bóhólníihii bikin bii' sohodizin góne' nááda'iiłniihii índa diné t'áá ałtso yinááł shich'į' haadzíi'go kóní, 
24:28:002:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Bábilan dine'é aláahgo binanit'a'í bi'azéédéetání bits'ą́ą́' k'íníti'. 
24:28:003:0	Kodóó naaki nááhaijį' Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Bóhólníihii bikin bii' sohodizindóó Bóhólníihii bileets'aa' dah yidiijaa'go Bábilan kéyahgóó ayííjaa'ígíí t'áá át'é kojį' nídeeshjih, 
24:28:004:0	áádóó Júdah dine'é aláahgo binanit'a'í Jiihóíyakim biye' Jekonáíyah áádóó diné éí Bábilangóó daasnáanii t'áá ałtso kojį' nídeesh'ish, háálá Bábilan dine'é aláahgo binanit'a'í bi'azéédéetání bits'ą́ą́' k'ídeeshtih, ní Bóhólníihii. 
24:28:005:0	Ákohgo Bóhólníihii bikin bii' sohodizin góne' nááda'iiłniihii índa diné t'áá ałtso dabinááł Diyin God yá halne'ii Jeremáíyah éí áhodoonííł yaa halne'ii Hananáíyah yich'į' haadzíí', 
24:28:006:0	áádóó Diyin God yá halne'ii Jeremáíyah ádííniid, T'áá ákót'ée le'; bíni'dii Bóhólníihii ákóone'. Saad bee háínídzí'ígíí Bóhólníihii yi'óle', éí łeets'aa' néidoojih índa dabi'disnáanii t'áá ałtso Bábilandę́ę́' kojį' néidoo'ish. 
24:28:007:0	Nidi da'íísółts'ą́ą'ii índa diné da'íísts'ą́ą'ii t'áá ałtso saad bee nihich'į' yáshti'ígíí dadoohts'į́į́h. 
24:28:008:0	T'áá ałk'idą́ą́' nihí áádóó shí t'áá nihítséedi Diyin God yá dahalne'ii tádadookai yę́ę kéyah naaznilgóó áádóó ayóó át'é óhólnííh bił nahaz'ą́ą́góó yik'ijį' nidahasne'go éí anaa' nídahoodleeł doo áádóó doo yá'áshǫ' ádahooníił doo índa nídahodiłnih doo, daaníigo dahoolne'. 
24:28:009:0	Nidi Diyin God yá halne'ii ach'į' hózhǫ́ t'áá aaníí yaa halne'go áádóó éí bohool'įįhgo Diyin God yá halne'ii, t'áá aaníí Bóhólníihii biníł'a'ii át'į́į doo. 
24:28:010:0	Ákohgo áhodoonííł yaa halne'ii Hananáíyah éí azéédéetání Diyin God yá halne'ii Jeremáíyah yąąh na'iidiitą́ągo k'íiníti'. 
24:28:011:0	Áádóó Hananáíyah éí diné t'áá ałtso yinááł haadzíi'go ání, Bóhólníihii kóní, Naaki nááhaijį' Nébukadnézzar bi'azéédéetání éí ał'ąą dine'é t'áá ałtso bąąh nidi'deeshniłgo k'íhideeshtih. Áádóó Diyin God yá halne'ii Jeremáíyah dah diiyá. 
24:28:012:0	Áhodoonííł yaa halne'ii Hananáíyah éí azéédéetání Diyin God yá halne'ii Jeremáíyah yąąhdóó k'íiníti'dóó bik'ijį' haa shį́į́ nízah nihoolzhiizhgo Bóhólníihii éí Jeremáíyah yich'į' haadzíi'go ání, 
24:28:013:0	Bóhólníihii kóní, Hananáíyah bich'į' dínáahgo kóbidiní, Tsin bee azéédéetání ádaalyaii dahíníti', nidi bitsásk'ehgi béésh nitł'izii bee azéédéetání ádeinilaa. 
24:28:014:0	Jó, Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Shoo, díí ał'ąą dine'é dajílíinii Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar bá nidajil'a' dooleeł biniyé béésh nitł'izii azéédéetání hąąh nidasínil, áko bá nidajil'a' doo, áádóó naaldlooshii nihokáá' naaldeehii ałdó' baa diní'ą́. 
24:28:015:0	Ákohgo Diyin God yá halne'ii Jeremáíyah éí áhodoonííł yaa halne'ii Hananáíyah áyidííniid, Ge', Hananáíyah yinílyéii, Bóhólníihii doo nííł'aad da, áko diné nííní'aa'ígíí éí yaa dadzólíigo íinilaa. 
24:28:016:0	Éí bąą Bóhólníihii kóníłní, Jó, Bóhólníihii bik'ijį' ídlį́įgo na'alteeh bee nanínítą́'ígíí biniinaa t'áá díí yihahígíí biyi' dadíítsaałgo nahasdzáán bikáá'dóó nahjį' kónídeeshłííł. 
24:28:017:0	Áko t'áá éí yihahígíí biyi' tsosts'id nídízííd binih Hananáíyah daaztsą́.
