24:29:001:1	Jeremáíyah éí yisnááh danilíinii yich'į' naaltsoos áyiilaa
24:29:001:0	Nébukadnézzar éí hastóí aląąjį' naazíinii daadziihígíí áádóó nááda'iiłniihii áádóó áhodoonííł yaa dahalne'ii índa diné t'áá ałtso yisnáago Jerúsalem kin haal'áádóó Bábilan kéyahgóó iinííłkaadii éí Diyin God yá halne'ii Jeremáíyah díí saad naaltsoos yikáá' áyiilaago Jerúsalemdóó ákǫ́ǫ́ yich'į' áyiilaa. 
24:29:002:0	(Aláahgo naat'áanii Jekonáíyah áádóó bimá asdzą́ą́ naat'ááh índa yúnak danilíinii áádóó Júdah dine'é áádóó Jerúsalemdi kéédahat'íinii bindanit'a'í áádóó kin ádeił'íinii índa da'atsidii Jerúsalemdóó dah diikaidóó bik'ijį' índa díí áhóót'įįd.) 
24:29:003:0	Shéífan biye' Élasah áádóó Hilkáíyah biye' Gemaráíyah éí naaltsoos ályaii bílák'eeltsoozgo Júdah dine'é aláahgo binanit'a'í Zedekáíyah Bábilangóó Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar yich'į' yił ahóół'a', áko éí naaltsoos kóníigo bikáá', 
24:29:004:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Yisnááh danohłį́įgo Jerúsalemdóó Bábilangóó anihi'doojaa'go shá bohoolyaii t'áá ánółtso, 
24:29:005:0	kin nidaohnilgo bii'góó kéédahoht'į́į doo; k'ida'dohłéego nínádanołt'į́hígíí daohsą́ą doo. 
24:29:006:0	Nihe'asdzą́ą́ dooleełii nishódahoołt'eehgo nihiye'ké áádóó nihitsi'ké dahóle'. Nihiye'ké áádóó nihitsi'ké dabiye'ké áádóó dabich'é'éké dahodooleeł biniyé be'asdzą́ą́ dadooleełii bá ádahohłe' índa bahastiin dadooleełii baa dahohnííł. Ánółch'į́dí dooleełígíí éí dooda, nidi áadi k'ee'ąą dínóoht'į́į́ł. 
24:29:007:0	Yisnááh danohłį́įgo t'áá kin haal'áajį' anihííł'aadii ákwii bee ach'į' hózhóonii hádaoht'į́į doo, áádóó ákwii kin haal'áagi diné kéédahat'ínígíí bá Bóhólníihii bich'į' sodadoołzin, áko ákwii bee ach'į' hózhóonii bee nihich'į' hózhǫ́ǫ doo. 
24:29:008:0	Háálá Ízrel dine'é biDiyin God, t'áá ałtsoní bee Bóhólníihii ání, Áhodoonííł yaa dahalne'ii índa nihá nida'ídíłkidii nihitahgóó nidaakaígíí nihida'dóleeh lágo índa yaa nideizyeelii yee nihił dahalne'go t'áadoo bá deísółts'ą́'í. 
24:29:009:0	Háálá shízhi' dayózhíigo t'áá ádzaii nihił dahalne'. Doo dahóół'aad da, ní Bóhólníihii. 
24:29:010:0	Jó, Bóhólníihii kóní, Bábilan kéyahdi tsosts'idiin nihéédááhaigo índa nihaa deesháałgo yá'át'éehii nihaa diní'áanii nihá bi'deeshłíiłgo kojį' anánihideesh'ish. 
24:29:011:0	Háálá nihá baa nitsískeesii éí shił bééhózin; k'adę́ę bíighah da'ohłeehgo bee nihił chodahoo'į́į dooleeł biniyé doo yá'át'éehii doo nihá baa nitsískees da, nidi bee ach'į' hózhóonii nihá baa nitsískees, ní Bóhólníihii. 
24:29:012:0	Áko índa nídashiidoohkąął, áádóó shich'į' sodadidoołzįįłgo nihidideests'į́į́ł. 
24:29:013:0	Nihijéí t'áá át'é bee shíká ádaoht'į́įgo hádashídóh'į́į́' índa shik'ídadoohkah. 
24:29:014:0	Nihí shik'ídahidoohkah, ní Bóhólníihii áádóó yisnááh danohłį́ yę́ędóó nahjį' kódeeshłíiłgo danihíí' yę́ę nihíí' nídadoodleełgo ádeeshłííł áádóó ał'ąą dine'é bitahgóó índa bił dah nahaz'ą́ą́góó yisnááh danohłį́į dooleeł biniyé dah danihidíníiłkaadídóó áajį' áłah ánánihideeshdlííł, ní Bóhólníihii. 
24:29:015:0	Bóhólníihii éí Bábilan kéyahdi Diyin God yá dahalne'ii nihá niinínil, dadooniidígíí biniinaa, 
24:29:016:0	(Jó, aláahgo naat'áanii David bibikáá'dóó nahat'áii yikáá' dah sidáii áádóó diné t'áá ałtso díí kin haal'áagi kéédahat'íinii índa nihik'isóó danilíinii nihidisnáágóó t'áadoo nihił nidaaskaii Bóhólníihii baa haadzíí'.) 
24:29:017:0	T'áá ałtsoní bee Bóhólníihii kóní, Éí diltłish bił haa'doonéełgo áádóó dichin índa naałniih haa doołnihgo ádeeshłííł, índa fig sikaadii bineest'ą' t'óó badaa'ihii daniłchxonii áádóó doo jóyą́'ígi ádaat'éii nidahojílin doo, jó'akon. 
24:29:018:0	Diltłish bee, dichin bee, naałniih bee atíhásh'į́į doo, áádóó hóyée'go bá hada'iisdzíi'ii dajílį́į doo, áádóó diné hak'ee t'óó bił adahayói doo, áádóó honiinaa diné, Tłehee yéi', daaníi doo índa há nidahałt'i'go hą́ą́h nídadikah doo biniyé nihokáá'góó bee ídahólnííh nahaz'ą́ą́góó t'áá át'é bitahjį' adahonííłkaadígóó diné hak'ee áńdaadįįhgo ádeeshłííł, 
24:29:019:0	háálá shizaad t'áadoo dazdiizts'ą́ą' da, ní Bóhólníihii; shá nidaal'a'í Diyin God yá dahalne'ii hach'į' t'áá ahą́ą́h ałnáádaash'aah nít'éé', nidi t'áadoo deísóołts'ą́ą' da, ní Bóhólníihii. 
24:29:020:0	Jerúsalem kin haal'áádóó Bábilan kéyahgóó yisnááh danohłį́į dooleełgo anihinííłkaadii t'áá ánółtso Bóhólníihii áníinii dadohts'į́į́h, 
24:29:021:0	Koláíyah biye' Éíhab áádóó Méíyasíyah biye' Zedekáíyah díí diné nidilt'éego shízhi' yózhíigo áádóó biyooch'íidgo nihił halne'ii éí Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii haa haadzíi'go kóní, Jó, Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar baa hodideesh'áałgo nihinááł nahodoołtsił. 
24:29:022:0	Hó honiinaa Júdah dine'é t'áá ałtso dabidisnáanii hóyée'go hanáádaasdzíi'go, Bábilan dine'é aláahgo binanit' a'í Nébukadnézzar éí Zedekáíyah áádóó Éíhab tsídzayíínilgo yist'é yę́ęgi át'éego Bóhólníihii ákónóle', daaníi doo. 
24:29:023:0	Háálá Ízrel dine'é bitahgóó doo ákwii é'ét'éii ałtah áát'eełii baa nidadziskai áádóó bił kéédahojit'íinii bida'asdzą́ą́ bił ahidazhdoolyá índa saad t'áadoo bee hach'į' hahásdzíi'ii shízhi' binahjį' dahayooch'íidgo nidahodzisne', áko shíyee' shił ééhózin áádóó shí oo'íinii nishłį́, ní Bóhólníihii. 
24:29:024:0	Niihélam hoolyéédóó Shiiméíyah ałdó' kóbididííniił, 
24:29:025:0	Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní, Jerúsalemgi diné kéédahat'íinii t'áá ałtso áádóó Méíyasíyah biye' náá'iiłniihii nilíinii Zefanáíyah índa nááda'iiłniihii t'áá ałtso kódíníigo nízhi' naaltsoos dabikáa'go bich'į' ádeinilaa biniinaa, 
24:29:026:0	Bóhólníihii bikin bii' sohodizin góne' aa ádahalyáanii ak'i dadéez'į́į'ii hólǫ́ǫ dooleeł biniyé náá'iiłniihii nílį́į dooleeł biniyé Jiihóíyada náá'iiłniihii nilį́į́ nít'éé' yę́ęjį' Bóhólníihii anííłt'e', áko diné t'ááłá'í nítínígo doo ákǫ́ǫ́ tsídahidikeesgóó áádóó Diyin God yá halne'ii ádadilne'go tsin bąąh naaznilgo áádóó bizéédadéetą́ągo ádanile'. 
24:29:027:0	Éí bąą ha'át'éegoshą' Ánathathdóó ch'íbikée'ii Jeremáíyah doo bich'ahoshíníkée da; éí nich'į' Diyin God yá halne'ii nilį́įgo ínídiil'įįh? 
24:29:028:0	Háálá éí Bábilanjį' nihich'į' í'iilaago kóní, Nízaadgóó yisnááh danohłį́į doo. Kin nidaohnilgo bii'góó kéédahoht'į́į doo, índa k'ida'dohłéego nínádanołt'į́hígíí daohsą́ą doo. 
24:29:029:0	Náá'iiłniihii nilíinii Zefanáíyah éí Diyin God yá halne'ii Jeremáíyah yich'į' díí naaltsoos yiyííłta'. 
24:29:030:0	Ákohgo Bóhólníihii éí Jeremáíyah yich'į' haadzíi'go kóní, 
24:29:031:0	Yisnááh danilíinii t'áá ałtso bich'į' í'ííléehgo kóbidiní, Bóhólníihii kóní, Niihélam hoolyéédóó naagháii Shiiméíyah t'áadoo yíł'aadgóó nihił hoolne'ígíí biniinaa wooch'ííd baa da'jíísóolíí'; 
24:29:032:0	éí bąą Bóhólníihii kóní, Jó, Niihélamdóó Shiiméíyah áádóó bits'ą́ą́dóó náás oochíiłii atíhodeeshłíiłgo áhodeeshdįįł. Hats'ą́ą́dóó naagháii díí dine'é bitahgóó doo ła' kééhat'į́į da doo áádóó shidine'é yá'át'éehgo bíká adeeshwołígíí éí doo yizdoołtséeł da, háálá Bóhólníihii bik'ijį' ídlį́įgo na'alteeh bee nazneeztą́ą́', ní Bóhólníihii.
