26:1:001:1	Iizííkiyel éí Diyin God bee bi'oh adidilyéehii bił ádzaa
26:1:001:0	Íídą́ą́' tádiin náhááh góne' dį́į́' nídízííd binih ashdla'góó yoołkáałgo Kííbar tooh bibąąhgóó dabi'disnáanii bitah honishłǫ́ǫgo yá'ąąshii ąą ádzaago Diyin God bits'ą́ą́dóó shił áhát'į́įgo yiiłtsą́. 
26:1:002:0	Aláahgo naat'áanii Jehóíyakin yisnááh nilį́įgo ashdla' nááhaidóó bik'ijį' nídízíídóó ashdla'a jį́į́ góne', 
26:1:003:0	Búzai biye' Iizííkiyel náá'iiłniihii nishłíinii Bóhólníihii áníinii t'áadoo bahat'aadí diséts'ą́ą́'. Kííbar tooh bąąhgi Kaldíya dine'é bikéyahdi kééhasht'į́įgo Bóhólníihii shideelchid. 
26:1:004:0	Ákohgo náhookǫsdę́ę'go t'áá íiyisí deeyolgo k'os diłhił dah shizhóód, éí biyi' atsiniltł'ish ahidíníłná anídahata' áádóó t'áá íiyisí bits'ádi'nílííd silį́į́' índa ałníi'gi éí béésh łitsoii bits'ádi'nílííd nahalingo bi'oh adidilyééh silį́į' go, díí t'áá ałtso yiiłtsą́. 
26:1:005:0	Éí k'os biníí'dóó ha'át'íí shį́į́ dahináanii nahalingo dį́lt'éego ałdó' haakai. Kódanoolnih; diné nidahalin. 
26:1:006:0	T'ááłá'í nítínígo dį́į́' dabinii' áádóó t'ááłá'í nítínígo dį́į́' dabit'a'. 
26:1:007:0	Bijáád éí k'édaazdon áádóó béégashii yáázh daalkee'go béésh łitsoii bits'ádi'nílídígíí nidahalin. 
26:1:008:0	Áádóó t'ááłá'í nítínígo bit'a' daadį́'ígíí éí biyaadóó bíla' dahólǫ́, índa t'áá dį́lt'éego binii' áádóó bit'a' dahólǫ́. 
26:1:009:0	Dabit'a' éí ahidadii'áago nee'nijį' deít'áahgo doo nídaayées da; t' ááłá'í nítínígo éí nee'nijį' k'éhézdon yikah. 
26:1:010:0	Dabinii' éí díí nidahalin: bidááhdóó éí diné daalnii', nish'náajigo dabinii'ígíí éí náshdóítsoh bitsiijį' ditł'ooígíí daalnii', nishtł'ahjigo dabinii'ígíí éí béégashii daalnii', bikée'jigo dabinii'ígíí éí atsá daalnii'. 
26:1:011:0	Áko dabinii' kódaat'é. Bit'a' dego dadeez'á; bit'a' naaki ahidadii'á áádóó bit'a' naakigo bitééldę́ę́' bik'ídaasti'. 
26:1:012:0	T'ááłá'í nítínígo náásee t'áá k'éhézdon t'áá deesht'ah danízingóó t'áadoo nídaayésí deít'ááh. 
26:1:013:0	Dahináanii ádanóolninígíí tsííd dadiltłi' nidahalin, honooyééł dadéenood nahalingo ałnáádadina'; kǫ' éí hózhǫ́ dadiiltłahgo éí bits'ą́ą́dóó hadajilgish. 
26:1:014:0	Atsiniltł'ish anáháta' nidahalingo dahináanii náásee náádiijah áádóó t'ą́ą́' anáhájeeh. 
26:1:015:0	Dahináanii nísh'į́į́ nít'éé', dahináanii t'ááłá'í nítínígo bíighahgóó ni'gi bąąs t'ááłá'í ní'ánígo si'ą́. 
26:1:016:0	Bąąs ánoolninígíí índa ádaalyaaígíí éí ahidiníłnáago ahii' sinilgo tsé ílíinii béril wolyéii nahalingo bik'i nizdiłtoołgo éí t'áá dį́į'go ahidaałt'é. 
26:1:017:0	T'áá azlį́į'jigo t'áá ahąąh t'áadoo nídaayésí dah dadiibą́ą́z. 
26:1:018:0	Binídaaz'áhígíí éí wódahdi ahéédaaz'áago t'óó báádahadzid, áko nísh'į́į́ nít'éé', t'áá dį́į'go bináá' binídadeeswoł. 
26:1:019:0	Dahináanii dah diijahgo bąąs ałdó' t'áá bíighah deíjeeh łeh áádóó índa dah dadiildohgo éí bąąs ałdó' t'áá bíighah de kót'įįh. 
26:1:020:0	T'áá deesht'ah danízinígóó bąąs t'áá bíighah dah dadiildoh, háálá dahináanii íinízinígíí yee bąąs nayiiłná. 
26:1:021:0	Dahináanii dah dadiildohgo bąąs t'áá bíighah dah dadiildoh; t'áá ákǫ́ǫ́ niildogo bąąs ałdó' t'áá ákǫ́ǫ́ niildo; dah dadiildohgo bąąs ałdó' t'áá bíighah dah dadiildoh, dahináanii íinízinígíí bąąsígíí nayiiłná.  
26:1:022:0	Dahináanii bikáa'di éí ha'át'íí shį́į́ yá nahalingo dah sikaad; tin nahalingo niłtólígo t'óó bik'ee ił yée'go bik'i nizdidlaad, 
26:1:023:0	yá nahalinígíí biyaagi éí dahináanii t'ááłá'í nítínígo bit'a' deiníłbaalgo ahidadii'á; bit'a' naakigo bitééldę́ę́' bik'ídaasti'. 
26:1:024:0	Deít'áahgo dabit'a' éí tó t'óó ahayóí ch'ílkaal nahalingo dadiits'a'; Aláahgo Ayóó'ábóodziilii biinéé' nahalingo diits'a'; siláo t'óó ahayóí hahóół'á nahalingo diits'a'; dahináanii hasht'e'deizį'go bit'a' yaa ádayiilaa. 
