26:30:001:1	Ííjip kéyahgi t'áá ałtso doochǫǫł
26:30:001:0	Bóhólníihii shich'į' hanáánáádzíi'go kóní, 
26:30:002:0	Diné nílíinii, ádahodooníiłii baa hólne'go kódíní, Bóhólníihii Diyin God kóní, Éí jínígíí, dadohníigo daohchxa. 
26:30:003:0	Koshídę́ę́' hoolzhish; Bóhólníihii bá ashja'iilaaígíí koshídę́ę́' hadziih; éí bijį́ doo ééhodoozįįł da; ał'ąą dine'é ałtso atídoolníłígíí baa hodoolzhish. 
26:30:004:0	Ííjip dine'é éí diltłish bee atíbi'diilyaago diné nidaatseedii naa ahineezdee'go áádóó diné t'óó ahayóí dah ho'diijaa'go índa kin bee danił dzilgo bitł'ááh nídaastł'inii táádaoshchxǫ'go Iithiyópiya dine'é haa yínííł danilį́įgo haa daachxa doo. 
26:30:005:0	Áádóó Iithiyópiya dine'é, Put dine'é, Lud dine'é áádóó Aréíbiyadę́ę́' dine'é t'áá ałtso índa Líbiyadę́ę́' dine'é danilíinii áádóó dadine'é bił ałch'odají'níinii t'áá ałtso diltłish bee nidahodi'dootsił. 
26:30:006:0	Áko Bóhólníihii Diyin God kóní, Ííjip dine'é bíká aníjíjahii hak'eh hodidoodleeł áádóó Ííjip dine'é hadziil bee ádaa deijódlíhígíí bik'eh hodidoodleeł; t'áá níléí Mígdal hoolyéédóó Saiyíínii kin haal'áajį' Ííjip kéyahgi kééhojit'ínígíí t'áá ájít'é diltłish bee nidahodi'dootsił, ní Bóhólníihii Diyin God. 
26:30:007:0	Kéyah dahóóchxǫ'góó éí bitahgi Ííjip bíká aníjíjahígíí ałdó' doo ła' nijigháágóó áhodi'doolnííł índa hanaagóó kin hadaas'áii ałtso ahiih nídahaasdáazii éí bitahgi hó ałdó' hakin hadaas'áii ałtso ahiih nídahaasdáaz doo. 
26:30:008:0	Áko Ííjip kéyahgi ohodíínilgo áádóó bíká anájahii ałtso áhoséłdįįdgo áadi índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł. 
26:30:009:0	Ííjip dine'é bitah nahałniihgo yoołkááł yę́ędą́ą́' éigi át'éego éí bijį́ Iithiyópiya dine'é doo ayadahoolii yę́ę nídadooldzííł biniyé hane' nidei'áii shits'ą́ą́dóó tsinaa'eeł bee bił adahidoo'oł; éí baa hoolzhíísh, jó'akon. 
26:30:010:0	Bóhólníihii Diyin God kóní, Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar bee Ííjip kéyahgi daashíínéelą́ą́' diné kééhojit'íinii ałtso áhodeeshdįįł. 
26:30:011:0	Ał'ąą dine'é bitahdóó ts'ídá agháago báádahadzidii Nébukadnézzar áádóó bidine'é yił yah adoonéełgo kéyah bikáá'góó ts'ídá ałtso nida'doołtsił, áko Ííjip kéyahgi bidiltłish hadeidiyoodzį́įsgo diné nideistseedii ákwe'é hadeididoołbį́į́ł. 
26:30:012:0	Tooh danílínígíí nídeestsih áádóó diné t'áá íiyisí doo yá'ádaashóonii bich'į' éí kéyahígíí nahideeshnih; dé'éyóní danilíinii choideesh'įįłgo éí kéyah bikáá'góó dahólóonii áádóó éí kéyah bikáa'gi áhoot'éhígíí ałtso deeshchxǫǫł; shí Bóhólníihii kót'éego haasdzíí'. 
26:30:013:0	Bóhólníihii Diyin God kóní, Eda'alyaii éí ałtso nihideeshchxǫǫł áádóó Mémfis kin haal'áagi eda'alyaii ákwii doo nááhódlǫ́ǫ́góó ádeeshłííł; Ííjip kéyahgi naat'áanii doo ła' náánídlį́į da dooleeł, áko Ííjip kéyahgi yéé' hólǫ́ǫgo ádeeshłííł. 
26:30:014:0	Páthras kin haal'áagi hóóchxǫ'go áhodeeshłííł; Zówan kin haal'áii éí bohodideeshnił; Thiibz kin haal'áagi kéédahat'íinii hainísht'į́į doo. 
26:30:015:0	Pelúsiyam kin haal'áhígíí, éí Ííjip dine'é yee ayóó ábóodziilii t'óó báhádzidgo bee atí'ésh'íinii bee atídeeshłííł, áádóó Thiibzgi diné ayóó ánéelą́ą́' kéédahat'íinii éí ałtso áhodeeshdįįł. 
26:30:016:0	Ííjip kéyahgi ohodideeshnił; Pelúsiyam éí bik'e'íyé'ígi át'éego ti'hojooníih doo; Thiibz binaa ahéé'ítł'inii nidahidoolkał; Mémfisgi t'áá ákwíí jį́ nitsijikai doo. 
26:30:017:0	Éíven kin haal'áádóó áádóó Paibííseth kin haal'áádóó diné ániid nidajikaii diltłish bee nidahodi'dootsił áádóó díí kin hadaas'áii dadoolnééł. 
26:30:018:0	Ákwii Ííjip dine'é bee bóhólníihii doo bee bóhólnííhgóó áshłaago Tahápaniizdi chahałheełgo oo'áał doo; ayóó ájít'éego bee ádaa hoji'niihii éí ninít'i' doo; k'os éí hak'i dah yilzhoł doo áádóó hach'é'é danilíinii éí yisnáágóó ałtso adahidoonééł. 
26:30:019:0	Kót'éego Ííjip dine'é baa nídéesht'įįł, áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł. 
26:30:020:0	Ła'ts'áadah yihah góne', áłtsé nídízííd binih, tsosts'idgóó yoołkáałgo Bóhólníihii shich'į' haadzíi'go kóní, 
26:30:021:0	Diné nílíinii, Ííjip dine'é aláahgo binanit'a'í Féro bigaan k'íníti'; doo bidziil náádoodleełgóó diltłish doo nináánéích'id da doo índa doo nídoodzih da biniyé t'áadoo bá bik'ídeesdiz da. 
26:30:022:0	Éí bąą Bóhólníihii Diyin God kóní, Ííjip dine'é aláahgo binanit'a'í Féro bik'ijį' nishłį́, jó'akon; bigaan t'áá ałch'ijí k'ídeeshtih; bigaan t'áá íídą́ą́' k'íníti'ígíí áádóó hagaan doo át'éhígíí ałdó' k'ídeeshtihgo diltłish hálák'ee hadookǫsgo ádeeshłííł. 
26:30:023:0	Ííjip dine'é éí kédaayahgóó tahwiidínéeshkałgo a ł'ąą dine'é bitahgóó tahwiidínéeshkał. 
26:30:024:0	Bábilan dine'é aláahgo binanit'a'í bidziilgo ádeeshłíiłgo shidiltłish bílák'edeeshtį́į́ł, nidi Féro bigaan k'ideeshtihgo diné t'áá íiyisí habi'dookalii nahalingo hadááhdóó di'níi doo. 
26:30:025:0	Áko Bábilan dine'é aláahgo binanit'a'í bidziilgo ádeeshłííł, nidi Féro bigaan éí bąąh nidínóodah, áko Bábilan dine'é aláahgo binanit'a'í shidiltłish bílák'éétą́ągo áádóó Ííjip kéyah yik'ijį' yił k'ídeeshchidgo, áadi índa shí Bóhólníihii nishłį́įgo hoł béédahodoozįįł. 
26:30:026:0	Ííjip dine'é éí kédaayahgóó tahwiidínéeshkałgo ał'ąą dine'é bitahgóó tahwiidínéeshkał, áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł.
