26:35:001:1	Dził Síyer bich'į' náasdi áhodoonííł baa hane'
26:35:001:0	Náá'áłdó' Bóhólníihii shich'į' haadzíi'go kóní, 
26:35:002:0	Diné nílíinii, Dził Síyer bich'į'go ninít'aah áádóó bik'ijį' nílį́įgo bá handziih, 
26:35:003:0	kóbidiní, Bóhólníihii Diyin God kóní, Shoo, Dził Síyer yinílyéii nik'ijį' nishłį́; nich'į' k'ídideeshnihgo atíndeeshłííł áádóó ts'ídá t'áadoo nikáá' siláhígóó ándeeshłííł. 
26:35:004:0	Nikin hadaas'áii naa'ahideeshkałgo kints'iil t'éí dah naazhjaa' dííleeł, áko Bóhólníihii nishłį́įgo nił bééhodoozįįł. 
26:35:005:0	T'áá áłahjį' ak'ee diníniihgo biniinaa Ízrel dine'é atíbi'diilyaa bik'i hoolzhiizhdi, éí akée'di atíbi'dilnééh góne' diltłish bee atíbidi'doolnííł biniyé baa hodííní'ą́; 
26:35:006:0	éí bąą Bóhólníihii Diyin God kóní, Ts'ídá t'áá aaníí hinishná; ákót'éego nidił doonah biniyé ts'ídá hasht'enideeshł ííł, índa nidił doonah biniyé diné dandínóołchééł; diné nisíníłtseedgo bidił dadeezna'ígíí t'áadoo dziisíníłháa' da biniinaa ni nidił doonah biniyé diné dandínóołchééł. 
26:35:007:0	Dził Síyergi doo siláhígóó áádóó dah nídzílbáago áhodeeshłííł, áko áajį' ałnáádaakahii índa áádę́ę́' nídadikahii éí ałtso nideestsił. 
26:35:008:0	Bidził naaznilgóó diné nidaaztseedii biniinaa doo haz'ą́ą́góó áhodeeshłííł; nidah daask'idgóó áádóó nidah honíts'aa'góó índa deíldzisgóó diné diltłish bee nidadootsił. 
26:35:009:0	T'áá áłahjį' doo nąąh hólónígóó ándeesh łííł, índa nikin hadaas'áágóó doo nidaagháhí da doo, áko índa Bóhólníihii nishłį́įgo nił bééhodoozįįł. 
26:35:010:0	Azhą́ ákwii Bóhólníihii hólǫ́ǫ nidi, díí naakigo dine'é kééhat'ínígíí índa díí naakigo kéyah sinilígíí shí doo, dííníniid; 
26:35:011:0	éí bąą Bóhólníihii Diyin God kóní, Ts'ídá t'áá aaníí hinishná; ákót'éego bik'ee diníniihii biniinaa bich'į' náhóóchįįdii áádóó yiiniłch'į́dígíí bik'ehgo ts'ídá neinísht'į́į dooleeł, áko naa nísíst'įįdgo bitahgóó shéédahósingo ádeeshłííł. 
26:35:012:0	Ákohgo Ízrel dine'é bidził naaznilii bik'ijį' nahółt'i'go hahínídzíi'go ádííníniid, Doo siláhígóó ábi'diilyaa; baa nidahodidiikah biniyé nihaa dadeest'ą́. Shí Bóhólníihii éí t'áá ałtso diséts'ą́ą'go nił bééhodoozįįł. 
26:35:013:0	Áko shich'į' ádaa dzíínídlíigo shik'ijį' yáníłti'go áádóó shik'ijį' nílį́įgo saad t'óó ahayóí shich'į' ahíínínil; shí diséts'ą́ą́'. 
26:35:014:0	Bóhólníihii Diyin God kóní, Nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'góó bił nidahoozhǫǫhgo nikéyah bikáá'góó doo siláhígóó ándeeshłííł. 
26:35:015:0	Ízrel dine'é bikéyahgi doo siláhí da hazlį́į'go baa nił nihoozhǫǫhígíí biniinaa ni ałdó' ákóndeeshłííł; Dził Síyer áádóó Íídam kéyah t'áá át'é bikáá' doo siláhí da doo, áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł.
