28:7:001:1	Ízrel dine'é doo ákwii át'íinii áádóó Bóhólníihii yik'ijį' nidaaldzilii
28:7:001:0	Ízrel dine'é náádabidideeshłááł niizį́į'go Íífreiyim dine'é doo ákwii ádáát'įįdii áádóó Samériya bidoo yá'áshǫ' t'áadoo bahat'aadí silį́į́'; jó, éí ayóogo binda'adlo' áádóó da'ni'įįh índa t'áá tł'óó'dóó aghada'ii'nííł. 
28:7:002:0	Bidoo yá'áshǫ' t'áá ałtso bénáshniihígíí doo yaa ákodanízin da; yaa nidaakaígíí t'áá ałtsodę́ę́' bináshzhiizhgo yish'į́. 
28:7:003:0	Bidoo yá'áshǫ' éí aláahgo naat'áanii baa bił nihoozhǫǫh índa dabiyooch'íidii éí naat'áanii danilíinii baa bił dahózhǫ́. 
28:7:004:0	T'áá ałtso da'diléii dajílį́. Bááh ííł'íní éí díík'ǫsh yił ta'ooznii'go niilyooljį' kǫ' yił na'ashshiish yę́ę t'óó yik'i deeyáago bááh bighan góne' t'óó honeezílígíí nidahojílin. 
28:7:005:0	Aláahgo nihinanit'a'í áda'azįįd niiní'ą́ą́ góne' naat'áanii danilíinii yił wáin deidlą́ągo nídadí'néesdlą́ą́'; nidahałt'i'ígíí yił ahił dandlį́. 
28:7:006:0	Yindaha'áhígíí bee bijéí daniilchxii'go haa dahéeshjéé'; tł'éé' bíighah kǫ' diltłi'go abínígo t'óó tsé'édin diiltłi'ígíí nahalin. 
28:7:007:0	Bááh bighan góne' honiilchii'ígi át'éego ánihwii'aahii bá danilíinii dayooldéél; aláahgo binanit'a'í t'áá ałtso ábi'disdįįd, áko doo ła' shíká áníní da. 
28:7:008:0	Íífreiyim éí ał'ąą dine'é danilíinii yił ałtah níjéé'; Íífreiyim éí abe' bee aneezmasí doo náhast'áanii nilį́. 
28:7:009:0	Dé'éyóní danilíinii doo hadziilgóó ádahoolaa, áko doo hoł bééhózin da; hatsii' yiiba' nidi, doo hoł bééhózin da. 
28:7:010:0	Ízrel bibee ádaa hodzódli' baa halne', nidi Bóhólníihii biDiyin God nilį́įgo doo yich'į' dah nídahidiikáah da; azhą́ ákódaat'ée nidi, doo t'áá k'ad hádaat'į́į da. 
28:7:011:0	Íífreiyim éí hasbídí nahalingo doo áhályą́ą́góó ts'ídá doo bił áhoot'ée da; Ííjip dine'é yíká ádaaní; Asíriya kéyahgóó ałnáádaakah. 
28:7:012:0	Nidi ákǫ́ǫ́ deeskaigo tł'óół yistł'óonii bik'ídeeshtihgo wót'áahdi tsídii nidaat'a'ii nahalingo ni'jį' bidahodeestsos; áłah nilį́įgo deidiizts'ą́ą'ii bik'ehgo atíhodeeshłííł. 
28:7:013:0	Shits'ą́ąjį' yóó'adahaazhjé'ígíí atíhíláane'go bá haz'ą́. Atíhodoolíiłii hólǫ́, háálá shich'į' ádił nidadzistee'; nááhideeshnihgo béédahidideeshchił nisin, nidi wooch'ííd yee shik'ijį' yádaałti'. 
28:7:014:0	Bitsásk'eh yikáa'gi chaał yáádaniit'áahgo bijéí tł'ááhdę́ę́' doo shich'į' ádaaníi da; áłah nádleehgo tł'oh naadą́ą́' índa wáin ániidíii dayókeed, nidi shich'į' nidaalteeh. 
28:7:015:0	Azhą́ bíká aashwod índa bidziilgo áńdeishdlaa nidi, t'ahdii t'óó shik'ijį' nidaha'á. 
28:7:016:0	Nináhákáah nidi, Aláahgo Ayóó'át'éii bich'į' éí dooda; ałtį́į́' bina'adlo'ii nidahalin. Ayóó ádaalzaadgo biniinaa binanit'a'í danilíinii diltłish bee nidadootsił. Ííjip kéyahgi ts'ídá t'óó bee bá nidahat'i' doo.
