40:20:001:1	Ch'il na'atł'o'ii bitahgóó nidaalnishí
40:20:001:0	Jó, yá'ąąshii bee bóhólníihgo bił haz'áanii, éí díí nahalin: diné léi' kéyah bił haz'ą́ągi bee bóhólníihii bich'il na'atł'o'ii bitahgóó bá nidadoolnishii ła' t'ah abínídą́ą́' yíká dah diiyá. 
40:20:002:0	Nidaalnishí éí denériyas ła'a jį́ yik'é nidaalnish doogo yił ahada'deest'ą́ą́dóó bik'ijį', bich'il na'atł'o'ii yitahjį' yi'níłnii'. 
40:20:003:0	Áádóó náhást'éigi daats'í oolkiłgo ch'ínáánádzá, nít'éé' nida'iiniih bá haz'ą́ągi náánáła' t'áadoo yaa nidaakaígóó t'óó nidaazį'go nááyiyiiłtsą́, 
40:20:004:0	áko áyidííniid, Nihí ałdó' nihílááh, shich'il na'atł'o'ii bitahgóó dadohkááh, áko t'áá néhébįįhígi át'éego ts'ídá t'áá ákwii át'éego nihich' į' nidi'yeeshłééł. Áko ákǫ́ǫ́ dah diikai. 
40:20:005:0	Áádóó ałní'ní'ą́ągo daats'í áádóó bik'ijį' táadi daats'í aleehgo ch'ínáánádzáago t'áá ákónáánádzaa. 
40:20:006:0	Áádóó ashdla'ígi daats'í oolkiłgo ch'ínáánádzá, nít'éé' náánáła' t'óó nináádaazį'go yik'ínáánádzá, áko ííłní, Ha' át'íishą' biniyé kwe'é shá bíighah t'áadoo baa nidaahkaígóó t'óó nidaahsį'? 
40:20:007:0	Nít'éé' ádahałní, Jó, diné doo ła' shá nidaałnish nihiłníi da. Áko ánéidoo'niid, Nihí ałdó' nihílááh, shich'il na'atł'o'ii bitahgóó dadohkááh [áko t'áá néhébįįhígi át'éego ts'ídá t'áá ákwii át'éego nihich'į' nidi'yoolyééł]. 
40:20:008:0	Áádóó i'íí'ą́ągo, ch'il na'atł'o'ii bee bóhólníihii éí bik'ehgo na'anishígíí ííłní, Nidaalnishí hágo bidiní, áádóó bich'į' nidi'yíílééł, akée'di dadeeshnishígíí éí áłtsé, índa áłtsé dadeeshnishígíí éí akéédę́ę́'. 
40:20:009:0	Áko ashdla'ígi daats'í oolkiłgo naanish baa dadeest'ánígíí yíkaigo, t'ááłá'í nítínígo denériyas t'ááłá'í bich'į' nidahaasya'. 
40:20:010:0	Áko áłtsé dadeeshnishígíí neheeskaigo, éí aláahgo nihich'į' nidadoolyééł danízin, nít'éé' éí ałdó' t'ááłá'í nítínígo denériyas t'ááłá'í bich'į' nináádahaasya'. 
40:20:011:0	Áko nídeidiinilgo kéyah bee bóhólníihii yich'į' saad dahółǫ́ǫgo, 
40:20:012:0	ádaaní, Díí akée'di dadeeshnishgo t'ááłáhídi ahéé'ílkidjį' nidaashnishígíí t'áá nihik'ehgo bich'į' nida'iisya', nidi nihí t'éiyá shá bíighah hadoh bééda'ii'níihgo dayíníilníishgo i'íí'ą́. 
40:20:013:0	Áko ła' yich'į' haadzíi'go áyidííniid, Kwá'ásiní, da' doósh ákǫ́ǫ́ ániishłaa da? Shą́ą́', denériyas t'ááłá'ígo bee aha'di'niit'ą́ą ni'. 
40:20:014:0	Éí bąą yisíníłbánígíí nídii'aahgo nílááh yínááł; díí akée'diígíí t'áá nigi át'éego bich'į' ni'deeshłééłjí nisin. 
40:20:015:0	Da' shinaalye'éésh doo t'áá shí nisinígi ádeeshłíiłgo bee shá haz'ą́ą da? Da' shił hadlee'ígíísh biniinaa iiníłch'į́į́d? 
40:20:002:1	Jesus bidi'yoolyéłígíí yaa nááhálne'
40:20:016:0	Éí bąą da'akéédę́'ígíí éí da'alą́ąjį' doo, índa da'alą́ąjį'ígíí éí da'akéédę́ę' doo. [Háálá lą'í bíká ádahodoo'niid, nidi t'áá díkwíí nídahaasdláá'.] 
40:20:017:0	Nít'éé' Jesus éí Jerúsalem góde joogáałgo, naakits'áadahgo hódahooł'aahígíí bił ats'ádzískai, áko jookahgóó ábizhdííniid, 
40:20:018:0	Jó'akon, Jerúsalem góde deekai, áko Diné Silį́į'ii aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii baa hodi'doot'ááł, áádóó éí hodi'yoolyéełjį' há nidahodoo'ááł, 
40:20:003:1	James áádóó John adííkeed
