42:12:001:1	T'óó áhodi'į́ bits'ąą ádaa áháyą́ągi bee i'ílnii'
42:12:001:0	Ts'ídá ákohgo, diné doo jóołta' ánéelą́ą́'góó áłah silį́į'go t'áá hazhó'ó ałk'i na'asdee', áko hódahooł'aahii áłtsé bich'į' ayázh'niiłti'go ájíní, Férisii danilíinii bidíík'ǫsh bee taos'nii' niilyółí bits'ąą ádaa ádahołyą́, éí t'óó áhodi'į́ át'é. 
42:12:002:0	Nidi t'óó bił ída'ít'éhígíí t'áá ałtso dadoo'nih, áádóó nidanil'inígíí t'áá ałtso béédahodoozįįł. 
42:12:002:1	Háishą' báhádzid doo?
42:12:003:0	Éí bąągo t'áá nahont'inee ádadooniidígíí éí t'áadoo bahat'aadí dadidoots'į́į́ł, áádóó danihighangóó t'áá ádíighahígo bee ahiłjeeh nídanołniih nít'éé' yę́ę éí kin bighą́ą́'dóó baa dahodoonih. 
42:12:004:0	Shik'isóó, ánihidishní, Ats'íís dayiiłhééhdóó bik'ijį' t'áadoo ánáádayódle'í da łeígíí éí diné t'áadoo béédaałdzidí. 
42:12:005:0	Nidi béédaałdzid dooleełígíí bee nihi'nishnííh: iisxį́į́dóó bik'ijį' hool'áágóó ti'hoo'nííh bił haz'ą́ą́ góyaa idi'yoołhą́ąłgo yee bóhólníhígíí éí béédaałdzid; t'áá aaníí ánihidishní, Béédaałdzid! 
42:12:006:0	Da' tsídiiłbáhísh ashdla'go doo naaki sindáo bą́ą́h ílį́įgo nahaniih da? Ákondi éí Diyin God t'ááłá'í nidi doo yaa yoonéeh da. 
42:12:003:1	Diné binááł Christ bee ádééhólzin
42:12:007:0	Jó, nihitsii' t'ááłá'í níláhígo nidi ałtso dayéélta'. Éí bąą t'áadoo nídaałdzidí; tsídiiłbáhí t'óó ahayóí nidi biláahgo da'nohłį́. 
42:12:008:0	Áádóó ánihidishní, T'áá háiida diné binááł shee ádééhodzílzinígíí, éí ałdó' Diyin God bidiyingo nidaal'a'í bidááhdę́ę́' Diné Silį́į'ii hwee ádééhólzin doo, 
42:12:009:0	nidi diné binááł doo hwééhasin da shijinínígíí Diyin God bidiyingo nidaal'a'í bidááhdóó doo hwééhodi'doolzįįł da. 
42:12:010:0	Áádóó t'áá háiida Diné Silį́į'ii bik'ijį' jílį́įgo hadzoodzí'ígíí, éí bá yóó'anídidoot'ááł, nidi t'áá háiida Níłch'i Diyinii baa'ihgo yá haadzí'ígíí, éí ts'ídá doo bá yóó'anídidoot'áał da. 
42:12:011:0	Áádóó kin bii' áłah nída'adleehí naaznilgóó, áádóó naat'áanii índa bídahólníihii naazdáágóó nidanihii'éeshgo, ha'át'éegoda, doodaii' ha'át'íhída bee hadadoohdzihígíí, doodaii' ha'át'íhída dadidoohniiłígíí, t'áadoo bik'ee ádił nídahodołchiłí, 
42:12:004:1	Diné at'į́įgo doo áhályáanii binahjį' hane' bee ak'idi'dootį́įłii
42:12:012:0	háálá Níłch'i Diyinii ts'ídá ákwe'é oolkiłgo bee hadadoohdzihígíí yee nanihinitin doo.  
42:12:013:0	Nít'éé' áłah silį́'ígíí ła' áhodííniid, Na'nitiní, shínaaí shá ábidiní, Nitsilí íí' dooleełii bił ałts'á'dí'nííł. 
42:12:014:0	Nidi ábizhdííniid, Kwá'ásiní, háishą' ánihwii'aahii, doodaii' naalye'é bąąh ádahasdįįdii niidii'aahii nishłį́įgo nihá áshiilaa? 
42:12:015:0	Áádóó ánáábizhdoo'niid, Ádaa ádahołyą́, t'áadoo ha'át'íhída bidádanoołníní, háálá diné t'áadoo le'é jit'íinii éí doo íiyisí bee jiináanii át'ée da. 
42:12:016:0	Áko hane' bee ak'idi'dootį́įłii bee bich'į' hadzoodzíi'go ájíní, Diné at'į́į́ léi' bidá'ák'ehgi t'áá íiyisí ná'neest'ą́, 
42:12:017:0	áádóó t'áá biyi'ídi nitsíkeesgo íinízin, Haaléit'ée dooleeł lá? Náníłt'ánígíí la' t'áadoo nooh náánóoshchíiłgi da. 
42:12:018:0	Áko ádííniid, Ko lá ádeeshnííł ni: kin bii' nooh nída'ashchíhígíí táádeideesh'niłgo t'ah bitisígo ádaníłtsogo ánáádadeeshdlííł, áko náníłt'ánígíí índa shinaalye'é t'áá ałtso ákóne' nooh dadeeshchííł. 
42:12:019:0	Áko shii' sizíinii ábidideeshniił, Shii' sizíinii, nee hólóonii lą'í nááhai bíighahgóó hasht'e'niilyá; t'óó háánílyį́įhgo íyą́ą doo índa ídlą́ą doo, áádóó nił honeedlį́į le'. 
42:12:020:0	Nidi Diyin God áhodííniid, Doo áhályáanii nílį́! Díí tł'éé' nii' sizíinii naa náádiilyé, ákoshą' díí hasht'e'nííníláhígíí, háí bí dooleeł? 
42:12:005:1	Ádił náhodichił
42:12:021:0	Áko t'áá háiida naalye'é da'ílíinii ádá nihizhdi'níłígíí éí Diyin God bich'į' ajit'ínígíí hwee ádingo át'é. 
42:12:022:0	Áádóó hódahooł'aahii ábizhdííniid, Éí bąą ánihidishní, Ha'át'íí lá deeshį́į́ł lá? doodaii', Ha'át'íí lá bee hadideeshnííł lá? t'áadoo danohsingo bee dahinohnáa dooleełígíí bíká ádił nídahodołchiłí. 
42:12:023:0	Háálá jiinánígíí éí ch'iyáán biláahgo ílį́, áádóó hats'íís éí éé' biláahgo ílį́. 
42:12:024:0	Gáagii bee nitsídaahkees: éí doo k'ééda'didléeh da, doo nidi nída'agish da, kin bii' nooh nída'achíihii doo bee dahólǫ́ǫ da, ákondi Diyin God ba'ałtso'. Dooládó' tsídii biláahgo da'nohłį́į da lá! 
42:12:025:0	Áádóó nihí ła' ádił náhodołchiłgo hinohnánígíí t'įįhdígoósh bilááh ádoohłíiłgo bínooł'ą́? 
42:12:026:0	Ákoshą' a'ohgo áníłtsoígíí nidi doo óohnééh át'éégóó, ha'át'íí biniyé náánáła'ígíí nihida'diił'á? 
42:12:027:0	Ch'ilátah hózhóón nidanise'gi bee nitsídaahkees; éí doo nidaalnish da, índa doo da'adiz da, nidi ánihidishní, Azhą́ Sálaman ayóó ájít'éé nít'ée' nidi, doo díí ła' hadít'éhígi át'éego hazhdít'ée da nít'éé'. 
42:12:028:0	Nidi Diyin God nihokáá'góó ch'ilígíí díí jį́ nidanise'go áádóó yiską́ągo konk'eh góne' ahidoolkałígíí nidi nizhónígo haidósingo, t'įįhdígo da'iinohdláanii, dooládó' éidíígíí biláahgo hadadinoht'éego ánihósin da lá! 
42:12:029:0	Dadoohsį́įłii índa dadoohdlį́įłii t'áadoo bíká ádił nídahodołchiłgo hádaaht'íní. 
42:12:030:0	Háálá nihokáá' dine'é t'áá ałtso éidí hádaat'į́, áko nihiTaa' éí bídin danohłį́įgo chodaoł'ínígíí nihá bił bééhózin. 
42:12:006:1	Yá'ąąshdi naalye'é da'ílíinii
42:12:031:0	Nidi bee bóhólníihgo bił haz'áanii hádaaht'į́, áko éidí t'áá ałtso nihá bíidoolyééł. 
42:12:032:0	Shidibé ch'į́dí danohłíinii, t'áadoo nídaałdzidí, háálá nihiTaa' bił hóshǫ́ǫgo bee bóhólníihgo bił haz'áanii nihaididoo'ááł. 
42:12:033:0	Nihee dahólónígíí t'áá ałtso nihaa nidahóniih, áádóó badahojoobá'íígíí bitaa daahniih; béeso bizis doo hadadootihii, índa naalye'é ałtaas'éí da'ílíinii doo ádoodįįłii yá'ąąshdi ani'įįhii doo yidínóo'į́įłdi, índa ch'osh ałchozhii doo yidoołchǫǫłdi ádá ádaałnééh. 
42:12:007:1	Nidaal'a'í hada'asíidii
42:12:034:0	Háálá nihinaalye'é siláadi, t'áá ákwii ałdó' nihijéí hólǫ́ǫ doo. 
42:12:035:0	Áká dasoołzaaz áádóó nihibee hool'iní dadiltłi'go ádeínóhsin, 
42:12:036:0	áko diné ła' binanit'a'í iigehdę́ę́' nídoodáałgo yiba' naháaztánígi át'éego, áko nádzáago dáádílkał néidínóołts'į́į́ł, t'áá áko yá ąą deididootį́łígíigi át'éego áda'díínółzin. 
42:12:037:0	Nidaal'a'í hada'ídées'į́į'go binanit'a'í nádzáago biidoołtséłígíí, éí bik'idahojidlí; t'áá aaníígóó ánihidishní, Bí áká doolzisgo bikáá' adání yich'į' dah yidínóołbįįłgo yiyaa nidi'yookááł. 
42:12:038:0	K'adę́ę tl'é'ííłniihgo, éí doodaii' tł'é'ííłníí'dóó bik'ijį', t'áá ákódaat'éego hada'ídées'į́į'go yaa nádzáago éí nidaal'a'ígíí bik'idahozhdoodliił! 
42:12:039:0	Nidi díí nihił béédahózin le', kin bee bóhólníihii ts'ídá ákohgo ani'įįhii doogáłígíí hoł bééhózingo, ha'dzisíid doo nít'éé', índa hakin doo hats'ą́ą́' wótsid át'éégóó ázhdoolííł nít'éé'. 
42:12:008:1	Naal'a'í ba'ahódlíii, doodaii' naal'a'í doo ba'ahódlíii
42:12:040:0	Éí bąą nihí ałdó' hasht'e'áda'díínółzin, háálá Diné Silį́į'ii doo nidayínóhłíi da yę́ęgi hoolzhishgo doogááł.  
42:12:041:0	Peter áhodííniid, Bóhólníihii, da' díí hane' bee ak'idi'dootį́įłiísh nihí nihich'į' bee háínídzíí', diné t'áá ałtso daats'í bich'į'? 
42:12:042:0	Áko Bóhólníihii ádííniid, Ákoshą' háí ba'ahódlíigo índa hóyą́ągo aa áhályáanii nilį́, éí binanit'a'í bighan haz'ą́ągi nidaakaígíí t'áá ałtso t'áá áajį' anáhwiilzhíishgo yaná'áltso' doo biniyé nibidi'dooltééł? 
42:12:043:0	Naal'a'í jílíinii ákójít'į́įgo hananit'a'í níyáago éí hak'ihojidlí. 
42:12:044:0	T'áá aaníígóó ánihidishní, Hananit'a'í bee hólóonii t'áá ałtso bee hóhólníihgo nihodoołtééł. 
42:12:045:0	Nidi éí naal'a'í t'áá hajéí biyi'ídi ázhdííniidgo, Shinanit'a'í la' doo hah nádáah da, áko diné nidaal'a'í índa asdzání nidaal'a'í bitaa'jiłhaałgo, áádóó ajiyą́ągo áádóó ajidlą́ągo índa tsi'njigháago baa nízhdidoodááł, 
42:12:046:0	éí naal'a'í jílíinii hananit'a'í yoołkáałii doo ni'jólíí góne' índa hoolzhish doo hoł bééhózin góne' nídoodáałgo atíhodoolííł, índa doo da'oodláanii yitah hodoołt'eeł. 
42:12:047:0	Áko naal'a'í éí binanit'a'í íinízinígíí bił bééhoozin nidi, t'áadoo hasht'ediidzaagóó áádóó íiznízinígíí doo yik'ehgo ádzaagóó, éí yéego nábidí'nóolghał. 
42:12:009:1	Jesus biniinaa ałts'á'áldahii
42:12:048:0	Nidi binanit'a'í íinízinii doo bił bééhózinii, éí biniinaa nídí'nóolghałii doo áyiilaagóó, éí doo yéego nídí'nóolghał da. T'áá háiida t'óó ahayóí baa deet'ánígíí éí t'óó ahayóí bínéídóokił, áádóó t'áá háiida t'óó ahayóí baiszįįdígíí éí t'ah aláhídi ánéelą́ą'go bínéídóokił. 
42:12:049:0	Nahasdzáán bikáá' kǫ' dideeshtłił biniyé níyá, áko t'áá íídą́ą́' diiltłah le' nisin! 
42:12:050:0	Nidi bee shidi'doolzįhígíí shá hólǫ́, áko dooládó' lá bíighah adooleełjį' ádił ninisdzíił da! 
42:12:051:0	Da' nahasdzáán bikáa'gi t'áá k'é hólǫ́ǫ doo biniyé jiníyá danohsingoósh shaa nitsídaahkees? Dooda, nihidishní, nidi ałts'á'áldah biniyé, 
42:12:052:0	háálá kodóó náásgóó hooghan t'ááłá'íígíí biyi'dóó ashdlajilt'éego ałts'ájíkah doo, tá'ígíí éí naakiígíí yił ałk'ijį' danidlį́į doo, índa naakiígíí éí tá'ígíí yił ałk'ijį' danidlį́į doo; 
42:12:010:1	Dahwéelzhíísh bii' ádahoot'é bééhózinii
42:12:053:0	ałts'á'áldah doo, azhé'é nilíinii biye' yik'ijį' nilį́į doo, aye' nilíinii bizhé'é yik'ijį' nilį́į doo, amá nilíinii bich'é'é yik'ijį' nilį́į doo, ach'é'é nilíinii bimá yik'ijį' nilį́į doo, bizháá'áád ídlíinii bizháá'áád yik'ijį' nilį́į doo, áádóó azháá'áád nilíinii yizháá'áád nilínígíí yik'ijį' nilį́į doo.  
42:12:054:0	Diné yíl'áhígíí ałdó' ábizhdííniid, E'e'aah biyaají k'os haleehgo daołtséehgo, t'áá áko ádadohniih, Nahodoołtį́į́ł lá, áko t'áá ákót'įįh. 
42:12:055:0	Áádóó shádi'ááhdę́ę́' diyołgo baa ákodanoohsįįhgo ádadohniih, T'áá íiyisí hodínóogah lá, áko t'áá ákót'įįh. 
42:12:011:1	Nihik'i hodii'áanii hazhó'ó bił aha'di'doot'ááł
42:12:056:0	Nihí t'óó ádahodoł'íinii! Nahasdzáán índa wódahgo áhoot'éii binahjį' áhoot'ée dooleełgi nihił béédahózin, nidi ha'át'éegoshą' díí k'ad hoolzhishígíí biyi' ádahoot'é dooleełii doo nihił béédahózin da? 
42:12:057:0	Áádóó ha'át'éegoshą' t'áá nihí ts'ídá t'áá ákogi át'éii doo bee hasht'e'nitsídanohkees da? 
42:12:058:0	Háálá nik'i hodii'áanii t'ah naat'áanii bich'į' nił yi'ashgo hazhó'ó bił aha'díí'nít'ą́ągo néididoochił, doodaii' éí ánihwii'aahii yaa nidoolóós, áádóó ánihwii'aahii yah i'iiníiłii yaa nidoołtééł, áko índa yah i'iiníiłii yah andoołt'eeł. 
42:12:059:0	Ándishní, Ts'ídá doo ch'ééndi'doolt'eeł da, t'ááłá'í sindáo t'áá nidziihígi ák'é ninéínídláago índa.
